"team","teamLabel","teamNames","teamNames2","fullNames","nickNames","wikidataId"
"http://dbpedia.org/resource/De_La_Salle_Palmerston","De La Salle Palmerston","De La Salle Palmerston; Salmo (formerly Palmo)",NA,"De La Salle Palmerston Football Club","Salmo","http://www.wikidata.org/entity/Q3020176"
"http://dbpedia.org/resource/Deal_&_Betteshanger_Rugby_Club","Deal & Betteshanger Rugby Club","; Deal and Betteshanger ""Lions"" RFC",NA,"Deal and Betteshanger Rugby Football Club",NA,"http://www.wikidata.org/entity/Q20711769"
"http://dbpedia.org/resource/Deathsmiles","Deathsmiles",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q3010595"
"http://dbpedia.org/resource/Deathsmiles_II","Deathsmiles II",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q11320577"
"http://dbpedia.org/resource/Decani","Decani",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q5248737"
"http://dbpedia.org/resource/Deeside_RFC","Deeside RFC","; Deeside RFC",NA,"Deeside Rugby Football Club",NA,"http://www.wikidata.org/entity/Q107862599"
"http://dbpedia.org/resource/Delhi_Hurricanes_RFC","Delhi Hurricanes RFC","; Delhi Hurricanes; The Hurricanes",NA,"Delhi Hurricanes Rugby Football Club","The Hurricanes","http://www.wikidata.org/entity/Q5253766"
"http://dbpedia.org/resource/Delhi_Sher_RFC","Delhi Sher RFC","; Delhi Shers; Shers",NA,"Delhi Sher Rugby Football Club","Shers","http://www.wikidata.org/entity/Q5253817"
"http://dbpedia.org/resource/Delta_Rugby_Club","Delta Rugby Club","; Delta; Yacaré",NA,"Delta Rugby Club","Yacaré","http://www.wikidata.org/entity/Q5254730"
"http://dbpedia.org/resource/Dendermonde_Rugby_Club","Dendermonde Rugby Club","; Dendermonde RC",NA,"Dendermonde Rugby Club",NA,"http://www.wikidata.org/entity/Q3291603"
"http://dbpedia.org/resource/Denver_Barbarians_RFC","Denver Barbarians RFC","; Barbos; Denver Barbarians",NA,"Denver Barbarians Rugby Football Club","Barbos","http://www.wikidata.org/entity/Q5259678"
"http://dbpedia.org/resource/Denver_Stampede","Denver Stampede","Denver Stampede",NA,"Denver Stampede",NA,"http://www.wikidata.org/entity/Q24185196"
"http://dbpedia.org/resource/Derby_RFC","Derby RFC","; Derby",NA,"Derby Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5261499"
"http://dbpedia.org/resource/Deri_RFC","Deri RFC","; Broncos; Deri RFC",NA,"Deri Broncos Rugby Football Club","Broncos","http://www.wikidata.org/entity/Q5262557"
"http://dbpedia.org/resource/Desterro_Rugby_Clube","Desterro Rugby Clube","; Desterro",NA,"Desterro Rugby Clube","Desterro","http://www.wikidata.org/entity/Q2007245"
"http://dbpedia.org/resource/Detroit_Tradesmen","Detroit Tradesmen","Detroit Tradesmen",NA,"Detroit Tradesmen Rugby Club",NA,"http://www.wikidata.org/entity/Q74110776"
"http://dbpedia.org/resource/Devon_Rugby_Football_Union","Devon Rugby Football Union","Devon RFU",NA,"Devon Rugby Football Union",NA,"http://www.wikidata.org/entity/Q28406471"
"http://dbpedia.org/resource/Devonport_Rugby_Club","Devonport Rugby Club","; Devonport Rugby Club; The Bulls",NA,NA,"The Bulls","http://www.wikidata.org/entity/Q5267838"
"http://dbpedia.org/resource/Devonport_Services_R.F.C.","Devonport Services R.F.C.","; Devonport Services R.F.C.; The Sporting Blues. Given in 1909 by the sports writer of the Western Evening Herald.",NA,"Devonport Services Rugby Football Club","The Sporting Blues. Given in 1909 by the sports writer of the Western Evening Herald.","http://www.wikidata.org/entity/Q16973676"
"http://dbpedia.org/resource/Diamond/Over_the_Clouds","Diamond/Over the Clouds",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q5270717"
"http://dbpedia.org/resource/Dinefwr_Sharks","Dinefwr Sharks",NA,NA,"Dinefwr Sharks Rugby League Football Club",NA,"http://www.wikidata.org/entity/Q5278028"
"http://dbpedia.org/resource/Dings_Crusaders_Rugby_Football_Club","Dings Crusaders Rugby Football Club","; Dings Crusaders",NA,"Dings Crusaders Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5278270"
"http://dbpedia.org/resource/Diss_Rugby_Club","Diss Rugby Club","; Diss",NA,"Diss Rugby Club",NA,"http://www.wikidata.org/entity/Q5282734"
"http://dbpedia.org/resource/Dolphin_RFC","Dolphin RFC","; Dolphin",NA,"Dolphin Rugby Football Club",NA,"http://www.wikidata.org/entity/Q3034317"
"http://dbpedia.org/resource/Dominican_Republic_national_rugby_union_team","Dominican Republic national rugby union team",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q3590499"
"http://dbpedia.org/resource/Doncaster_Knights","Doncaster Knights","Doncaster Knights; Knights",NA,"Doncaster Rugby Football Club","Knights","http://www.wikidata.org/entity/Q3036238"
"http://dbpedia.org/resource/Dorchester_Rugby_Football_Club","Dorchester Rugby Football Club","; Dorchester RFC",NA,"Dorchester Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5297620"
"http://dbpedia.org/resource/Dorking_R.F.C.","Dorking R.F.C.","; Dorking R.F.C.",NA,"Dorking Rugby Football Club",NA,"http://www.wikidata.org/entity/Q18125541"
"http://dbpedia.org/resource/Dorset_and_Wilts_Rugby_Football_Union","Dorset and Wilts Rugby Football Union","Dorset & Wilts RFU",NA,"Dorset and Wilts Rugby Football Union",NA,"http://www.wikidata.org/entity/Q5298878"
"http://dbpedia.org/resource/Douglas_R.U.F.C.","Douglas R.U.F.C.","Douglas Rugby Club; Proud Lions",NA,"Douglas Rugby Union Football Club","Proud Lions","http://www.wikidata.org/entity/Q5301903"
"http://dbpedia.org/resource/Dowlais_RFC","Dowlais RFC","; 1st XV Dragons       2nd XV Knights; Dowlais RFC",NA,"Dowlais Rugby Football Club","1","http://www.wikidata.org/entity/Q5302696"
"http://dbpedia.org/resource/Dragons_RFC","Dragons RFC","Dragons RFC",NA,NA,NA,"http://www.wikidata.org/entity/Q82216"
"http://dbpedia.org/resource/Driffield_RUFC","Driffield RUFC","; Driffield",NA,"Driffield Rugby Football Club",NA,"http://www.wikidata.org/entity/Q113993121"
"http://dbpedia.org/resource/Droitwich_RFC","Droitwich RFC","; Droitwich; The Monners",NA,"Droitwich Rugby Football Club","The Monners","http://www.wikidata.org/entity/Q39059173"
"http://dbpedia.org/resource/Drumchapel_RFC","Drumchapel RFC","; Drumchapel RFC",NA,"Drumchapel Rugby Football Club",NA,"http://www.wikidata.org/entity/Q65043244"
"http://dbpedia.org/resource/Drummoyne_DRFC","Drummoyne DRFC","; Dirty Reds",NA,"Drummoyne District Rugby Football Club","Dirty Reds","http://www.wikidata.org/entity/Q5309256"
"http://dbpedia.org/resource/Drybrook_RFC","Drybrook RFC","; Drybrook RFC",NA,"Drybrook Rugby Football Club",NA,"http://www.wikidata.org/entity/Q55610046"
"http://dbpedia.org/resource/Dublin_University_Football_Club","Dublin University Football Club","; Dublin University FC; Trinity Rugby",NA,"Dublin University Football Club","Trinity Rugby","http://www.wikidata.org/entity/Q3040530"
"http://dbpedia.org/resource/Dudley_Kingswinford","Dudley Kingswinford","; Dudley Kingswinford R.F.C",NA,"Dudley Kingswinford Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5311896"
"http://dbpedia.org/resource/Duendes_Rugby_Club","Duendes Rugby Club","; Duendes; Verdinegro",NA,"Duendes Rugby Club","Verdinegro","http://www.wikidata.org/entity/Q5312216"
"http://dbpedia.org/resource/Dumfries_Rugby_Club","Dumfries Rugby Club","; Dumfries Saints RFC",NA,"Dumfries Saints Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5313800"
"http://dbpedia.org/resource/Dundalk_R.F.C.","Dundalk R.F.C.","Dundalk; The Hoops",NA,"Dundalk Rugby Football Club","The Hoops","http://www.wikidata.org/entity/Q5314734"
"http://dbpedia.org/resource/Dundee_HSFP","Dundee HSFP","; Dundee High Rugby",NA,"Dundee High School Former Pupils Rugby Football Club",NA,"http://www.wikidata.org/entity/Q1128070"
"http://dbpedia.org/resource/Dundee_University_Medics_RFC","Dundee University Medics RFC","; Dundee University Medics",NA,"Dundee University Medics Rugby Football Club",NA,"http://www.wikidata.org/entity/Q107501657"
"http://dbpedia.org/resource/Dundee_University_RFC","Dundee University RFC","; Dundee University RFC",NA,"Dundee University Rugby Football Club",NA,"http://www.wikidata.org/entity/Q107970200"
"http://dbpedia.org/resource/Dunfermline_RFC","Dunfermline RFC","; Dunfermline",NA,"Dunfermline Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5315050"
"http://dbpedia.org/resource/Dungannon_RFC","Dungannon RFC","Dungannon FC; Gannon",NA,"Dungannon Football Club","Gannon","http://www.wikidata.org/entity/Q3041308"
"http://dbpedia.org/resource/Duns_RFC","Duns RFC",NA,NA,"Duns Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5315664"
"http://dbpedia.org/resource/Dunstablians_R.F.C.","Dunstablians R.F.C.",NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Dunstablians_RUFC","Dunstablians RUFC","; Dunstablians; The Dees",NA,"Dunstablians Rugby Union Football Club","The Dees","http://www.wikidata.org/entity/Q5315713"
"http://dbpedia.org/resource/Dunvant_RFC","Dunvant RFC","; Dunvant RFC",NA,"Dunvant Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5315784"
"http://dbpedia.org/resource/Durango_RT","Durango RT","; Durango Nissan-Gaursa",NA,"Durango Rugby Taldea",NA,"http://www.wikidata.org/entity/Q5815133"
"http://dbpedia.org/resource/Durham_City_RFC","Durham City RFC","; Durham City",NA,"Durham City Rugby Football Club",NA,"http://www.wikidata.org/entity/Q65048033"
"http://dbpedia.org/resource/Durham_County_Rugby_Football_Union","Durham County Rugby Football Union","Durham County RFU",NA,"Durham County Rugby Football Union",NA,"http://www.wikidata.org/entity/Q30647326"
"http://dbpedia.org/resource/Durham_University_Rugby_Football_Club","Durham University Rugby Football Club","; Durham University RFC; Palatinates",NA,"Durham University Rugby Football Club","Palatinates","http://www.wikidata.org/entity/Q55137026"
"http://dbpedia.org/resource/Dyce_RFC","Dyce RFC","; Dyce RFC",NA,"Dyce Rugby Football Club",NA,"http://www.wikidata.org/entity/Q107803223"
"http://dbpedia.org/resource/ESWAT:_City_under_Siege","ESWAT: City under Siege",NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Eagles_RFC","Eagles RFC","; Eagles RFC",NA,"Eagles Rugby Football Club",NA,"http://www.wikidata.org/entity/Q5325366"
"http://dbpedia.org/resource/Ealing_Trailfinders_Rugby_Club","Ealing Trailfinders Rugby Club","; Ealing Trailfinders",NA,"Ealing Trailfinders Rugby Club","The Trailsmen","http://www.wikidata.org/entity/Q5325488"
