origWdId,origName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
,,Christopher_Hilsenbeck,,Position,"Fly-half, Inside Centre",/wiki/Fly-half_(rugby_union),,
,,Christopher_Hilsenbeck,,Current team,Biarritz Olympique,/wiki/Biarritz_Olympique,,
,,Christopher_Hilsenbeck,,1998-2008,TSV Handschuhsheim,/wiki/TSV_Handschuhsheim,,
,,Christopher_Hilsenbeck,,2008-2012,US Colomiers,/wiki/US_Colomiers,,
