origWdId,origName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q372362,Mike Teague,Mike_Teague,Amateur team(s),,Moseley,/wiki/Moseley_Rugby_Football_Club,,
Q372362,Mike Teague,Mike_Teague,Amateur team(s),–,Cardiff,/wiki/Cardiff_RFC,,
Q372362,Mike Teague,Mike_Teague,Amateur team(s),–,Stroud,/w/index.php?title=Stroud_R.F.C.&action=edit&redlink=1,,
Q373771,Mark Ella,Mark_Ella,Amateur team(s),,Randwick,/wiki/Randwick_DRUFC,,
Q375259,Alex Burdon,Alex_Burdon,Amateur team(s),1902-04,Glebe RUFC,,,
Q375259,Alex Burdon,Alex_Burdon,Amateur team(s),1905-07,Sydney RUFC,,,
Q375894,Andrea De Marchi,"Andrea_De_Marchi_(rugby_union,_born_1988)",Youth career,Treviso,,,,
Q376378,David Humphreys,David_Humphreys_(rugby_union),Amateur team(s),1990-1994,Queen's University RFC,/wiki/Queen%27s_University_RFC,,
Q376378,David Humphreys,David_Humphreys_(rugby_union),Amateur team(s),1994,Ballymena R.F.C.,/wiki/Ballymena_R.F.C.,,
Q376378,David Humphreys,David_Humphreys_(rugby_union),Amateur team(s),1994-95,Oxford University RFC,/wiki/Oxford_University_RFC,,
Q376378,David Humphreys,David_Humphreys_(rugby_union),Amateur team(s),1998-,Dungannon RFC,/wiki/Dungannon_RFC,,
Q376430,Mike Blair,Mike_Blair,Amateur team(s),-,Edinburgh Academicals,/wiki/Edinburgh_Academicals_RFC,,
Q376430,Mike Blair,Mike_Blair,Amateur team(s),–,Boroughmuir,/wiki/Boroughmuir_RFC,,
Q381649,Gareth Cooper,Gareth_Cooper,Amateur team(s),,Pencoed,,,
Q383886,Fourie du Preez,Fourie_du_Preez,Youth career,2002–2003,Blue Bulls,/wiki/Bulls_(rugby_union),,
Q387758,John Rudd,John_Rudd_(rugby_union),Youth career,Saracens,,,,
Q389714,Imanol Harinordoquy,Imanol_Harinordoquy,Amateur team(s),1995-1999,Nafarroa,,,
Q406125,Benjamin Dambielle,Benjamin_Dambielle,Amateur team(s),1991–2004,FC Auch,/wiki/FC_Auch_Gers,,
Q406148,Jean-Marc Mazzonetto,Jean-Marc_Mazzonetto,Amateur team(s),,Lectoure,,,
Q406148,Jean-Marc Mazzonetto,Jean-Marc_Mazzonetto,Amateur team(s),–,SU Agen,/wiki/SU_Agen,,
Q425547,Gonzalo Longo,Gonzalo_Longo,Amateur team(s),1992-2001,San Isidro Club,/wiki/San_Isidro_Club,,
Q425576,Michael Lipman,Michael_Lipman,Youth career,Meringa,,,,
Q428564,Dan Drysdale,Dan_Drysdale,Amateur team(s),,Heriots,/wiki/Heriot%27s_Rugby_Club,,
Q428564,Dan Drysdale,Dan_Drysdale,Amateur team(s),–,Edinburgh University,/wiki/Edinburgh_University_RFC,,
Q428564,Dan Drysdale,Dan_Drysdale,Amateur team(s),–,Oxford University,/wiki/Oxford_University_RFC,,
Q428564,Dan Drysdale,Dan_Drysdale,Amateur team(s),–,London Scottish,/wiki/London_Scottish_F.C.,,
Q431135,Ron Cribb,Ron_Cribb,Amateur team(s),,Massey,/wiki/Massey_Rugby_Club,,
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)",Amateur team(s),1898,Charters Towers Waratahs,,,
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)",Amateur team(s),1899–1905,Charters Towers Natives,,,
Q432098,Tom Richards,"Tom_Richards_(rugby_union,_born_1882)",Amateur team(s),1906,Johannesburg Mines,,,
