"X","origWdId","origName","wiki_name","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored"
0,"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","amateur","2013-2014","ucd","/wiki/University_College_Dublin_RFC",0,0
1,"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","amateur","2014-","clontarf","/wiki/Clontarf_FC",0,0
2,"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","senior_club","2016-2017","connacht","/wiki/Connacht_Rugby",1,0
3,"Q27662807","Ivan Soroka","Ivan Soroka","Ivan_Soroka","senior_club","2025-","leinster","/wiki/Leinster_Rugby",1,0
4,"Q27662893","Ben Addison","Ben Addison","Ben_Addison","amateur","-","stirling county","/wiki/Stirling_County_RFC",0,0
5,"Q27662893","Ben Addison","Ben Addison","Ben_Addison","amateur","2015-2019","gha rfc","/wiki/Glasgow_Hutchesons_Aloysians_RFC",84,185
6,"Q27662893","Ben Addison","Ben Addison","Ben_Addison","senior_club","2005-2007","glasgow warriors","/wiki/Glasgow_Warriors",0,0
7,"Q27662893","Ben Addison","Ben Addison","Ben_Addison","international","-","scotland u19","/wiki/Scotland_national_under-19_rugby_union_team",0,0
8,"Q27662893","Ben Addison","Ben Addison","Ben_Addison","international","-","scotland u21","/wiki/Scotland_national_under-21_rugby_union_team",0,0
9,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","amateur","-","blackrock college","/wiki/Blackrock_College_RFC",0,0
10,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2001-08","glasgow warriors","/wiki/Glasgow_Warriors",21,0
11,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2006-07","→waterloo","/wiki/Waterloo_FC",0,0
12,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2007-08","→rotherham titans","/wiki/Rotherham_Titans",0,0
13,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2008-10","rotherham titans","/wiki/Rotherham_Titans",0,0
14,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010","nottingham","/wiki/Nottingham_RFC",0,0
15,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010","leinster","/wiki/Leinster_Rugby",0,0
16,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010","→rotherham titans","/wiki/Rotherham_Titans",0,0
17,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2010-11","northampton saints","/wiki/Northampton_Saints",0,0
18,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2011-12","nottingham","/wiki/Nottingham_RFC",0,0
19,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2012-14","cornish pirates","/wiki/Cornish_Pirates",0,0
20,"Q27663312","Ben Prescott","Ben Prescott","Ben_Prescott","senior_club","2014-15","london scottish","/wiki/London_Scottish_F.C.",0,0
