"origWdId","origName","frName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q46171","Pekahou Cowan","Pekahou Cowan","Pekahou_Cowan","Senior","2007-2007","Perth Spirit","Perth_Spirit","4","1","2007","2007"
"Q46171","Pekahou Cowan","Pekahou Cowan","Pekahou_Cowan","Senior","2014-2017","Perth Spirit","Perth_Spirit","11","4","2014","2017"
"Q46171","Pekahou Cowan","Pekahou Cowan","Pekahou_Cowan","Senior","2019-2020","Shimizu Blue Sharks",NA,"7","0","2019","2020"
"Q46171","Pekahou Cowan","Pekahou Cowan","Pekahou_Cowan","Senior","2020-2020","Western Force",NA,"5","0","2020","2020"
"Q46171","Pekahou Cowan","Pekahou Cowan","Pekahou_Cowan","Senior","2021-2021","Waratahs","Waratahs","1","0","2021","2021"
"Q46171","Pekahou Cowan","Pekahou Cowan","Pekahou_Cowan","Senior","2021-NA","Wellington","Wellington_Rugby_Football_Union",NA,NA,"2021",NA
"Q46171","Pekahou Cowan","Pekahou Cowan","Pekahou_Cowan","International","2009-2014","Australie","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV","10","0","2009","2014"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2004-2006","Waratahs","Waratahs","27","10","2004","2006"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2006-2011","Brumbies","Brumbies","48","30","2006","2011"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2014-2015","Waratahs",NA,"31","20","2014","2015"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2014-2014","NSW Country Eagles","New_South_Wales_Country_Eagles","4","5","2014","2014"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","International","NA-NA","Australie à sept","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_sept",NA,NA,NA,NA
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","International","2004-2008","Australie","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV","16","15","2004","2008"
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","Youth","NA-NA","Pézenas",NA,NA,NA,NA,NA
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","Senior","2002-2006","AS Béziers","Association_sportive_de_B%C3%A9ziers_H%C3%A9rault","64","110","2002","2006"
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","Senior","2006-2007","Bayonne","Aviron_bayonnais_rugby_pro","24","35","2006","2007"
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","Senior","2007-2009","Montauban","Union_sportive_montalbanaise","49","70","2007","2009"
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","Senior","2009-2011","Castres","Castres_olympique","52","70","2009","2011"
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","Senior","2011-2014","Montpellier HR","Montpellier_H%C3%A9rault_Rugby","55","55","2011","2014"
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","Senior","2014-2016","Racing Métro 92","Racing_92","18","5","2014","2016"
"Q46393","Yoan Audrin","Yoan Audrin","Yoan_Audrin","International","NA-NA","France",NA,NA,NA,NA,NA
"Q46396","Benoît Paillaugue","Benoît Paillaugue","Beno%C3%AEt_Paillaugue","Youth","2004-2005","Stade rochelais","Stade_rochelais",NA,NA,"2004","2005"
"Q46396","Benoît Paillaugue","Benoît Paillaugue","Beno%C3%AEt_Paillaugue","Youth","2005-2007","Stade français","Stade_fran%C3%A7ais_Paris_rugby",NA,NA,"2005","2007"
"Q46396","Benoît Paillaugue","Benoît Paillaugue","Beno%C3%AEt_Paillaugue","Senior","2007-2008","Stade français","Stade_fran%C3%A7ais_Paris_rugby","2","0","2007","2008"
