"wpName","fusName","rugbyscopeId","teamWP"
"Manuel Belgrano","Club Manuel Belgrano; Manuel Belgrano; azulgrana; Asociación Civil Club Manuel Belgrano","1114",NA
"Stoke RFC","Stoke Rugby Club","6024",NA
"US Lalinde","US Lalinde","4771",NA
"Abercrave RFC","Abercrave RFC; Abercrave Rugby Football Club","891",NA
"Suva Highlanders","Suva Highlanders; スバ・ハイランダーズ","1856",NA
"Heidelberg","Heidelberg","6714",NA
"Exmouth RFC","Exmouth RFC; Exmouth RFC Rugby; Exmouth RFC Rugby Club; Exmouth Rugby; Exmouth Rugby Team; Cockles; Exmouth; Exmouth Rugby Football Club","1227",NA
"Horsham RUFC","Horsham Rugby Club","3174",NA
"Mountain Ash RFC","Mountain Ash RFC; the Old Firm; Mountain Ash Rugby Football Club","1534",NA
"Farnham RUFC","Farnham RFC","4033",NA
"Silverdale","Silverdale RC","5870",NA
"Tyldesley","Tyldesley RFC","4164",NA
"Fylde","Fylde Rugby Club; Fylde Rugby; Fylde / #runitfylde; Fylde Rugby Football Club","1251",NA
"CUS Milano Rugby","CUS Milano Rugby","801",NA
"Edinburgh Wanderers","Edinburgh Wanderers; Edinburgh Wanderers Football Club","2547",NA
"Avezzano Rugby","Avezzano Rugby; Avezzano Rugby s.r.l. S.S.D; Avezzano Rugby Società Sportiva Dilettantistica; Avezzano Rugby SSD","857",NA
"RC pays de Roquefort","Rugby Club pays de Roquefort; RCP Roquefort; RCPR","2974",NA
"Rugby club Ordon","RC Ordon","5196",NA
"CO Berre XV","CO Berre XV; Club Olympique Berre XV","3094",NA
"Altrincham Kersal","Altrincham Kersal; Altrincham Kersal Rugby Football Club","903",NA
"North of Ireland FC","North of Ireland F.C.; North of Ireland FC; North of Ireland Football Club","1586",NA
"AL Echirolles","Amicale Laique Echirolles","4846",NA
"Etoile sportive Lembeye","ES Lembeye","4747",NA
"Rugby Sannio","Unione Rugby Sannio; Rugby Sannio","1336",NA
"Arechi Rugby","Arechi Rugby","5515",NA
"Blaenavon RFC","Blaenavon RFC; Blaenavon Rugby Football Club","984",NA
"Rugby Casale","Rugby Casale; ASD Rugby Casale","785",NA
"Burnside","Burnside RUFC","3629",NA
"SA Vierzon","SA Vierzon","4541",NA
"CS Clichy","CS Clichy; CSクリシー","4563",NA
"US Cublac Terrasson","Union Sportive Cublac Terrasson","4765",NA
"Gabardan AS","Gabardan AS","5318",NA
"Holt RFC","Holt RFC","3992",NA
"Sheffield Tigers","Sheffield Tigers RUFC; Sheffield Tigers; Sheffield Tigers Club; Sheffield Tigers Rugby; Sheffield Tigers Rugby Club; Sheffield Tigers Rugby Football Club; Sheffield Tigers Rugby Football Team; Sheffield Tigers Rugby Union Football Club","1800",NA
"South Leicester RFC","South Leicester RFC; South Leicester Rugby; South Leicester Rugby Club; South Leicester Rugby Football Club; South Leicester Rugby Team","1812",NA
"Bourges XV","Bourges XV","3120",NA
"Lautoka","Lautoka; ラウトカ","4444",NA
"Old Boys University","Old Boys University","1602",NA
"Tondu RFC","Tondu RFC; The Waterwheelers; Tondu Rugby Football Club","1887",NA
"Banco Nacion","Club Banco Nación; CABNA; Club Atletico Banco de la Nacion Argentina; Banco Nacion; Club Atlético Banco de la Nación Argentina; Banco Nación","426",NA
"Tullow RFC","Tullow RFC; Tullow; Tullow Rugby Club","1905",NA
"Cefneithin RFC","Cefneithin RFC; Cefneithin Rugby Football Club; Yr ‘eithin","1069",NA
"Morriston RFC","Morriston RFC; Monkeys","1532",NA
"UR Prato Sesto","Cavalieri Union Rugby; Cavalieri Union Rugby Prato Sesto; Unione Prato Sesto; Unione Rugby Prato Sesto","2429",NA
"ES Viry Chatillon","Viry-Châtillon Rugby Club; ES Viry-Châtillon; Viry RC; Viry Rugby Club; Viry-Châtillon RC; Entente sportive de Viry-Châtillon - Rugby; ES Viry-Châtillon - Rugby","3133",NA
"Fylde RC","Fylde Rugby Club; Fylde Rugby; Fylde / #runitfylde; Fylde Rugby Football Club","1251",NA
"Blackpool","Blackpool RFC","4292",NA
"Solliès-Pont","RC de la Vallée du Gapeau; Solliès-Pont; ソリエス＝ポン","4613",NA
"Rugby Livourne","Rugby Livorno 1931; Rugby Livorno; Rugby Livourne; リヴォルノ; ラグビーリヴォルノ1931","847",NA
"SC Rieumes","SC Rieumes","4484",NA
"Los Angeles AC","Rugby Football Club Los Angeles; RFCLA","3159",NA
"North of Ireland","North of Ireland F.C.; North of Ireland FC; North of Ireland Football Club","1586",NA
"Bruff RFC","Bruff R.F.C.; Bruff RFC","1018",NA
"Kidwelly RFC","Kidwelly RFC; Kidwelly Rugby Football Club; Black and Ambers","1407",NA
"Castelnaudary","Rugby Olympique Castelnaudary; RO Castelnaudary","3123",NA
"RC Saint-Sulpice","RC Saint-Sulpice","4626",NA
"Canterbury RFC","Canterbury RFC; Canterbury Football Club; Canterbury RFC Rugby; Canterbury Rugby; Canterbury Rugby Club; Canterbury Rugby Team; Foxes; Canterbury Rugby Football Club","1057",NA
"JS illibérienne","JS Illibérienne","4620",NA
"Rugby Noceto FC","Rugby Noceto Football Club; Rugby Noceto FC","846",NA
"London French","London French RFC; London French; London French Rugby Football Club","2176",NA
"Skewen RFC","Skewen RFC; Skewen Rugby Football Club","1806",NA
"Pucarà","Club Pucará; Club Pucara; Pucará; Rojo; プカラ","1118",NA
"Manurewa","Manurewa RC","5809",NA
"Harrogate RFC","Harrogate RUFC; Harrogate; Harrogate RFC; Harrogate Rugby; Harrogate Rugby Club; Harrogate Rugby Football Club; Harrogate Rugby Union; Harrogate Rugby Union Club; Harrogate Rugby Union Football; Harrogate Rugby Union Football Club; RFC Harrogate; RUFC Harrogate; Rugby Club Harrogate; Rugby Football Club Harrogate; Rugby Union Football Club Harrogate; Rugby Union Football Harrogate; Rugby Union Harrogate; Aces","1303",NA
"RA Épinal-Golbey","RA Épinal Golbey","5245",NA
"SO Givors","SO Givors","3044",NA
"Mendoza RC","Mendoza Rugby Club","3381",NA
"Barking","Barking Rugby Football Club; Barking; Barking Rugby Union Football Club","949",NA
"Capoterra","Amatori Rugby Capoterra; Amatori Rugby Capoterra ASD","790",NA
"RC Concarneau","RC Concarneau","4556",NA
"Mazères Cassagne Sports","Mazeres Cassagne Sports","4785",NA
"RC sablais","RC sablais","4545",NA
"False Bay RFC","False Bay","6212",NA
"Drummoyne DRFC","Drummoyne DRFC; Dirty Reds; Drummoyne District Rugby Football Club","1184",NA
"Barcelona Universitari Club","Barcelona Universitari Club; BUC; USAP-Barcelona","2037",NA
"Northampton Old Scouts","Northampton Old Scouts","4003",NA
"North Shore RFC","North Shore Rugby Football Club; North Shore Rugby Club; The Pride; ノースショア; ノース・ショア","1583",NA
"Avenir moissagais","Avenir Moissagais","4776",NA
"AS Monfort","Association sportive montfortoise; AS Monfort; AS Montfort-en-Chalosse; ASM","2978",NA
"Thurrock RFC","Thurrock Rugby Football Club; Thurrock","1884",NA
"Rion Morcenx CR","Rion Morcenx CR","4454",NA
"Kandy SC","Kandy Sports Club; Kandy Sports Club (rugby); Kandy S.C; Kandy Athletic Boating Cricket Football and Dancing Club; キャンディーSC","1394",NA
"Curupayti","Curupaytí Club de Rugby; Club Curupayti; Curupayti Rugby Club; Curupayti Club de Rugby; Curupaytí; Curupa","1154",NA
"Amatori Rugby Capoterra","Amatori Rugby Capoterra; Amatori Rugby Capoterra ASD","790",NA
"Lieuran XV","Lieuran XV","5358",NA
"RC Seyssins","RC Seyssins; RCセイサン","4606",NA
"Irvine RFC","Irvine RFC; Irvine; Irvine Rugby Football Club","1372",NA
"False Bay","False Bay","6212",NA
"Roca RC","Roca Rugby Club","3493",NA
"CUS Pavia","CUS Pavia ASD","5600",NA
"CO Le Puy","CO Le Puy","4455",NA
"Rugby club sablais","RC sablais","4545",NA
"Llanelli Wanderers RFC","Llanelli Wanderers RFC; Wanderers; Llanelli Wanderers Rugby Football Club","1458",NA
