"rugbyscopeId","altNames","teamWP"
NA,"US Colomiers; Colomiers rugby; Colomiers Rugby","Colomiers_Rugby"
NA,"Section paloise; Section Paloise; Pau; Section paloise rés.","Section_paloise_(rugby_%C3%A0_XV)"
NA,"Stade toulousain; Toulouse; SOE Toulouse; SOEVS Toulouse; Stade Toulousain","Stade_toulousain"
NA,"Racing 92; Racing Métro 92; Racing club de France; RC France; Racing CF; Racing Club de France; Racing-Paris; Métro Racing 92; Racing Metro; Racing Métro; Racing Metro 92; RC de France; Racing C.F.; Racing Club; Racing métro 92; Métro Racing","Racing_92"
NA,"Queensland Reds; Queensland; Reds; Queensland Rugby Union; Queensland RU","Queensland_Reds"
NA,"Australie; Australia","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV"
NA,"East Coast Aces; Queensland Country","Queensland_Country"
NA,"Brisbane City; Ballymore Tornadoes","Brisbane_City_(rugby_%C3%A0_XV)"
NA,"RC Toulon; Rugby club toulonnais; Toulon; R.C. Toulon","Rugby_club_toulonnais"
NA,"Melbourne Rebels; Rebels","Melbourne_Rebels"
NA,"Kintetsu Liners; Kintetsu; Hanazono Kintetsu Liners","Hanazono_Kintetsu_Liners"
NA,"Biarritz olympique; Biarritz; Biarritz Stade; Biarritz Olympique; Biarritz stade; Biarriz olympique","Biarritz_olympique_Pays_basque"
NA,"CA Périgueux; CA Perigueux","Club_athl%C3%A9tique_P%C3%A9rigueux_Dordogne"
NA,"Harlequins; Harlequins FC; Harlequin FC; Harlequin Football Club","Harlequin_Football_Club"
NA,"Montpellier HR; Montpellier; Montpellier RC; Montpellier HRC; Stade montpelliérain; Montpellier Hérault rugby","Montpellier_H%C3%A9rault_Rugby"
NA,"US Oyonnax; Oyonnax Rugby; US Oyonnax Rugby; Oyonnax rugby; Oyonnax","Oyonnax_Rugby"
NA,"Union Bordeaux Bègles; Bordeaux Bègles; Union Bordeaux-Bègles; U. Bordeaux Bègles; Union SB-CABBG; Bordeaux-Bègles","Union_Bordeaux_B%C3%A8gles"
NA,"Castres olympique; Castres; Castres Olympique","Castres_olympique"
NA,"Soyaux Angoulême XV; Soyaux Angoulême; Soyaux-Angoulême; SA XV Charente; Soyaux-Angoulême XV; RC Soyaux","Soyaux_Angoul%C3%AAme_XV_Charente"
NA,"Otago; Otago RFU; Otago Rugby","Otago_Rugby_Football_Union"
NA,"Highlanders; Otago Highlanders","Highlanders"
NA,"Nouvelle-Zélande; Nouvelle-Zélande XV","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV"
NA,"Nouvelle-Zélande à sept; Nouvelle-Zélande sept; Nouvelle-Zélande 7; Nouvelle-Zélande à 7; Nouvelle-Zélande (sept); Nouvelle Zélande à sept","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_sept"
NA,"Waratahs; New South Wales; NSW Waratahs; New South Wales Waratahs; Nouvelle-Galles du sud; New South Wales Rugby Union; Nouvelle-Galles du Sud; Nouvelles-Galles du Sud","Waratahs"
NA,"Wellington; Wellington Lions; Wellington RFU; Wellington Rugby Football Union; Wellington B","Wellington_Rugby_Football_Union"
NA,"Brumbies; ACT Brumbies; Brumbies Runners","Brumbies"
NA,"NSW Country Eagles; Country Eagles","New_South_Wales_Country_Eagles"
NA,"Australie à sept; Équipe d'Australie à sept; Australie à 7; Australie sept","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_sept"
NA,"AS Béziers; AS Béziers Hérault; Béziers; A.S. Béziers","Association_sportive_de_B%C3%A9ziers_H%C3%A9rault"
NA,"Bayonne; Aviron bayonnais; Aviron Bayonnais","Aviron_bayonnais_rugby_pro"
NA,"Montauban; US Montauban; Montauban TGXV; Montauban TG XV","Union_sportive_montalbanaise"
NA,"France à sept; France sept; France (sept); France 7; France à 7; France","%C3%89quipe_de_France_masculine_de_rugby_%C3%A0_sept"
NA,"Stade rochelais; Atlantique Stade rochelais; La Rochelle; Atlantique stade rochelais","Stade_rochelais"
NA,"Stade français; Stade français Paris; Stade Francais; Stade français CASG; Stade Français; Stade français Paris CASG; Stade Français Paris","Stade_fran%C3%A7ais_Paris_rugby"
NA,"FC Auch; FC Auch Gers; F.C. Auch","Football_Club_Auch_Gers"
NA,"US Ussel; US Usselloise","Union_sportive_usselloise"
NA,"ASM Clermont; AS Montferrand; ASM Clermont Auvergne; Clermont; Clermont Auvergne; AS Monferrand; A.S. Montferrand","ASM_Clermont_Auvergne"
NA,"Lions; Cats; Lions du Transvaal","Lions_(rugby_%C3%A0_XV)"
NA,"Golden Lions; Transvaal; Gauteng Lions; Golden Lions U20; Transvaal / Golden Lions; MTM Lions; Xerox Golden Lions","Golden_Lions"
NA,"CA Brive; Brive; C.A. Brive; CA Brive Corrèze; CA Brives","Club_athl%C3%A9tique_Brive_Corr%C3%A8ze_Limousin"
NA,"CS Lannemezan; CA Lannemezan; C.A. Lannemezanais","Cercle_amical_lannemezanais"
NA,"Lannemezan Tarbes; Tarbes Pyrénées; Tarbes PR; Stadoceste tarbais; Tarbes Pyrénées rugby; Stado Tarbes Pyrénées; Stadoceste Tarbais; Lannemezan-Tarbes; Stado Tarbes PR; Lannemezan Tarbes 65; Tarbes; Tarbes-Lannemezan HP; Lannemezan-Tarbes HP; Stade Tarbes PR; Stado Tarbes; Stadoceste tarbais rés.","Stado_Tarbes_Pyr%C3%A9n%C3%A9es_rugby"
NA,"Lyon OU; LOU Rugby; LOU; LOU rugby; Lyon O.U.","Lyon_olympique_universitaire_rugby"
NA,"Provence Rugby; RC Pays d'Aix; Pays d'Aix rugby club; Pays d'Aix RC; Provence rugby; Pays D’Aix Rugby; Aix RC; Pays d'Aix; Paix d'Aix RC; Pays d'Aix R.C.","Provence_Rugby"
NA,"Leicester Tigers; Leicester","Leicester_Tigers"
NA,"Sale Sharks; Sale; Sale RFC; Sale FC","Sale_Sharks"
NA,"Lions; Lions britanniques","%C3%89quipe_des_Lions_britanniques_et_irlandais_de_rugby_%C3%A0_XV"
NA,"Stade aurillacois; Stade Aurillacois; Aurillac","Stade_aurillacois_Cantal_Auvergne"
NA,"USA Perpignan; Perpignan; U.S.A. Perpignan; AC Perpignan; USAP","Union_sportive_Arlequins_perpignanais"
NA,"Newcastle Falcons; Newcastle; Newcastle Academy","Newcastle_Falcons"
NA,"CS Bourgoin-Jallieu; Bourgoin-Jallieu; CS Bourgoin-Jailleu; CS Bourgoin; Bourgoin; CS Bourgoin Jallieu; Bourgoin Jallieu; C.S. Bergusien","Club_sportif_Bourgoin-Jallieu_rugby"
NA,"Bugue AC; Le Bugue","Bugue_Athletic_Club"
NA,"Blues; Auckland Blues","Blues_(rugby_%C3%A0_XV)"
NA,"Taranaki; Taranaki RU; Taranaki RFU; Taranaki Rugby","Taranaki_Rugby_Football_Union"
NA,"Northampton Saints; Northampton","Northampton_Saints"
NA,"FC Lézignan XIII; Lézignan; FC Lézignan; F.C. Lézignan; Lézignan-Corbières","Football_club_L%C3%A9zignan-Corbi%C3%A8res_rugby_league"
NA,"Cavalieri Prato; I Cavalieri Prato; RC I Cavalieri Prato","Rugby_Club_I_Cavalieri_Prato"
NA,"US Dax; Dax; U.S. Dax","Union_sportive_dacquoise"
NA,"Stade niortais; Niort RC; Stade niortais rugby; Niort rugby club; Niort Rugby Club","Niort_Rugby_Club"
NA,"Heidelberger RK; Heidelberg RK","Heidelberger_Ruderklub_1872_e.V."
NA,"Auckland Rugby; Auckland; Auckland RFU; Auckland RFC","Auckland_Rugby_Football_Union"
NA,"Leopards; North West Leopards; Western Transvaal; North West; Leopard; ?","Leopards_(rugby_%C3%A0_XV)"
NA,"Central Cheetahs; Cheetahs; Free State; Griquas / Cheetahs","Cheetahs"
NA,"Griquas; Griqualand West Griquas; GWK Griquas; Wildeklawer Griquas; Griqualand West; West Griquas","Griqualand_West_Griquas"
NA,"FC Grenoble; Grenoble; FC Grenoble rugby; F.C. Grenoble","Football_Club_de_Grenoble_rugby"
NA,"Eastern Province Kings; Mighty Elephants; Eastern Province; Mighty Elefants; EP Kings; Eastern Kings; EP Elephants","Eastern_Province_Elephants"
NA,"Blue Bulls; Northern Transvaal; Bulls; Northern Tranvaal; Northern Transval; Northern transvaal","Blue_Bulls"
NA,"Bulls; Northern Bulls; Northern Transvaal; Blue Bulls / Bulls","Bulls_(rugby_%C3%A0_XV)"
NA,"Free State Cheetahs; Free State; Orange Free State; FS Cheetahs; Cheetahs","Free_State_Cheetahs"
NA,"Natal Sharks; Natal; Natal Wildebeeste; Natal Sharks -21; Sharks; Sharks Academy","Natal_Sharks"
NA,"Pampas XV; Pampas","Pampas_(rugby_%C3%A0_XV)"
NA,"Malborough; Marlborough; Marlborough RU","Marlborough_Rugby_Union"
NA,"Crusaders; Canterbury Crusaders","Crusaders"
NA,"London Wasps; Wasps; Wasps RFC; Wasps FC; Wasps Academy","Wasps"
NA,"Chiefs; Waikato Chiefs","Chiefs_(rugby_%C3%A0_XV)"
NA,"Hawke's Bay; Hawke's Bay RU; Hawkes Bay","Hawke%27s_Bay_Rugby_Union"
NA,"Coca Cola Red Sparks; Coca Cola West Red Sparks; West Red Sparks; Red Sparks","Coca_Cola_Red_Sparks"
NA,"Māori de NlleZélande; Māori All Blacks; Nouvelle-Zélande Māori","%C3%89quipe_des_M%C4%81ori_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV"
NA,"Canon Eagles; Yokohama Canon Eagles; Yokohama Eagles","Yokohama_Canon_Eagles"
NA,"Counties Manukau; Counties Manaukau; Manukau RU; Counties Manuaku","Counties_Manukau_Rugby_Union"
NA,"Waikato; Waikato RU; Waikato Rugby Union","Waikato_Rugby_Union"
NA,"Bath Rugby; Bath","Bath_Rugby"
NA,"Mitsubishi Dynaboars; Sagamihara Dynaboars; Mitsubishi Sagamihara","Mitsubishi_Sagamihara_Dynaboars"
NA,"Suntory Sungoliath; Tokyo Sungoliath; Suntory RFC","Tokyo_Sungoliath"
NA,"Toshiba Brave Lupus; Toshiba Fuchu; Brave Lupus Tokyo; Toshiba Brave Lupus Tokyo","Toshiba_Brave_Lupus_Tokyo"
NA,"NEC Green Rockets; NEC Green Rockets Tokatsu; Green Rockets Tokatsu","NEC_Green_Rockets_Tokatsu"
NA,"Canterbury; Canterbury RFU; Canterbury RFC; Canterbury RUFC","Canterbury_Rugby_Football_Union"
NA,"Panasonic Wild Knights; Sanyo Wild Knights; Wild Knights; Sanyo; Saitama Wild Knights; Sanyo Electric","Saitama_Wild_Knights"
NA,"Hurricanes; Wellington Hurricanes","Hurricanes"
NA,"Junior All Blacks; All Blacks XV","All_Blacks_XV"
