"teamName","rugbyscopeId"

"43rd State Crimson Lions Rugby",NA
"A. St James RFC",NA
"A.S. Facture",NA
"A.S. Salies",NA
"Aana Chiefs",NA
"ABCD XV",NA
"Abersychan RFC",NA
"Aboyne RFC",NA
"AC du Fer-à-Cheval",NA
"Académie Bénévent",NA
"Académie FIR Tirrenia",NA
"Académie Ivan Francescato",NA
"Académie Mirano",NA
"Accademia federale di Mogliano",NA
"Accademia FIR",NA
"Achères",NA
"Acholi Rugby Academy",NA
"AER Nvlle-Calédonie",NA
"AES Annecy",NA
"Afili Rugby Futuna",NA
"Aigles noirs de Tarbes",NA
"Aix Université Club Rugby",NA
"Albion Club",NA
"Aldershot Services",NA
"Allemagne -16",NA
"Allemagne -18",NA
"Amatori Capoterra",NA
"Amatori Modena",NA
"Amatori Napoli Rugby",NA
"Amatori Parme",NA
"Ambérieu",NA
"Amicale Rugby Calais",NA
"Andorre",NA
"Angers SCO",NA
"Angers SCO rugby",NA
"Angleterre -16",NA
"Angleterre -17",NA
"Angleterre -18",NA
"Angleterre -18 ans",NA
"Angleterre -19",NA
"Angleterre -21",NA
"Angleterre -21 ans",NA
"Angleterre U",NA
"Annonay",NA
"Antony",NA
"Aparejadores Burgos",NA
"Apia",NA
"Apia West",NA
"Apolima",NA
"Appia Rugby",NA
"Aramits",NA
"ARC Saint-Yrieix",NA
"ARC Vitré",NA
"Arcangues-Bassussarry",NA
"Ardmore",NA
"Argelès-Gazost",NA
"Argentine -18",NA
"Argentine -19",NA
"Argentine -21",NA
"Arles-sur-Tech",NA
"Armazi Tbilisi",NA
"Arrêt",NA
"AS AIA Lempdes",NA
"AS Apt",NA
"AS Bages",NA
"AS Bages Villeneuve",NA
"AS Bois-Colombes",NA
"AS Bompas XV",NA
"AS Bourse",NA
"AS Bram",NA
"AS Capestang",NA
"AS Corbeil-Essonnes",NA
"AS Côte basque",NA
"AS Grane",NA
"AS Idron-Lée",NA
"AS Jurançon",NA
"AS Lagny",NA
"AS Loriol",NA
"AS Mont-Dore",NA
"AS Montfort",NA
"AS Rugby Rovato",NA
"AS Salies",NA
"AS Salisienne",NA
"AS Seilhac",NA
"AS Tournus",NA
"AS Villemur",NA
"Asasp",NA
"ASMUR",NA
"ASOP",NA
"ASPO Brive",NA
"ASR Milan",NA
"Association Côte Landes",NA
"Auckland University",NA
"Aukland Trialist",NA
"Aurora Barbarians",NA
"Australian Rugby Union’s National Academy",NA
"Australie -18",NA
"Australie -18 ans",NA
"Australie -19",NA
"Australie -19 ans",NA
"Australie -21",NA
"Australie -21 ans",NA
"Auterive",NA
"Avamafoa RC",NA
"Avenir de Barcus",NA
"Avenir de Bizano",NA
"Avenir jurançonnais",NA
"Avenir lescarien",NA
"Avenir muretain XV",NA
"Avenir palois",NA
"Avenir sportif perpignanais",NA
"Aviator Kiev",NA
"B. S. de Valparaíso",NA
"Ba",NA
"Bagrati Kutaisi",NA
"Balma olympique",NA
"Balmain Ryde-Eastwood",NA
"Balmain Wolves",NA
"Balmy Beach",NA
"BALS",NA
"Barbarians français 7s",NA
"Barcelone UC",NA
"Barns Green",NA
"Barracudas de Saint-Barthélémy",NA
"Bassin Sud minervois",NA
"Bassoues",NA
"Bastruc's",NA
"Bathurst & Lismore",NA
"Bay Side RFC",NA
"BBRFC Celtic",NA
"BC islois",NA
"Beauvais XV",NA
"Beauvais XV Rugby Club",NA
"Beauvallon",NA
"Beauvoisin",NA
"Belgique -16",NA
"Belgique -17",NA
"Belgique -18",NA
"Belgique B",NA
"Belovula",NA
"Bénéjacq olympique",NA
"Bergamo",NA
"Berkleyvale HS",NA
"Bintulu RC",NA
"Biscarosse olympique",NA
"Black Star Rugby Charleroi",NA
"Blackpool Panthers",NA
"Blanzat-Châteaugay",NA
"Bloemfontein RFC",NA
"Boland Dames",NA
"Bombay Gymkhana",NA
"Bombo Rugby Firenze",NA
"Border Bullsdogs",NA
"Bourges",NA
"Bowen Brothers",NA
"Bradford & Bingley",NA
"Bramley",NA
"Brantford Harlequins",NA
"Brésil -18",NA
"Brésil XV",NA
"Bretenoux Biars",NA
"Bridgend Blue Bulls",NA
"Brisbane Easts",NA
"Brisbane South",NA
"Brisbane State High School",NA
"Brisbane Tigers",NA
"Brussels British SC",NA
"Burdekin Canetoads",NA
"Burdigala",NA
"Burotic Abidjan",NA
"Bytown Blues",NA
"C.A.O. Esperaza",NA
"C.A.Pontacq",NA
"CA Bédarieux",NA
"CA Morcenx",NA
"CA Pontarlier",NA
"CA Saint-Laurent",NA
"Cabestany",NA
"CAC Castelsarrasin",NA
"Cadeneaux-Vitrolles",NA
"Cadillac-Preignac",NA
"Canada -17",NA
"Canada -18",NA
"Canet-Sainte-Marie",NA
"Canterbury Colts",NA
"Capbreton",NA
"Capbreton Hossegor R.",NA
"Capendu",NA
"Cardiff Blues A",NA
"Casale Rugby",NA
"Castricum RC",NA
"Centaurs RFC",NA
"Centro de Cazadores",NA
"Centurion RK",NA
"Cerbère",NA
"CFR Pașcani",NA
"CGE",NA
"Chaminuka RFC",NA
"Châteauneuf-Orange",NA
"Châteauneuf-Orange RC",NA
"Châteauneuf du Pape - Orange",NA
"Châteauneuf Orange RC",NA
"Chelsea RFC",NA
"Chili XV",NA
"Chimia Năvodari",NA
"Cholet",NA
"Chorley Panthers",NA
"Christ Collegen",NA
"Christian Brothers SS Youghal",NA
"Christians Brothers College",NA
"Cigognes de Tarbes",NA
"Ciorogarla RC",NA
"Círculo Univ. de Quilmes",NA
"Clifton",NA
"Clovelly Eagles JRFC",NA
"Club Olympique Tuchan",NA
"Club San Marcos",NA
"Clwb Rygbi",NA
"CO Cessenon",NA
"CO Puy",NA
"CO Saint-Lary",NA
"CO Sigean",NA
"Coarraze-Nay",NA
"Coastal Rugby",NA
"Colleferro Rugby",NA
"Colorno Rugby",NA
"Columbus Hawks",NA
"Conegliano",NA
"Contactoare Buzău",NA
"Contor Arad",NA
"Coogee Wombats",NA
"Coquelicots Montéchois",NA
"Cornouailles",NA
"Cornwall",NA
"Cosmopolitan Club",NA
"Covenant Brothers",NA
"CR & FC",NA
"CR Resistencia",NA
"CR San Nicolás",NA
"CRAB XV",NA
"Cranleigh School",NA
"CRC Madrid Noroeste",NA
"CREC Nouméa",NA
"CREC Rugby",NA
"CRICC Caerdydd",NA
"Cross Keys",NA
"Crusaders Academy",NA
"Crusaders International Academy",NA
"Crusaders Knights",NA
"CS lédonien",NA
"CS Meaux",NA
"CS Metrorex",NA
"CS Ozon",NA
"CS Triumf Bucarest",NA
"CS Villefrance SS",NA
"CSAR",NA
"CSCE Luxembourg",NA
"CSM Bucovina Suceava",NA
"CSM Suceava",NA
"CSR Pașcani",NA
"CSŞ București",NA
"CSȘ București",NA
"CSŞ Constanța",NA
"CSŞ Siromex Baia Mare",NA
"CSȘ Triumf Bucarest",NA
"CSU AV Arad",NA
"Cúcuta RC",NA
"CUS Catane",NA
"CUS Catania",NA
"CUS Milan",NA
"CUS Padoue",NA
"CUS Rome",NA
"CUS Vérone",NA
"Cuvu College",NA
"Cuxac-d'Aude",NA
"Cuyo RC",NA
"Cwmafan RFC",NA
"Daito Bunka Univ.",NA
"Dallas ARC",NA
"Danie Joubert Combined School",NA
"De La Salle College",NA
"Devon",NA
"Devonport RFC",NA
"Dieppe UC",NA
"Ding Crusaders",NA
"Dschang RC",NA
"DSV 1878 Hanovre",NA
"Dubai Exiles RFC",NA
"Dublin Blues",NA
"Dumbea RC",NA
"Dundee Eagles",NA
"Dunedin Pirates",NA
"Dungarvan RFC",NA
"Duras 13",NA
"Durham université",NA
"Dynamo-Energie Kazan",NA
"Eastern Suburbs Roosters",NA
"Eastside Banshees RC",NA
"École de rugby de Krasnoïarsk",NA
"Ecole de rugby du Daghestan",NA
"École Rugby Pic Saint-Loup",NA
"Écosse -16",NA
"Ecosse -18",NA
"Écosse -18",NA
"Écosse -18 ans",NA
"Écosse -19",NA
"Écosse -19 ans",NA
"Écosse -21",NA
"Écosse B",NA
"Écosse Club XV",NA
"Edach Budowlani Lublin",NA
"EDF Paris",NA
"EDG - Gradignan",NA
"Edinburgh Institute FP",NA
"Edmonton",NA
"Edmonton Nor'Westers Rugby Club",NA
"Edmonton Rugby Union",NA
"Effingham & Leatherhead RFC",NA
"Emerging Irland",NA
"Empils Rostov-sur-le-Don",NA
"Empire britannique",NA
"Energia Bucarest",NA
"Energia Vulcan",NA
"Ent. Bompas-Villelongue",NA
"Ent. Fleurance Lectoure",NA
"Ent.St-CéréBretenoux",NA
"Entente Bordelaise",NA
"Entente Canet-Sainte-Marie",NA
"Entente de la Nivelle",NA
"Entente de La Nivelle",NA
"Entente de la Têt",NA
"Entente des 4 cantons",NA
"Entente des 4 Cantons",NA
"Entente Pouillon Habas",NA
"Entente RCCS Brétigny",NA
"Entente Vallée de l'Escou",NA
"EPA Razorbacks",NA
"Equipe de l'armée française JO 1924, Paris",NA
"ER Pic Saint-Loup",NA
"ES Arudy",NA
"ES Coteaux de l'Arrêt",NA
"ES Côteaux de l'Arrêt",NA
"ES Lambeye",NA
"ES Lartigue",NA
"ES Montignac",NA
"ES Saint-Saturnin",NA
"ES Villiers-sur-Marne",NA
"ESC BAC Espira",NA
"ESCA rugby",NA
"Esl rugby",NA
"Espagne -18",NA
"Espagne -19",NA
"Espagne -21",NA
"Espérance Saint-Léger",NA
"États-Unis -19",NA
"États-Unis A",NA
"États-Unis XV",NA
"Évreux A.C Rugby",NA
"Exideuil",NA
"F.I.R Academy",NA
"F.I.R. Academy",NA
"Falaleu Marist",NA
"False Bay College",NA
"Fanga club",NA
"FC Oloron rés.",NA
"FC Saint-Claude Rugby",NA
"FC Tain Tournon",NA
"FC Trie",NA
"Fennecs d'Amoukrouz (Mauritanie)",NA
"Fidji -18",NA
"Fidji -19",NA
"Fidji -21",NA
"FIR Academy",NA
"Fire RC",NA
"Fishguard RFC",NA
"Flers",NA
"Florentia Rugby",NA
"Fontanil OC",NA
"Foyer Laïque du Haut-Vernet",NA
"Foyer Laïque Haut Vernet",NA
"France -16",NA
"France -17",NA
"France -18",NA
"France -18 ans",NA
"France -19",NA
"France -19 ans",NA
"France -21",NA
"France -21 ans",NA
"France espoirs",NA
"France fédérale",NA
"France Fédérales",NA
"France junior",NA
"France juniors",NA
"France militaire",NA
"France Militaire",NA
"France militaires",NA
"France olympique",NA
"France scolaire",NA
"France U",NA
"France universitaire",NA
"France Universitaire",NA
"France universitaires",NA
"Franconville RC",NA
"Fredericton Loyalists",NA
"FTGI Granducato",NA
"Gabarret AS",NA
"Galles -16",NA
"Galles -19",NA
"Galles -21",NA
"Galveston RFC",NA
"GAOB",NA
"GAOBS",NA
"GAP Despatch",NA
"Gaunavou",NA
"Geckos, Nadroga",NA
"Géorgie -16",NA
"Géorgie -17",NA
"Géorgie -18",NA
"Géorgie -19",NA
"Géorgie XV",NA
"Getafe Rugby",NA
"Gill College",NA
"Ginestas",NA
"Girondins ASP",NA
"Glaswgow Warriors",NA
"Glebe Dirty Reds",NA
"Glebe RU",NA
"Glenmore Park Brumbies",NA
"Gloria Bucarest",NA
"Golden Lions U21",NA
"Good Luck RC",NA
"Good Luck Rugby",NA
"Grafton",NA
"Grand Rapids Gazelles",NA
"Grande Milano",NA
"Granducato Rugby",NA
"Grange Stars RFC",NA
"Grangetown",NA
"Greerton Marist RC",NA
"Grenade",NA
"Grenade sports",NA
"Grenade Sports",NA
"Grey College",NA
"Guam RC",NA
"Hakuoh University",NA
"Hamiltons RC",NA
"Hanazono University",NA
"Harlequins Club",NA
"Harlequins de Pretoria",NA
"Hastings Boys High School",NA
"Havelock",NA
"Hawera RFC",NA
"Hawke's Bay Unicorns",NA
"Heckmondwike",NA
"Heritage School",NA
"Hibernian FC",NA
"High School of Dundee",NA
"Hills Sports High Scholl",NA
"Hirondelles d'Orthez",NA
"Hoerskool Florida",NA
"Hoërskool Montana",NA
"Hottentots Holland HS",NA
"Houston Athletic RC",NA
"HS Old Boys RFC",NA
"Hucclecote RFC",NA
"Hull KR",NA
"Hunslet F.C.",NA
"Hutt Valley Dolphins",NA
"Hyères",NA
"I.T. Saitama",NA
"île du Nord",NA
