"","France","New Zealand","South Africa","England","Wales","Scotland","Australia","Japan","Ireland","Italy","Argentina","Fiji","Others"
"enWP",22.4944027393652,86.7151815437021,88.5577017354643,80.2416254805052,72.144260454673,87.4781503257588,82.1258503401361,19.0872103307978,82.8745534776213,59.7448979591837,68.6828491842419,73.1020613373555,64.4378478664193
"esWP",4.8465692084815,5.86049392273748,5.66722227669379,3.66831411312466,3.81700813920853,3.00333704115684,8.02721088435374,0.831416946753936,4.76990964488338,4.8469387755102,34.6597692001592,5.48014077425842,5.55844155844156
"frWP",88.3181878045568,38.0119222729736,32.483576821257,29.0389895661724,28.6696603985406,21.7543302081678,38.9965986394558,6.77516362993101,29.9642782097079,43.5714285714286,56.6653402307998,59.7787833081951,54.8423005565863
"itWP",8.4222310022389,10.8384299760006,8.8734189626434,12.3668314113125,9.99158012910469,7.65930398855872,17.0068027210884,0.831416946753936,14.7930237444841,72.8571428571429,33.7047353760446,8.54700854700855,7.45083487940631
"jaWP",2.95008560516265,16.0021676859952,8.8538091969801,4.99725425590335,5.26241930957059,4.60829493087558,17.7040816326531,88.855474969043,6.55599915948729,6.68367346938776,14.2061281337047,17.8481649069884,16.3413729128015
"WD",50.3555906756223,26.5851203839901,20.3843514070007,43.8769906644701,56.1605388717373,29.7950103289369,33.6734693877551,37.4668317707412,42.3828535406598,28.0612244897959,31.9936331078392,32.0261437908497,29.1354359925788
