"Country","Count"
"France","15186"
"New Zealand","12917"
"South Africa","10199"
"England","9105"
"Wales","7126"
"Scotland","6293"
"Australia","5880"
"Japan","5653"
"Ireland","4759"
"Italy","3920"
"Argentina","2513"
"Fiji","1989"
"Others","13475"
