"Nation","Count"
"Algeria",220
"Argentina",2513
"Armenia",4
"Australia",5880
"Bahamas",8
"Bahrain",1
"Belgium",333
"Bermuda",12
"Bolivia",11
"Bosnia and Herzegovina",13
"Brazil",93
"Cambodia",1
"Cameroon",84
"Canada",1010
"Cayman Islands",3
"Chile",157
"China",19
"Colombia",6
"Cook Islands",29
"Croatia",20
"Cyprus",21
"Czechia",93
"Czechoslovakia",1
"D.R. of the Congo",60
"Denmark",10
"England",9137
"Eswatini",3
"Fiji",1989
"France",15188
"Gambia",7
"Georgia",1093
"Germany",397
"Ghana",7
"Greece",3
"Guam",5
"Hong Kong",106
"Hungary",12
"India",39
"Indonesia",1
"Iran",14
"Ireland",4763
"Italy",3920
"Ivory Coast",108
"Japan",5653
"Japon",16
"Jersey",8
"Kazakhstan",10
"Kenya",48
"Latvia",8
"Lebanon",9
"Lesotho",2
"Lithuania",31
"Luxembourg",8
"Madagascar",4
"Malaysia",20
"Mali",5
"Malta",8
"Mexico",12
"Moldova",87
"Monaco",4
"Montenegro",6
"Morocco",66
"Myanmar",3
"Namibia",534
"Netherlands",138
"New Zealand",12917
"Nigeria",41
"Norway",5
"Papua New Guinea",2
"Peru",1
"Philippines",37
"Poland",99
"Portugal",380
"Romania",1299
"Russia",325
"Russian",1
"Samoa",1364
"Scotland",6306
"Senegal",24
"Serbia",17
"South Africa",10200
"South Korea",117
"Spain",671
"Sri Lanka",35
"Sweden",10
"Switzerland",57
"Taiwan",3
"Tonga",1520
"Trinidad and Tobago",13
"Tunisia",19
"Turkey",4
"U.S.A.",1496
"Uganda",18
"Ukraine",15
"United Kingdom",296
"Uruguay",329
"Uzbekistan",3
"Vanuatu",4
"Wales",7143
"Yugoslavia",9
"Zimbabwe",231
NA,0
