"","France","New Zealand","South Africa","England","Wales","Scotland","Australia","Japan","Ireland","Italy","Argentina","Fiji","Others"
"enWP",3383,11195,9029,7283,5127,5498,4825,1079,3939,2340,1727,1454,8669
"esWP",714,756,578,333,272,189,472,47,227,190,871,109,749
"frWP",13331,4911,3312,2638,2042,1370,2292,383,1427,1708,1425,1189,7388
"itWP",1273,1400,905,1123,712,482,1001,47,704,2856,848,170,1004
"jaWP",439,2067,903,452,374,290,1041,5021,312,262,358,355,2201
"WD",7599,3424,2072,3968,3988,1872,1976,2117,2013,1100,802,636,3899
