"","France","New Zealand","South Africa","England","Wales","Scotland","Australia","Japan","Ireland","Italy","Argentina","Fiji","Others"
"enWP",32.0047281323877,89.2629482071713,91.1272386749386,78.376737282418,77.5175294644189,89.4566098945661,83.0797433547204,29.4451539662268,84.8672389698543,60.0998098859316,68.4210526315789,78.8072417465389,78.6426328007647
"esWP",6.73758865248227,5.61752988047809,5.36111436263608,5.08028606126029,3.53573027002835,2.09245742092457,6.80109990834097,2.2704697034199,3.79317228987822,4.89543726235741,30.7545973367153,1.2779552715655,4.68387272975556
"frWP",87.2860520094563,34.7011952191235,29.7436497717429,32.0874375927675,31.4038490228256,22.4493106244931,35.6003666361137,12.4024407549312,31.8426831702935,38.4505703422053,49.9048826886493,50.9052183173589,45.8145568755974
"itWP",9.82033096926714,11.2250996015936,8.84935034531195,13.2505734718661,12.4421900641504,8.85644768856448,14.6654445462878,3.3205619412516,15.4521860650829,65.6131178707224,29.3595434369055,4.79233226837061,6.1723337430015
"jaWP",5.1725768321513,14.7410358565737,8.21725389207538,6.63878019160707,6.6388184395047,5.77453365774534,16.205316223648,83.4681424719739,7.28688360950289,5.48954372623574,13.8871274571972,17.1458998935037,16.9329509763758
"WD",47.3427895981087,20.2589641434263,16.2121034765305,45.9856969369856,56.2285543786364,34.176804541768,30.1008249312557,37.264084007379,47.1551207825913,24.287072243346,27.9644895370958,35.0372736954207,31.1211252219036
