"rugbyscopeId","altNames","teamWP"
"6877","三菱重工相模原; 相模原DB; →相模原DB; 相模原D","%E4%B8%89%E8%8F%B1%E9%87%8D%E5%B7%A5%E7%9B%B8%E6%A8%A1%E5%8E%9F%E3%83%80%E3%82%A4%E3%83%8A%E3%83%9C%E3%82%A2%E3%83%BC%E3%82%BA"
"6878","サントリー; 東京SG; サントリーサンゴリアス","%E6%9D%B1%E4%BA%AC%E3%82%B5%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC%E3%82%B5%E3%83%B3%E3%82%B4%E3%83%AA%E3%82%A2%E3%82%B9"
"698","東芝; BL東京; 東芝府中; 東芝ブレイブルーパス東京","%E6%9D%B1%E8%8A%9D%E3%83%96%E3%83%AC%E3%82%A4%E3%83%96%E3%83%AB%E3%83%BC%E3%83%91%E3%82%B9%E6%9D%B1%E4%BA%AC"
"6879","NEC; GR東葛; NECグリーンロケッツ東葛; NEC東葛; 東葛","NEC%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%AD%E3%82%B1%E3%83%83%E3%83%84%E6%9D%B1%E8%91%9B"
"6880","チーフス; チーフス (ラグビー)","%E3%83%81%E3%83%BC%E3%83%95%E3%82%B9_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
NA,"リンカーン大学",NA
"6881","パナソニック; 埼玉WK; 三洋電機; 三洋電機・パナソニック; 埼玉; 三洋電機ワイルドナイツ; 埼玉パナソニックワイルドナイツ; パナソニックワイルドナイツ; 埼玉ワイルドナイツ","%E5%9F%BC%E7%8E%89%E3%83%91%E3%83%8A%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%E3%83%AF%E3%82%A4%E3%83%AB%E3%83%89%E3%83%8A%E3%82%A4%E3%83%84"
"6882","クルセイダーズ; Crusader","%E3%82%AF%E3%83%AB%E3%82%BB%E3%82%A4%E3%83%80%E3%83%BC"
"6883","カンタベリー",NA
"6884","ウェリントン",NA
"6885","ラ・ロシェル; スタッド・ロシュレ","%E3%82%B9%E3%82%BF%E3%83%83%E3%83%89%E3%83%BB%E3%83%AD%E3%82%B7%E3%83%A5%E3%83%AC"
"99","ハリケーンズ","%E3%83%8F%E3%83%AA%E3%82%B1%E3%83%BC%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
"6886","グリクアス",NA
"267","レンスター","%E3%83%AC%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC"
"6887","ドラゴンズ","%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%A6%E3%83%8B%E3%82%AA%E3%83%B3)"
