"origWdId","origName","jaName","wpPage","stepType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q31193","Ben Smith","ベン・スミス","%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B)","Senior","2009-2019","ハイランダーズ","/wiki/%E3%83%8F%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","153","200","2009","2019"
"Q31193","Ben Smith","ベン・スミス","%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B)","Regional","2007-2012","オタゴ",NA,"44","55","2007","2012"
"Q31193","Ben Smith","ベン・スミス","%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9_(%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B)","International","2009-2019","ニュージーランド","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8","84","195","2009","2019"
"Q46171","Pekahou Cowan","ペッカフォウ・カーワン","%E3%83%9A%E3%83%83%E3%82%AB%E3%83%95%E3%82%A9%E3%82%A6%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3","Senior",NA,"パース・スピリット","",NA,NA,NA,NA
"Q46171","Pekahou Cowan","ペッカフォウ・カーワン","%E3%83%9A%E3%83%83%E3%82%AB%E3%83%95%E3%82%A9%E3%82%A6%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3","Senior",NA,"清水建設","/wiki/%E3%83%96%E3%83%AB%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9",NA,NA,NA,NA
"Q46171","Pekahou Cowan","ペッカフォウ・カーワン","%E3%83%9A%E3%83%83%E3%82%AB%E3%83%95%E3%82%A9%E3%82%A6%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3","Senior",NA,"フォース","/wiki/%E3%82%A6%E3%82%A7%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%BB%E3%83%95%E3%82%A9%E3%83%BC%E3%82%B9",NA,NA,NA,NA
"Q46171","Pekahou Cowan","ペッカフォウ・カーワン","%E3%83%9A%E3%83%83%E3%82%AB%E3%83%95%E3%82%A9%E3%82%A6%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3","International","2009-","オーストラリア","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8","10","0","2009",NA
"Q72185","Manu Tuilagi","マヌ・トゥイランギ","%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE","Senior","2009-2020","レスター","/wiki/%E3%83%AC%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%E3%82%B9","128","205","2009","2020"
"Q72185","Manu Tuilagi","マヌ・トゥイランギ","%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE","Senior","2020-","セール","/wiki/%E3%82%BB%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9","38","15","2020",NA
"Q72185","Manu Tuilagi","マヌ・トゥイランギ","%E3%83%9E%E3%83%8C%E3%83%BB%E3%83%88%E3%82%A5%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%AE","International","2011-","イングランド","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8","59","100","2011",NA
