"oldUrl","newUrl"
"13e_arrondissement_de_Paris",NA
"Annemasse",NA
"Annonay",NA
"Aramits",NA
"Argenteuil_(Val-d%27Oise)",NA
"Arles",NA
"Auterive_(Haute-Garonne)",NA
"Auxerre",NA
"B%C3%A9n%C3%A9vent",NA
"Baie_de_l%27Abondance_(r%C3%A9gion)","Bay_of_Plenty_(National_Provincial_Championship)"
"Balma",NA
"Bazas",NA
"Beauvais",NA
"Bellegarde-sur-Valserine",NA
"Belv%C3%A8s",NA
"Berre-l%27%C3%89tang",NA
"Bidart",NA
"Bizanos",NA
"Blaye",NA
"Blues","Blues_(rugby_%C3%A0_XV)"
"Bonneville_(Haute-Savoie)",NA
"Bourges",NA
"Br%C3%A9tigny-sur-Orge",NA
"Bras-Panon",NA
"Brisbane",NA
"Cambo-les-Bains",NA
"Canberra",NA
"Capdenac",NA
"Casteljaloux",NA
"Castelnau-Magnoac",NA
"Castelnaudary",NA
"Caussade_(Tarn-et-Garonne)",NA
"Caz%C3%A8res",NA
"Ch%C3%A2teaubriant",NA
"Chartres",NA
"Choisy-le-Roi",NA
"Cholet",NA
"Clube_de_Futebol_Os_Belenenses_(omnisports)","Clube_de_Futebol_Os_Belenenses_(rugby_%C3%A0_XV)"
"Collioure",NA
"Connacht","Connacht_Rugby"
"Cuxac-d%27Aude",NA
"Draguignan",NA
"East_Coast_Aces","Queensland_Country"
"Eaunes",NA
"Espalion",NA
"Falcons","Falcons_(rugby_%C3%A0_XV)"
"Fichier:600px_Sudamerica_Rugby.svg",NA
"Fighting_Irish_de_Notre_Dame","Notre_Dame_Rugby_Football_Club"
"Fleury_(Aude)",NA
"Floirac_(Gironde)",NA
"Football_Club_de_Lyon","Football_Club_de_Lyon_(rugby_%C3%A0_XV)"
"Football_club_sportif_Rumilly","Rugby_club_Savoie_Rumilly"
"Gaillac",NA
"Gan_(Pyr%C3%A9n%C3%A9es-Atlantiques)",NA
"Givors",NA
"Gruissan",NA
"Gu%C3%A9ret",NA
"Hasparren",NA
"Hav%C3%AD%C5%99ov",NA
"Hendaye",NA
"Hounds_de_Chicago","Hounds_de_Chicago_(rugby_%C3%A0_XV)"
"Ibos",NA
"Istres_sports","Istres_sports_rugby"
"Jeunesse_athl%C3%A9tique_d%27Isle_(football)",NA
"L%27Isle-Jourdain_(Gers)",NA
"L%C3%A9guevin",NA
"L%C3%A9ognan",NA
"La_Baule-Escoublac",NA
"La_Ravoire",NA
"Labrugui%C3%A8re",NA
"Lalinde",NA
"Larressore",NA
"Layrac_(Lot-et-Garonne)",NA
"Le_Boulou",NA
"Le_Puy-en-Velay",NA
"Leinster","Leinster_Rugby"
"Leonessa_Rugby","Rugby_Brescia"
"Leucate",NA
"Limay",NA
"Livry-Gargan",NA
"Lomas_Athletic_Club","Lomas_Athletic_Club_(rugby_a_15)"
"Maisons-Alfort",NA
"Melun",NA
"Mende",NA
"Metallourg_Novokouznetsk","Novokouznetsk_Rugby"
"Moissac",NA
"Monein",NA
"Montauban",NA
"Morcenx",NA
"Muret_(Haute-Garonne)",NA
"N%C3%A9rac",NA
"Nantua",NA
"New_South_Wales_Rugby_Union","Waratahs"
"New_York_Athletic_Club","New_York_Athletic_Club_Rugby_Football_Club"
"Nouvelle-Z%C3%A9lande","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV"
"Nuits-Saint-Georges",NA
"Olonzac",NA
"Otago",NA
"Ouveillan",NA
"P%C3%A9zenas",NA
"Paris_Jean-Bouin","Club_athl%C3%A9tique_des_sports_g%C3%A9n%C3%A9raux_(rugby_%C3%A0_XV)"
"Paris_universit%C3%A9_club","Paris_universit%C3%A9_club_(rugby_%C3%A0_XV)"
"Parramatta",NA
"Partenope_Naples","Partenope_Rugby"
"Ponsonby_(Nouvelle-Z%C3%A9lande)",NA
"Pont-%C3%A0-Mousson",NA
"Prague",NA
"Province_de_Nadroga-Navosa",NA
"Queensland_Rugby_Union","Queensland_Reds"
"Rabastens",NA
"Racing_Club_de_France","Racing_92"
"Revel_(Haute-Garonne)",NA
"Rieumes",NA
"Rivesaltes",NA
"Rotorua",NA
"Sabah",NA
"Saint-Amand-les-Eaux",NA
"Saint-Andr%C3%A9-de-Cubzac",NA
"Saint-Andr%C3%A9-de-Roquelongue",NA
"Saint-Cl%C3%A9ment-de-Rivi%C3%A8re",NA
"Saint-Denis_(La_R%C3%A9union)",NA
"Saint-Florent-sur-Cher",NA
"Saint-Front-sur-L%C3%A9mance",NA
"Saint-Gilles_les_Bains",NA
"Saint-Girons_(Ari%C3%A8ge)",NA
"Saint-Jean-de-Bournay",NA
"Saint-Jean-en-Royans",NA
"Saint-Leu_(La_R%C3%A9union)",NA
"Saint-Rambert-d%27Albon",NA
"Saint-Rapha%C3%ABl_(Var)",NA
"Saint-Savin_(Is%C3%A8re)",NA
"Sainte-Croix-Volvestre",NA
"Sainte-Foy-la-Grande",NA
"Salies-de-B%C3%A9arn",NA
"Sarcelles",NA
"Section_paloise","Section_paloise_(rugby_%C3%A0_XV)"
"Septfonds",NA
"Seyssins",NA
"Six-Fours-les-Plages",NA
"Soisy-sous-Montmorency",NA
"Soual",NA
"Souillac",NA
"Sucy-en-Brie",NA
"Suva",NA
"Terengganu",NA
"Terrasson-Lavilledieu",NA
"Territoire_de_la_capitale_australienne",NA
"Thouars",NA
"Tokyo_Gas","%E6%9D%B1%E4%BA%AC%E3%82%AC%E3%82%B9%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%83%A8"
"Torquay_United_Football_Club","Torquay_Athletic_RFC"
"Torreilles",NA
"Toulouse_olympique_employ%C3%A9s_club","Toulouse_olympique_employ%C3%A9s_club_(rugby_%C3%A0_XV)"
"Tourcoing",NA
"Tr%C3%A8bes",NA
"Tremblay-en-France",NA
"Ulster","Ulster_Rugby"
"Union_sportive_m%C3%A9tropolitaine_des_transports","Union_sportive_m%C3%A9tropolitaine_des_transports_(rugby_%C3%A0_XV)"
"Universit%C3%A9_de_Cambridge","Cambridge_University_Rugby_Union_Football_Club"
"Universit%C3%A9_de_Johannesbourg","UJ_Rugby"
"Universit%C3%A9_de_Sydney","Sydney_University_Football_Club"
"Universit%C3%A9_du_Cap","Ikey_Tigers"
"Universit%C3%A9_du_Wisconsin_%C3%A0_Platteville","Universit%C3%A9_du_Wisconsin"
"Universit%C3%A9_du_Wisconsin_%C3%A0_Whitewater","Universit%C3%A9_du_Wisconsin"
"Universit%C3%A9_nationale_de_C%C3%B3rdoba","Club_Universitario_de_C%C3%B3rdoba"
"Universit%C3%A9_Stanford","Cardinal_de_Stanford"
"Universit%C3%A9_Waseda","Waseda_University_Rugby_Football_Club"
"University_College_Dublin","University_College_Dublin_RFC"
"Ussel_(Corr%C3%A8ze)",NA
"Vaitele",NA
"Valenciennes",NA
"Viadana","Rugby_Viadana"
"Villeneuve-de-Marc",NA
"Villeneuve-sur-Lot",NA
"Viry-Ch%C3%A2tillon",NA
