"Intervals","Counts","Density"
"[0, 2[","9514","0.195239072439975"
"[2, 4[","5799","0.119002667761133"
"[4, 6[","4284","0.0879129899445927"
"[6, 8[","2695","0.0553047404063205"
"[8, 10[","1317","0.0270264723989329"
"[10, 12[","509","0.0104453108967782"
"[12, 14[","173","0.0035501744305356"
"[14, 16[","52","0.00106710445310897"
"[16, 18[","16","0.000328339831725836"
"[18, 20[","1","2.05212394828648e-05"
"[20, 22[","4","8.20849579314591e-05"
"[22, 24[","1","2.05212394828648e-05"
