"Position","Count"
"Prop","3216"
"Hooker","1642"
"Loosehead Lock","1"
"Tighthead Lock","1"
"Flanker","3030"
"Number 8","1172"
"Scrum-Half","1663"
"Fly-Half","1867"
"Centre","3318"
"Winger","3372"
"Fullback","1831"
"Others","4222"
