"","France","New Zealand","England","South Africa","Japan","Wales","Australia","Ireland","Scotland","Italy","Argentina","U.S.A.","Others"
"DBPD",713,2322,1704,1906,271,1419,1184,769,1076,351,310,267,1904
"enWP",1075,2766,2692,1912,323,1727,1679,1369,1368,440,371,400,2428
"esWP",381,233,153,170,27,101,171,102,78,56,288,75,323
"frWP",3361,916,664,717,89,503,489,429,375,294,259,102,1473
"itWP",308,285,281,196,13,173,219,185,116,550,161,17,225
"jaWP",152,492,127,217,2030,87,247,93,79,62,87,67,642
"WD",3523,2908,2819,2234,2062,1754,1738,1411,1390,673,495,463,3280
