"Intervals","Counts","Density"
"[1800, 1810[","1","4.17693496512259e-06"
"[1810, 1820[","0","0"
"[1820, 1830[","0","0"
"[1830, 1840[","2","8.35386993024519e-06"
"[1840, 1850[","87","0.000363393341965666"
"[1850, 1860[","288","0.00120295726995531"
"[1860, 1870[","440","0.00183785138465394"
"[1870, 1880[","663","0.00276930788187628"
"[1880, 1890[","720","0.00300739317488827"
"[1890, 1900[","601","0.00251033791403868"
"[1900, 1910[","835","0.00348774069587737"
"[1910, 1920[","623","0.00260223048327138"
"[1920, 1930[","781","0.00326218620776075"
"[1930, 1940[","836","0.00349191763084249"
"[1940, 1950[","983","0.00410592707071551"
"[1950, 1960[","1033","0.00431477381897164"
"[1960, 1970[","1518","0.0063405872770561"
"[1970, 1980[","2795","0.0116745332275176"
"[1980, 1990[","5243","0.0218996700221378"
"[1990, 2000[","5609","0.0234284282193726"
"[2000, 2010[","883","0.00368823357420325"
