"Intervals","Counts","Density"
"[1880, 1890[","1","7.17360114777618e-05"
"[1890, 1900[","0","0"
"[1900, 1910[","2","0.000143472022955524"
"[1910, 1920[","3","0.000215208034433286"
"[1920, 1930[","1","7.17360114777618e-05"
"[1930, 1940[","14","0.00100430416068867"
"[1940, 1950[","1","7.17360114777618e-05"
"[1950, 1960[","17","0.00121951219512195"
"[1960, 1970[","21","0.001506456241033"
"[1970, 1980[","56","0.00401721664275466"
"[1980, 1990[","104","0.00746054519368723"
"[1990, 2000[","248","0.0177905308464849"
"[2000, 2010[","444","0.0318507890961263"
"[2010, 2020[","452","0.0324246771879484"
"[2020, 2030[","30","0.00215208034433285"
