"PointsScored","Count"
"0",10654
"1",22
"2",70
"3",609
"4",253
"5",930
"6",287
"7",39
"8",130
"9",150
"10",676
"11",24
"12",162
"13",34
"14",41
"15",583
"16",52
"17",24
"18",61
"19",27
"20",528
"21",43
"22",30
"23",27
"24",62
"25",415
"26",18
"27",35
"28",38
"29",18
"30",382
"31",16
"32",56
"33",21
"34",15
"35",314
"36",30
"37",18
"38",15
"39",18
"40",306
"41",21
"42",21
"43",9
"44",20
"45",262
"46",20
"47",21
"48",25
"49",9
"50",243
"51",14
"52",21
"53",19
"54",13
"55",221
"56",10
"57",19
"58",20
"59",7
"60",228
"61",9
"62",16
"63",22
"64",15
"65",187
"66",15
"67",8
"68",11
"69",12
"70",193
"71",8
"72",24
"73",10
"74",9
"75",164
"76",14
"77",15
"78",9
"79",6
"80",157
"81",7
"82",12
"83",14
"84",11
"85",128
"86",9
"87",16
"88",13
"89",13
"90",148
"91",2
"92",13
"93",16
"94",17
"95",112
"96",9
"97",16
"98",15
"99",6
"100",115
"101",11
"102",8
"103",7
"104",5
"105",113
"106",6
"107",8
"108",15
"109",8
"110",104
"111",5
"112",16
"113",13
"114",13
"115",103
"116",6
"117",8
"118",6
"119",4
"120",94
"121",9
"122",3
"123",19
"124",9
"125",81
"126",11
"127",13
"128",7
"129",10
"130",80
"131",9
"132",14
"133",10
"134",4
"135",74
"136",7
"137",11
"138",9
"139",5
"140",82
"141",4
"142",6
"143",9
"144",11
"145",75
"146",6
"147",10
"148",6
"149",4
"150",62
"151",6
"152",15
"153",7
"154",10
"155",52
"156",9
"157",18
"158",8
"159",7
"160",58
"161",6
"162",7
"163",5
"164",10
"165",51
"166",5
"167",10
"168",7
"169",3
"170",39
"171",5
"172",10
"173",5
"174",5
"175",44
"176",7
"177",10
"178",10
"179",10
"180",49
"181",4
"182",3
"183",11
"184",3
"185",58
"186",6
"187",6
"188",9
"189",6
"190",53
"191",2
"192",6
"193",6
"194",5
"195",44
"196",3
"197",2
"198",3
"199",1
"200",33
"201",9
"202",9
"203",5
"204",9
"205",34
"206",2
"207",6
"208",8
"209",1
"210",32
"211",7
"212",3
"213",8
"214",4
"215",25
"216",1
"217",4
"218",4
"219",5
"220",30
"221",5
"222",7
"223",6
"224",2
"225",34
"226",5
"227",10
"228",6
"229",2
"230",29
"231",5
"232",6
"233",8
"234",1
"235",25
"236",7
"237",5
"238",9
"239",3
"240",28
"241",4
"242",4
"243",3
"244",3
"245",24
"246",3
"247",4
"248",6
"249",9
"250",23
"251",4
"252",11
"253",2
"254",7
"255",15
"256",7
"257",1
"258",2
"259",6
"260",34
"261",4
"262",5
"263",3
"265",26
"266",4
"267",5
"268",6
"269",4
"270",18
"271",5
"272",8
"273",2
"274",2
"275",16
"276",3
"277",3
"278",3
"279",8
"280",15
"281",4
"282",5
"283",3
"284",3
"285",15
"286",3
"287",7
"288",5
"289",3
"290",14
"291",1
"292",2
"293",3
"294",2
"295",16
"296",4
"297",5
"298",3
"299",3
"300",13
"301",1
"302",3
"303",1
"304",3
"305",7
"307",7
"308",4
"309",4
"310",12
"311",4
"312",3
"313",2
"314",2
"315",10
"316",1
"317",6
"319",3
"320",16
"321",3
"322",2
"323",4
"324",5
"325",15
"326",2
"327",1
"328",3
"329",2
"330",13
"331",6
"332",1
"333",8
"334",2
"335",5
"336",1
"337",2
"338",6
"339",3
"340",15
"341",2
"342",3
"343",5
"344",3
"345",8
"346",2
"347",3
"348",2
"349",2
"350",12
"351",4
"352",4
"354",2
"355",8
"356",6
"357",4
"359",7
"360",7
"361",4
"362",8
"363",4
"364",2
"365",7
"366",3
"367",3
"368",2
"369",3
"370",6
"371",3
"372",4
"373",3
"374",5
"375",2
"376",3
"377",2
"378",3
"379",2
"380",7
"381",1
"382",2
"383",3
"384",3
"385",7
"386",3
"387",5
"388",4
"389",4
"390",7
"391",1
"392",1
"394",2
"395",7
"397",3
"398",2
"399",2
"400",8
"401",1
"402",3
"403",2
"405",2
"406",2
"407",4
"408",1
"409",2
"410",10
"411",3
"412",4
"413",2
"415",8
"416",2
"417",1
"418",2
"419",4
"420",7
"421",2
"422",3
"423",1
"424",4
"425",5
"426",2
"427",2
"428",1
"429",5
"430",7
"431",3
"432",1
"433",4
"434",2
"435",2
"437",2
"438",3
"439",2
"442",1
"443",4
"444",1
"445",4
"447",1
"448",4
"449",1
"450",4
"451",1
"452",4
"453",2
"455",5
"456",3
"457",3
"458",3
"459",1
"460",6
"461",1
"462",2
"463",3
"464",2
"465",6
"466",1
"467",2
"468",2
"470",7
"471",1
"472",2
"474",4
"475",2
"476",1
"477",2
"478",4
"479",1
"480",4
"483",1
"484",3
"485",2
"486",2
"487",3
"488",3
"489",3
"490",7
"492",2
"495",3
"496",3
"497",1
"498",1
"499",2
"500",5
"502",1
"503",1
"504",1
"505",4
"506",1
"507",2
"509",2
"510",4
"511",2
"512",3
"513",1
"514",3
"515",2
"516",1
"517",2
"518",1
"519",2
"524",2
"525",3
"526",3
"527",1
"528",1
"529",2
"530",10
"531",1
"532",2
"533",2
"534",4
"535",3
"538",2
"539",3
"540",3
"541",2
"542",1
"543",2
"544",1
"546",2
"548",2
"549",1
"550",1
"551",1
"552",1
"553",1
"554",1
"555",2
"556",2
"558",1
"559",2
"560",5
"561",1
"563",2
"565",2
"566",2
"567",2
"568",1
"570",4
"571",1
"574",1
"575",4
"576",3
"577",2
"578",2
"579",1
"580",5
"581",2
"582",1
"583",1
"584",4
"588",1
"590",1
"591",1
"592",4
"593",1
"595",7
"596",2
"598",3
"599",1
"600",3
"601",2
"604",1
"605",2
"606",1
"607",1
"608",2
"609",1
"610",3
"611",2
"612",3
"613",1
"615",3
"616",1
"618",3
"619",2
"622",1
"625",3
"626",1
"627",1
"628",2
"629",2
"630",3
"631",3
"634",2
"635",2
"636",2
"637",1
"638",1
"639",1
"640",2
"641",1
"643",3
"644",2
"645",1
"646",1
"647",4
"649",1
"650",2
"652",1
"653",1
"654",1
"655",2
"657",1
"659",1
"660",2
"665",2
"666",1
"667",2
"669",2
"670",2
"672",2
"674",1
"675",3
"677",2
"679",1
"680",1
"681",1
"682",1
"683",2
"686",1
"687",1
"688",1
"690",4
"691",4
"692",3
"693",1
"694",1
"698",2
"699",1
"702",1
"703",1
"705",4
"708",2
"709",1
"710",1
"711",1
"715",5
"717",1
"718",1
"720",2
"723",1
"725",3
"726",1
"727",1
"730",5
"732",1
"733",1
"734",1
"735",1
"736",1
"737",1
"739",1
"740",1
"741",1
"742",1
"745",1
"746",1
"748",1
"749",1
"750",1
"751",1
"754",2
"755",2
"759",1
"761",1
"762",1
"763",2
"764",1
"765",1
"766",2
"768",2
"772",1
"774",1
"779",1
"781",1
"785",2
"788",2
"790",1
"793",1
"795",2
"797",1
"799",2
"802",1
"806",2
"809",1
"810",2
"814",1
"815",2
"817",2
"818",2
"819",1
"820",1
"826",2
"829",1
"830",2
"831",2
"833",1
"834",1
"835",3
"836",1
"837",1
"838",1
"840",1
"841",2
"844",1
"845",2
"847",1
"848",1
"850",1
"854",1
"859",1
"863",1
"864",1
"865",1
"869",1
"872",1
"876",1
"879",3
"880",1
"881",1
"885",1
"886",1
"888",1
"890",3
"891",2
"895",1
"897",1
"899",1
"903",1
"904",1
"905",1
"909",3
"912",1
"913",1
"917",1
"918",2
"920",2
"923",1
"928",1
"930",3
"936",1
"937",1
"939",1
"941",1
"947",2
"952",1
"953",1
"959",1
"960",1
"961",1
"963",1
"965",1
"973",1
"976",1
"979",1
"980",1
"982",1
"985",1
"986",1
"988",1
"989",1
"990",1
"994",1
"999",1
"1004",2
"1006",1
"1007",1
"1011",1
"1013",2
"1015",1
"1022",1
"1024",1
"1025",1
"1026",1
"1031",1
"1036",2
"1038",1
"1040",1
"1043",1
"1048",1
"1052",1
"1056",2
"1058",1
"1059",2
"1063",1
"1067",1
"1069",1
"1074",1
"1075",3
"1079",1
"1081",1
"1089",1
"1092",1
"1093",1
"1095",2
"1099",1
"1100",1
"1101",1
"1103",1
"1104",1
"1106",1
"1108",1
"1114",1
"1115",1
"1116",1
"1117",1
"1118",1
"1119",1
"1120",1
"1125",1
"1128",1
"1131",2
"1136",1
"1148",4
"1149",1
"1150",1
"1153",1
"1155",1
"1160",1
"1163",1
"1166",1
"1167",1
"1171",2
"1173",1
"1177",1
"1178",1
"1179",1
"1180",1
"1184",1
"1185",1
"1187",1
"1193",1
"1198",1
"1200",1
"1201",1
"1203",1
"1204",1
"1208",2
"1211",1
"1212",1
"1216",1
"1217",1
"1219",1
"1223",1
"1225",1
"1229",1
"1235",1
"1239",1
"1240",1
"1241",1
"1249",1
"1250",1
"1259",1
"1263",2
