"Intervals","Counts","Density"
"[1870, 1880[","10","0.000161969549724652"
"[1880, 1890[","15","0.000242954324586978"
"[1890, 1900[","55","0.000890832523485585"
"[1900, 1910[","121","0.00195983155166829"
"[1910, 1920[","295","0.00477810171687723"
"[1920, 1930[","267","0.0043245869776482"
"[1930, 1940[","378","0.00612244897959184"
"[1940, 1950[","536","0.00868156786524133"
"[1950, 1960[","472","0.00764496274700356"
"[1960, 1970[","531","0.00860058309037901"
"[1970, 1980[","541","0.00876255264010366"
"[1980, 1990[","571","0.00924846128927762"
"[1990, 2000[","558","0.00903790087463557"
"[2000, 2010[","634","0.0102688694525429"
"[2010, 2020[","774","0.012536443148688"
"[2020, 2030[","416","0.00673793326854551"
