"StintNumber","Count"
"0",1776
"1",3801
"2",3925
"3",3146
"4",2657
"5",2350
"6",1935
"7",1580
"8",1121
"9",784
"10",534
"11",312
"12",197
"13",107
"14",66
"15",39
"16",13
"17",10
"18",6
"19",1
"21",3
"22",1
"23",1
NA,0
