"name","tier","division","country","wikidataId","homonyms"
"Border Reivers",1,"Celtic League","Scotland","Q893414",""
"Caledonia Reds",1,"Celtic League","Scotland","Q2933786",""
"Edinburgh Rugby",1,"United Rugby Championship","Scotland","Q739613",""
"Glasgow Warriors",1,"United Rugby Championship","Scotland","Q374981",""
"Currie RFC",2,"Scottish Premiership","Scotland","Q1144887",""
"Edinburgh Academical Football Club",2,"Scottish Premiership","Scotland","Q1284702",""
"Glasgow Hawks RFC",2,"Scottish Premiership","Scotland","Q528969",""
"Glasgow Hutchesons Aloysians RFC",2,"Scottish Premiership","Scotland","Q3108550",""
"Hawick RFC",2,"Scottish Premiership","Scotland","Q930661",""
"Heriot's Rugby Club",2,"Scottish Premiership","Scotland","Q1318239",""
"Jed-Forest RFC",2,"Scottish Premiership","Scotland","Q2366481",""
"Kelso RFC",2,"Scottish Premiership","Scotland","Q3194941",""
"Marr RFC",2,"Scottish Premiership","Scotland","Q6772766",""
"Musselburgh RFC",2,"Scottish Premiership","Scotland","Q6943105",""
"Selkirk RFC",2,"Scottish Premiership","Scotland","Q1521117",""
"Ayr RFC",3,"Scottish National League Division One","Scotland","Q793219",""
"Biggar RFC",3,"Scottish National League Division One","Scotland","Q2902403",""
"Dundee HSFP",3,"Scottish National League Division One","Scotland","Q1128070",""
"Gala RFC",3,"Scottish National League Division One","Scotland","Q613916",""
"Glasgow Academicals RFC",3,"Scottish National League Division One","Scotland","Q3108545",""
"Glasgow High Kelvinside",3,"Scottish National League Division One","Scotland","Q3108544",""
"Highland RFC",3,"Scottish National League Division One","Scotland","Q5759041",""
"Melrose RFC",3,"Scottish National League Division One","Scotland","Q1000020",""
"Watsonian FC",3,"Scottish National League Division One","Scotland","Q3566734",""
"Aberdeen GSFP RFC",4,"Scottish National League Division Two","Scotland","Q2821574",""
"Berwick RFC",4,"Scottish National League Division Two","Scotland","Q4896005",""
"Falkirk RFC",4,"Scottish National League Division Two","Scotland","Q5431941",""
"Gordonians RFC",4,"Scottish National League Division Two","Scotland","Q3110943",""
"Kirkcaldy RFC",4,"Scottish National League Division Two","Scotland","Q6415617",""
"Lasswade RFC",4,"Scottish National League Division Two","Scotland","Q6494082",""
"Newton Stewart RFC",4,"Scottish National League Division Two","Scotland","Q107501664",""
"Peebles RFC",4,"Scottish National League Division Two","Scotland","Q16932231",""
"Stewart's Melville RFC",4,"Scottish National League Division Two","Scotland","Q3499334",""
"Stirling County RFC",4,"Scottish National League Division Two","Scotland","Q3499557",""
"Allan Glen's RFC",5,"Scottish National League Division Three","Scotland","Q68377636",""
"Boroughmuir RFC",5,"Scottish National League Division Three","Scotland","Q894098",""
"Cartha Queens Park RFC",5,"Scottish National League Division Three","Scotland","Q2940573",""
"Dumfries Saints RFC",5,"Scottish National League Division Three","Scotland","Q5313800",""
"Hamilton RFC",5,"Scottish National League Division Three","Scotland","Q282354","Q17054465"
"Hillhead Jordanhill RFC",5,"Scottish National League Division Three","Scotland","Q3135671",""
"Howe of Fife RFC",5,"Scottish National League Division Three","Scotland","Q5921630",""
"Orkney RFC",5,"Scottish National League Division Three","Scotland","Q65071249",""
"Preston Lodge RFC",5,"Scottish National League Division Three","Scotland","Q7241930",""
"West of Scotland FC",5,"Scottish National League Division Three","Scotland","Q3567454",""
"Aberdeen Wanderers RFC",6,"Caledonia Regional League Division One","Scotland","Q4667008",""
"Blairgowrie RFC",6,"Caledonia Regional League Division One","Scotland","Q107501654",""
"Caithness RFC",6,"Caledonia Regional League Division One","Scotland","Q65041384",""
"Dunfermline RFC",6,"Caledonia Regional League Division One","Scotland","Q5315050",""
"Ellon RFC",6,"Caledonia Regional League Division One","Scotland","Q5366108",""
"Garioch RFC",6,"Caledonia Regional League Division One","Scotland","Q107501658",""
"Glenrothes RFC",6,"Caledonia Regional League Division One","Scotland","Q5569297",""
"Grangemouth Stags",6,"Caledonia Regional League Division One","Scotland","Q65068100",""
"Hillfoots RFC",6,"Caledonia Regional League Division One","Scotland","Q65069044",""
"Broughton RFC",6,"East Regional League Division One","Scotland","Q107970187",""
"Dalkeith RFC",6,"East Regional League Division One","Scotland","Q5211067",""
"Forrester RFC",6,"East Regional League Division One","Scotland","Q5470552",""
"Haddington RFC",6,"East Regional League Division One","Scotland","Q5637667",""
"Langholm RFC",6,"East Regional League Division One","Scotland","Q6486096",""
"Murrayfield Wanderers RFC",6,"East Regional League Division One","Scotland","Q6939543",""
"Portobello RFC",6,"East Regional League Division One","Scotland","Q7232191",""
"Ross High RFC",6,"East Regional League Division One","Scotland","Q107970192",""
"Annan RFC",6,"West Regional League Division One","Scotland","Q4767911",""
"Cambuslang RFC",6,"West Regional League Division One","Scotland","Q5025690",""
"Carrick RFC",6,"West Regional League Division One","Scotland","Q107501656",""
"East Kilbride RFC",6,"West Regional League Division One","Scotland","Q5328727",""
"Garnock RFC",6,"West Regional League Division One","Scotland","Q5523707",""
"Irvine RFC",6,"West Regional League Division One","Scotland","Q6074370",""
"Kilmarnock RFC",6,"West Regional League Division One","Scotland","Q6407987",""
"Lenzie RFC",6,"West Regional League Division One","Scotland","Q68377625",""
"Stewartry RFC",6,"West Regional League Division One","Scotland","Q67913328",""
"Strathendrick RFC",6,"West Regional League Division One","Scotland","Q7622098",""
"Alloa RFC",7,"Caledonia Regional League Midlands Division Two","Scotland","Q67913309",""
"Carnoustie HSFP",7,"Caledonia Regional League Midlands Division Two","Scotland","Q107501655",""
"Dundee University Medics RFC",7,"Caledonia Regional League Midlands Division Two","Scotland","Q107501657",""
"Harris Academicals RFC",7,"Caledonia Regional League Midlands Division Two","Scotland","Q16993693",""
"Kinross RFC",7,"Caledonia Regional League Midlands Division Two","Scotland","Q107501660",""
"Madras College FP RFC",7,"Caledonia Regional League Midlands Division Two","Scotland","Q6728475",""
"Panmure RFC",7,"Caledonia Regional League Midlands Division Two","Scotland","Q28966518",""
"Aberdeenshire RFC",7,"Caledonia Regional League North Division Two","Scotland","Q107501652",""
"Banff RFC",7,"Caledonia Regional League North Division Two","Scotland","Q107501653",""
"Mackie Academy RFC",7,"Caledonia Regional League North Division Two","Scotland","Q107501662",""
"Moray RFC",7,"Caledonia Regional League North Division Two","Scotland","Q21997618",""
"North Police Scotland RFC",7,"Caledonia Regional League North Division Two","Scotland","Q107970185",""
