"Name","Tier","Division","WD"
Aironi Rugby,1,Pro12,
Benetton Rugby,1,United Rugby Championship,
Zebre Parma,1,United Rugby Championship,
ASD Rugby Vicenza,2,Serie A Élite,
Fiamme Oro Rugby,2,Serie A Élite,
Mogliano Rugby,2,Serie A Élite,
Petrarca Rugby,2,Serie A Élite,
Rugby Colorno,2,Serie A Élite,
Rugby Lyons Piacenza,2,Serie A Élite,
Rugby Rovigo Delta,2,Serie A Élite,
Rugby Viadana,2,Serie A Élite,
Valorugby Emilia,2,Serie A Élite,
Amatori Rugby Alghero,3,Serie A,
Amatori Rugby Milano,3,Serie A,
Arvalia Villa Pamphili Rugby Roma,3,Serie A,
AS Rugby Milano,3,Serie A,
ASD Rugby Paese,3,Serie A,
Avezzano Rugby,3,Serie A,
Biella RC,3,Serie A,Missing
Cavalieri Union Rugby Prato Sesto,3,Serie A,
CUS Milano Rugby,3,Serie A,
CUS Torino Rugby,3,Serie A,
Monferrato RC,3,Serie A,Missing
Rubano Rugby,3,Serie A,
Rugby Badia 1981,3,Serie A,
Rugby Calvisano SSD,3,Serie A,
Rugby Casale,3,Serie A,
Rugby Civitavecchia,3,Serie A,Missing
Rugby Club Valpolicella,3,Serie A,
Rugby Livorno 1931,3,Serie A,
Rugby Napoli Afragola,3,Serie A,Missing
Rugby Noceto Football Club,3,Serie A,
Rugby Paganica,3,Serie A,Missing
Rugby Parabiago 1948,3,Serie A,
Rugby Parma FC 1931,3,Serie A,
Rugby Pesaro,3,Serie A,Missing
Rugby Roma Olimpic Club 1930,3,Serie A,
Ruggers Tarvisium,3,Serie A,
SS Lazio Rugby 1927,3,Serie A,
Unione Rugby Capitolina,3,Serie A,
Unione Sportiva Primavera Rugby,3,Serie A,
UR Firenze,3,Serie A,Missing
Valsugana Rugby Padova,3,Serie A,
Verona Rugby,3,Serie A,
VII Rugby Torino,3,Serie A,
Villorba Rugby,3,Serie A,
Amatori Catania Rugby,4,Serie B,
Amatori Rugby Capoterra,4,Serie B,
Arechi Rugby,4,Serie B,Missing
ASD Rugby Belluno,4,Serie B,
ASD Rugby Lecco,4,Serie B,
Botticino Rugby Union,4,Serie B,
Brixia Rugby,4,Serie B,Missing
Castellana Rugby,4,Serie B,Missing
Cernusco Rugby,4,Serie B,Missing
Colleferro Rugby 1965,4,Serie B,
CUS Catania Rugby,4,Serie B,
CUS Genova Rugby,4,Serie B,
CUS Padova Rugby,4,Serie B,
CUS Perugia Rugby,4,Serie B,
CUS Siena,4,Serie B,
Feltre Rugby,4,Serie B,Missing
Frascati Rugby Club,4,Serie B,
GranDucato Parma Rugby,4,Serie B,
Highlanders Formigine,4,Serie B,Missing
Ivrea Rugby,4,Serie B,
L'Aquila Rugby Club,4,Serie B,
Lions Alto Lazio,4,Serie B,Missing
Lions Amaranto,4,Serie B,Missing
Messina Rugby,4,Serie B,Missing
Modena Rugby 1965,4,Serie B,
Partenope Rugby,4,Serie B,
Piacenza Rugby Club,4,Serie B,
Pro Recco Rugby,4,Serie B,
Romagna Rugby Football Club,4,Serie B,
Rovato Rugby,4,Serie B,Missing
Rugby Bergamo,4,Serie B,
Rugby Bologna 1928,4,Serie B,
Rugby Gubbio,4,Serie B,Missing
Rugby Jesi 1970,4,Serie B,
Rugby Pieve,4,Serie B,Missing
Rugby Rho ASD,4,Serie B,
Rugby San Donà,4,Serie B,
Rugby Savona,4,Serie B,Missing
Rugby Varese,4,Serie B,Missing
San Marco Venezia Mestre,4,Serie B,Missing
Trento Rugby,4,Serie B,Missing
UR San Benedetto,4,Serie B,Missing
US Firenze Rugby 1931,4,Serie B,
US Roma,4,Serie B,Missing
US Rugby Benevento,4,Serie B,
Veneziamestre Rugby 1986,4,Serie B,
Villadose Rugby,4,Serie B,Missing
CUS Roma Rugby,5,Serie C,
Abruzzo Rugby,5,Serie C Abruzzo,Missing
Sulmona Rugby,5,Serie C Abruzzo,Missing
Rugby Circolo Benevento ASD,5,Serie C Campania,Missing
ASD Rimini Rugby,5,Serie C Emilia Romagna,Missing
CUS Ferrara Rugby ASD,5,Serie C Emilia Romagna,Missing
Faenza Rugby FC ASD,5,Serie C Emilia Romagna,Missing
Giallo Dozza Bologna ASD,5,Serie C Emilia Romagna,Missing
IMOLA RUGBY ASD,5,Serie C Emilia Romagna,Missing
Ravenna Rugby FC,5,Serie C Emilia Romagna,Missing
Rugby Carpi ASD,5,Serie C Emilia Romagna,Missing
Rugby Guastalla 2008 ASD,5,Serie C Emilia Romagna,Missing
Saviors Social Rugby ASD,5,Serie C Emilia Romagna,Missing
ASD Rugby Conegliano,5,Serie C Friuli Venezia Giulia,Missing
ASD Rugby Pordenone,5,Serie C Friuli Venezia Giulia,Missing
Bolzano Rugby ASD ,5,Serie C Friuli Venezia Giulia,Missing
C'e L'este Rugby ,5,Serie C Friuli Venezia Giulia,Missing
Checco Camposampiero ,5,Serie C Friuli Venezia Giulia,Missing
Exclesior Padova Rugby 1929,5,Serie C Friuli Venezia Giulia,Missing
Grifoni Rugby Club,5,Serie C Friuli Venezia Giulia,Missing
Lagaria Rugby Rovereto,5,Serie C Friuli Venezia Giulia,Missing
Montebelluna Rugby 1977,5,Serie C Friuli Venezia Giulia,Missing
Patavium Rugby Union ,5,Serie C Friuli Venezia Giulia,Missing
Pedemontana Livenza Rugby,5,Serie C Friuli Venezia Giulia,Missing
Polisportiva Oltrefersina ASD ,5,Serie C Friuli Venezia Giulia,Missing
Rangers Rugby Vicenza,5,Serie C Friuli Venezia Giulia,Missing
RC Pasian di Prato,5,Serie C Friuli Venezia Giulia,Missing
Rugby Altovicentino ASD ,5,Serie C Friuli Venezia Giulia,Missing
Rugby Piave ASD ,5,Serie C Friuli Venezia Giulia,Missing
Scaligera Rugby Verona ASD,5,Serie C Friuli Venezia Giulia,Missing
Silea Rugby 1981 ASD,5,Serie C Friuli Venezia Giulia,Missing
All Reds Rugby Roma ASD,5,Serie C Lazio,Missing
ASD Arieti Rugby Rieti 2014,5,Serie C Lazio,Missing
Cisterna Rugby ASD,5,Serie C Lazio,Missing
Fabraternum Rugby Club ASD,5,Serie C Lazio,Missing
Luiss SSD ARL,5,Serie C Lazio,Missing
Nea Ostia Rugby FC ASD,5,Serie C Lazio,Missing
Pescara Rugby ASD,5,Serie C Lazio,Missing
Rugby Anzio Club ASD,5,Serie C Lazio,Missing
Rugby Nuovo Salario ASD,5,Serie C Lazio,Missing
Rugby Segni ASD,5,Serie C Lazio,Missing
Union Appia Arnold Rugby ASD,5,Serie C Lazio,Missing
Unione Rugby Agro Pontino ASD,5,Serie C Lazio,Missing
Amatori Rugby Genova,5,Serie C Liguria/Piemonte,Missing
Amatori Rugby Novara,5,Serie C Liguria/Piemonte,Missing
ASD Cuneo Pedona Rugby,5,Serie C Liguria/Piemonte,Missing
ASD Le Tre Rose Rugby,5,Serie C Liguria/Piemonte,Missing
ASD Moncalieri Rugby,5,Serie C Liguria/Piemonte,Missing
Collegno Rugby ASD,5,Serie C Liguria/Piemonte,Missing
CUS Piemonte Orientale Rugby,5,Serie C Liguria/Piemonte,Missing
Imperia Rugby,5,Serie C Liguria/Piemonte,Missing
Ovale oltre le Sbarre,5,Serie C Liguria/Piemonte,Missing
Province dell’Ovest Rugby,5,Serie C Liguria/Piemonte,Missing
RC Spezia,5,Serie C Liguria/Piemonte,Missing
Rugby San Mauro Torino,5,Serie C Liguria/Piemonte,Missing
URP Alessandria Rugby,5,Serie C Liguria/Piemonte,Missing
VolveraVolvera Rugby,5,Serie C Liguria/Piemonte,Missing
Amatori Tradate Rugby Club ASD,5,Serie C Lombardia,Missing
ASD Crema Rugby Club,5,Serie C Lombardia,Missing
ASD Delebio Rugby,5,Serie C Lombardia,Missing
ASD Rugby Bassa Bresciana Leno,5,Serie C Lombardia,Missing
ASD Rugby Bergamo 1950,5,Serie C Lombardia,Missing
ASD Rugby Fiumicello,5,Serie C Lombardia,Missing
ASD Rugby Lainate,5,Serie C Lombardia,Missing
ASD Rugby Lions Cremona,5,Serie C Lombardia,Missing
ASD Rugby Milano,5,Serie C Lombardia,Missing
ASD Rugby Oltremella CSCR,5,Serie C Lombardia,Missing
ASD Rugby Valle Camonica,5,Serie C Lombardia,Missing
ASD Union Rugby Del Garda,5,Serie C Lombardia,Missing
Casalmaggiore Rugby FC ASD,5,Serie C Lombardia,Missing
Centurioni Rugby SSD,5,Serie C Lombardia,Missing
CUS Pavia ASD,5,Serie C Lombardia,Missing
Harleouins Rugby Club ASD,5,Serie C Lombardia,Missing
Lambro Rugby ASD,5,Serie C Lombardia,Missing
Milano Rugby Sud ASD,5,Serie C Lombardia,Missing
Phoenix Rugby ASD,5,Serie C Lombardia,Missing
Rugby Como ASD,5,Serie C Lombardia,Missing
Rugby Mantova SRL SSD,5,Serie C Lombardia,Missing
Rugby Parabiago 550,5,Serie C Lombardia,Missing
Rugby San Donato 1981 ASD,5,Serie C Lombardia,Missing
Rugby Treviglio ASD,5,Serie C Lombardia,Missing
SSD Seregno Rugby,5,Serie C Lombardia,Missing
Velate Rugby 1981 ASD,5,Serie C Lombardia,Missing
Amatori Rugby Ascoli,5,Serie C Marche,Missing
ASD Pesaro Rugby,5,Serie C Marche,Missing
Banca Macerata Rugby ASD,5,Serie C Marche,Missing
Fano Rugby Essepigi,5,Serie C Marche,Missing
Rugby Falconara Dinamis,5,Serie C Marche,Missing
Unione Rugbistica Anconitana,5,Serie C Marche,Missing
Appia Rugby Puglia ASD,5,Serie C Puglia,Missing
ASD Amatori Rugby Bitonto,5,Serie C Puglia,Missing
ASD Draghi Bat Rugby,5,Serie C Puglia,Missing
ASD Foggia Rugby,5,Serie C Puglia,Missing
ASD Panthers Rugby Team,5,Serie C Puglia,Missing
Potenza Rugby ASD,5,Serie C Puglia,Missing
Rugby Corato ASD,5,Serie C Puglia,Missing
Rugby Union Santeramo,5,Serie C Puglia,Missing
Tigri Rugby Bari 1980 ASD,5,Serie C Puglia,Missing
Treputium Rugby,5,Serie C Puglia,Missing
Amatori Catania 1963,5,Serie C Sicilia,Missing
I Briganti Librino Onlus,5,Serie C Sicilia,Missing
Nissa Rugby,5,Serie C Sicilia,Missing
Rugby Palermo,5,Serie C Sicilia,Missing
San Gregorio Rugby,5,Serie C Sicilia,Missing
Vittoria Rugby,5,Serie C Sicilia,Missing
ASD Tirreno Rugby Club,5,Serie C Toscana,Missing
Clanis Rugby ASD,5,Serie C Toscana,Missing
Gispi Rugby Prato,5,Serie C Toscana,Missing
GS Bellaria Cappuccini ASD,5,Serie C Toscana,Missing
I Titani ASD,5,Serie C Toscana,Missing
Rugby Pistoia ASD,5,Serie C Toscana,Missing
Societa'sportiva Elba Rugby,5,Serie C Toscana,Missing
