"name","tier","division","wikidataId","homonyms"
"ACT Brumbies",1,"Super Rugby","Q605245",""
"Melbourne Rebels",1,"Super Rugby","Q1300399",""
"New South Wales Waratahs",1,"Super Rugby","Q534417",""
"Queensland Reds",1,"Super Rugby","Q1368281",""
"Western Force",1,"Super Rugby","Q915507",""
"Brisbane City",2,"National Rugby Championship","Q2881429",""
"Canberra Vikings",2,"National Rugby Championship","Q425906",""
"Greater Sydney Rams",2,"National Rugby Championship","Q3567505",""
"Melbourne Rising",2,"National Rugby Championship","Q16951324",""
"New South Wales Country Eagles",2,"National Rugby Championship","Q16912004",""
"Perth Spirit",2,"National Rugby Championship","Q3376168",""
"Queensland Country",2,"National Rugby Championship","Q3046497",""
"Sydney Rays",2,"National Rugby Championship","Q513257",""
"Sydney Stars",2,"National Rugby Championship","Q3506818",""
"Adelaide Black Falcons",3,"Australian Rugby Shield","Q28219725",""
"New South Wales Country Cockatoos",3,"Australian Rugby Shield","Q16971053",""
"Northern Territory Mosquitoes",3,"Australian Rugby Shield","Q131797902",""
"Perth Gold",3,"Australian Rugby Shield","Q131798013",""
"Queensland Country Heelers",3,"Australian Rugby Shield","Q7270925",""
"Tasmania Jack Jumpers",3,"Australian Rugby Shield","Q131798102",""
"Victoria Country Barbarians",3,"Australian Rugby Shield","Q131798139",""
"Canbera Eastern Suburbs RUFC",4,"ACTRU Premier Division","Q5330509",""
"Canberra Royals",4,"ACTRU Premier Division","Q5031280",""
"Gungahlin Eagles",4,"ACTRU Premier Division","Q5618761",""
"Queanbeyan Whites",4,"ACTRU Premier Division","Q7269730",""
"Tuggeranong Vikings",4,"ACTRU Premier Division","Q7851645",""
"Uni-Norths Owls",4,"ACTRU Premier Division","Q7884612",""
"Wests Lions",4,"ACTRU Premier Division","Q7989652",""
"Adelaide University Rugby Union Football Club",4,"Cooper Premier Grade","Q7579393",""
"Barossa Rams RUFC",4,"Cooper Premier Grade","Q39050804",""
"Brighton RUFC",4,"Cooper Premier Grade","",""
"Burnside RUFC",4,"Cooper Premier Grade","",""
"Elizabeth RC",4,"Cooper Premier Grade","",""
"Old Collegians Rugby Club",4,"Cooper Premier Grade","Q7083721",""
"Onkaparinga Rugby Union Football Club",4,"Cooper Premier Grade","Q19876698",""
"Port Adelaide RUFC",4,"Cooper Premier Grade","Q24190553",""
"Southern Suburbs RUFC",4,"Cooper Premier Grade","",""
"Woodville RUFC",4,"Cooper Premier Grade","",""
"Casuarina Cougars",4,"Darwin Club Rugby","",""
"Darwin Dragons",4,"Darwin Club Rugby","",""
"Palmerstown Crocs",4,"Darwin Club Rugby","",""
"South Darwin Rabbitohs",4,"Darwin Club Rugby","Q55633568",""
"University Pirates",4,"Darwin Club Rugby","",""
"Box Hill RC",4,"Dewar Shield","",""
"Endeavour Hills RC",4,"Dewar Shield","",""
"Footscray RUFC",4,"Dewar Shield","","Q5466575"
"Melbourne Harlequins",4,"Dewar Shield","Q6811788",""
"Melbourne Rugby Union Football Club",4,"Dewar Shield","Q6811863",""
"Melbourne University Rugby Football Club",4,"Dewar Shield","Q55622723",""
"Moorabbin Rugby Club",4,"Dewar Shield","Q60747396",""
"Power House RC",4,"Dewar Shield","",""
"Hamilton Hawks",4,"NHRU Premiership","",""
"Lake Macquarie Rugby Club",4,"NHRU Premiership","",""
"Maitland Rugby Club",4,"NHRU Premiership","",""
"Merewether Carlton Rugby Club",4,"NHRU Premiership","Q16970895",""
"Nelson Bays Rugby Union",4,"NHRU Premiership","","Q6990377"
"Singleton Rugby Club",4,"NHRU Premiership","",""
"Southern Beaches Rugby",4,"NHRU Premiership","",""
"University of Newcastle Rugby Union Club",4,"NHRU Premiership","Q131607852",""
"Wanderers Rugby Football Club",4,"NHRU Premiership","","Q29458342; Q2391440"
"Bond University Rugby Club",4,"Queensland Premier Rugby","Q3109994",""
"Brothers Rugby Club",4,"Queensland Premier Rugby","Q112039273","Q4975675"
"Easts Tigers Rugby Union",4,"Queensland Premier Rugby","Q3046592",""
"GPS Rugby",4,"Queensland Premier Rugby","Q3093339",""
"North Brisbane Rugby Club",4,"Queensland Premier Rugby","Q3344238",""
"Souths Rugby",4,"Queensland Premier Rugby","Q3492339",""
"Sunnybank Rugby",4,"Queensland Premier Rugby","Q3503940",""
"University of Queensland Rugby Club",4,"Queensland Premier Rugby","Q3551359",""
"Wests Rugby",4,"Queensland Premier Rugby","Q3567554",""
"ARKs Harrisdale Rugby Club",4,"RugbyWA Premier Grade","",""
"Associates RC",4,"RugbyWA Premier Grade","",""
"Cottesloe Rugby Union Football Club",4,"RugbyWA Premier Grade","Q110937680",""
"Joondalup Brothers Rugby Club",4,"RugbyWA Premier Grade","",""
"Kalamunda RC",4,"RugbyWA Premier Grade","",""
"Nedlands Rugby Union Football Club",4,"RugbyWA Premier Grade","Q16971042",""
"Palmyra RC",4,"RugbyWA Premier Grade","",""
"Perth Bayswater RC",4,"RugbyWA Premier Grade","",""
"Rockingham RC",4,"RugbyWA Premier Grade","",""
"Southern Lions Rugby Union Football Club",4,"RugbyWA Premier Grade","Q7570094",""
"UWA RC",4,"RugbyWA Premier Grade","",""
"Wanneroo RC",4,"RugbyWA Premier Grade","",""
"Wests Scarborough Rugby Union Football Club",4,"RugbyWA Premier Grade","Q109237443",""
"Central Coast Waves",4,"Shute Shield","Q787890",""
"Eastern Suburbs District RUFC",4,"Shute Shield","Q3046570",""
"Eastwood Rugby Club",4,"Shute Shield","Q3046597",""
"Gordon RFC",4,"Shute Shield","Q3110921",""
"Hunter Wildfires",4,"Shute Shield","Q117312613",""
"Manly RUFC",4,"Shute Shield","Q3286022",""
"Newcastle and Hunter Rugby Union",4,"Shute Shield","",""
"Northern Suburbs Rugby Club",4,"Shute Shield","Q3344223",""
"Penrith Emus Rugby",4,"Shute Shield","Q3374816",""
"Randwick DRUFC",4,"Shute Shield","Q3418861",""
"Southern Districts Rugby Club",4,"Shute Shield","Q3492311",""
"Sydney University Football Club",4,"Shute Shield","Q3506850",""
"Warringah Rugby Club",4,"Shute Shield","Q3566416",""
"West Harbour RFC",4,"Shute Shield","Q3567424",""
"Western Sydney Two Blues",4,"Shute Shield","Q3366023",""
"Australian Maritime College Rugby Union Club",4,"Tasmanian Division One","Q16835616",""
"Burnie Rugby Union Club",4,"Tasmanian Division One","Q4999783",""
"Devonport Rugby Club",4,"Tasmanian Division One","Q5267838",""
"Glenorchy Rugby Union Football Club",4,"Tasmanian Division One","Q5569260",""
"Hobart Harlequins Rugby Union Club",4,"Tasmanian Division One","Q16970383",""
"Hobart Lions Rugby Club",4,"Tasmanian Division One","Q5874722",""
"Launceston Rugby Union Football Club",4,"Tasmanian Division One","Q6498363","Q6498361"
"Taroona Rugby Club",4,"Tasmanian Division One","Q7686556",""
"Tasmania Eastern Suburbs RUFC",4,"Tasmanian Division One","Q5330510",""
"University of Tasmania Rugby Union Club",4,"Tasmanian Division One","Q7896402",""
"Boorowa Rugby Club",5,"ACTRU Second Division","",""
"Bungendore RUFC",5,"ACTRU Second Division","",""
"Cooma Rugby Club",5,"ACTRU Second Division","",""
"Crookwell Rugby Club",5,"ACTRU Second Division","",""
"Defence Academy Rugby Club",5,"ACTRU Second Division","",""
"Goulburn Rugby Union",5,"ACTRU Second Division","Q5588245",""
"Hall Rugby Club",5,"ACTRU Second Division","",""
"Harden RUFC",5,"ACTRU Second Division","",""
"Jindabyne Rugby Club",5,"ACTRU Second Division","",""
"RMC Rugby Club",5,"ACTRU Second Division","",""
"Taralga RUFC",5,"ACTRU Second Division","",""
"Yass RUFC",5,"ACTRU Second Division","",""
"Alice Springs Dingo Cubs",5,"Central Australian Rugby Union","",""
"Alice Springs Eagles",5,"Central Australian Rugby Union","",""
"Devils Rugby Union Football Club",5,"Central Australian Rugby Union","",""
"Kiwi Warriors RUFC",5,"Central Australian Rugby Union","",""
"Barbarians Rugby Union Football Club",5,"Katherine Rugby Union","",""
"Brahmans Rugby Union Football Club",5,"Katherine Rugby Union","",""
"Pirates Rugby Union Football Club",5,"Katherine Rugby Union","",""
"Tindal Lions Rugby Union Football Club",5,"Katherine Rugby Union","",""
"Avoca Beach",5,"NSWCRU Central Coast Rugby Union","",""
"Gosford",5,"NSWCRU Central Coast Rugby Union","",""
"Kariong",5,"NSWCRU Central Coast Rugby Union","",""
"Northlakes United",5,"NSWCRU Central Coast Rugby Union","",""
"Ourimbah Razorbacks",5,"NSWCRU Central Coast Rugby Union","",""
"Terrigal",5,"NSWCRU Central Coast Rugby Union","",""
"The Entrance",5,"NSWCRU Central Coast Rugby Union","",""
"Warnervale",5,"NSWCRU Central Coast Rugby Union","",""
"Woy Woy",5,"NSWCRU Central Coast Rugby Union","",""
"Barraba Rams & Gwydir River Rats",5,"NSWCRU Central Northern Rugby Union","",""
"Croppa Creek Crows",5,"NSWCRU Central Northern Rugby Union","",""
"Gunnedah Red Devils",5,"NSWCRU Central Northern Rugby Union","",""
"Inverell Highlanders",5,"NSWCRU Central Northern Rugby Union","",""
"Moree Weebolla Bulls",5,"NSWCRU Central Northern Rugby Union","",""
"Narrabri Blue Boars",5,"NSWCRU Central Northern Rugby Union","",""
"Quirindi Lions",5,"NSWCRU Central Northern Rugby Union","",""
"Scone Brumbies",5,"NSWCRU Central Northern Rugby Union","",""
"Tamworth Pirates",5,"NSWCRU Central Northern Rugby Union","",""
"Tamworth Rugby Union Sporting Club",5,"NSWCRU Central Northern Rugby Union","Q85805120",""
"Walcha Rams",5,"NSWCRU Central Northern Rugby Union","",""
"Bathurst Bulldogs",5,"NSWCRU Central West Rugby Union","",""
"Bathurst City",5,"NSWCRU Central West Rugby Union","",""
"Blackheath Wildfires",5,"NSWCRU Central West Rugby Union","",""
"Blayney",5,"NSWCRU Central West Rugby Union","",""
"Canowindra Pythons",5,"NSWCRU Central West Rugby Union","",""
"Coolah",5,"NSWCRU Central West Rugby Union","",""
"Coonabarabran Kookaburras",5,"NSWCRU Central West Rugby Union","",""
"Cowra Eagles",5,"NSWCRU Central West Rugby Union","",""
"CSU - Bathurst",5,"NSWCRU Central West Rugby Union","",""
"Cudal",5,"NSWCRU Central West Rugby Union","",""
"Cudal Cobras",5,"NSWCRU Central West Rugby Union","",""
"Dubbo Kangaroos",5,"NSWCRU Central West Rugby Union","",""
"Dubbo Rhinos",5,"NSWCRU Central West Rugby Union","",""
"Forbes Platypi",5,"NSWCRU Central West Rugby Union","",""
"Geurie Goats Rugby Club",5,"NSWCRU Central West Rugby Union","",""
"Lithgow Devils",5,"NSWCRU Central West Rugby Union","",""
"Molong Magpies",5,"NSWCRU Central West Rugby Union","",""
"Mudgee Wombats",5,"NSWCRU Central West Rugby Union","",""
"Narromine Gorillas",5,"NSWCRU Central West Rugby Union","",""
"Oberon",5,"NSWCRU Central West Rugby Union","",""
"Orange City",5,"NSWCRU Central West Rugby Union","",""
"Orange Emus",5,"NSWCRU Central West Rugby Union","",""
"Orange Waratahs",5,"NSWCRU Central West Rugby Union","",""
"Parkes Boars",5,"NSWCRU Central West Rugby Union","",""
"Rydal Razorbacks",5,"NSWCRU Central West Rugby Union","",""
"Trangie Tigers",5,"NSWCRU Central West Rugby Union","",""
"USO - Orange",5,"NSWCRU Central West Rugby Union","",""
"Wellington Redbacks",5,"NSWCRU Central West Rugby Union","",""
"Yeoval",5,"NSWCRU Central West Rugby Union","",""
"Ballina",5,"NSWCRU Far North Coast Rugby Union","",""
"Bangalow",5,"NSWCRU Far North Coast Rugby Union","",""
"Byron Bay",5,"NSWCRU Far North Coast Rugby Union","",""
"Casino",5,"NSWCRU Far North Coast Rugby Union","",""
"Casuarina",5,"NSWCRU Far North Coast Rugby Union","",""
"Evans River",5,"NSWCRU Far North Coast Rugby Union","",""
"Iluka",5,"NSWCRU Far North Coast Rugby Union","",""
"Kyogle",5,"NSWCRU Far North Coast Rugby Union","",""
"Lennox Head",5,"NSWCRU Far North Coast Rugby Union","",""
"Lismore",5,"NSWCRU Far North Coast Rugby Union","",""
"Mullumbimby",5,"NSWCRU Far North Coast Rugby Union","",""
"Murwillumbah",5,"NSWCRU Far North Coast Rugby Union","",""
"Richmond Range",5,"NSWCRU Far North Coast Rugby Union","",""
"Southern Cross University",5,"NSWCRU Far North Coast Rugby Union","",""
"Wollongbar/Alstonville",5,"NSWCRU Far North Coast Rugby Union","",""
"Woolgoolga Whitepointers",5,"NSWCRU Far North Coast Rugby Union","",""
"Yamba",5,"NSWCRU Far North Coast Rugby Union","",""
"Albion Park",5,"NSWCRU Illawarra Rugby Union","",""
"Avondale",5,"NSWCRU Illawarra Rugby Union","",""
"Bowral",5,"NSWCRU Illawarra Rugby Union","",""
"Bundanoon",5,"NSWCRU Illawarra Rugby Union","",""
"Camden Rams",5,"NSWCRU Illawarra Rugby Union","",""
"Kiama",5,"NSWCRU Illawarra Rugby Union","",""
"Lions Rugby",5,"NSWCRU Illawarra Rugby Union","",""
"Shamrocks",5,"NSWCRU Illawarra Rugby Union","",""
"Shoalhaven",5,"NSWCRU Illawarra Rugby Union","",""
"Tech Waratahs",5,"NSWCRU Illawarra Rugby Union","",""
"University RC",5,"NSWCRU Illawarra Rugby Union","",""
"Vikings",5,"NSWCRU Illawarra Rugby Union","",""
"Wollondilly",5,"NSWCRU Illawarra Rugby Union","",""
"Bundaberg Barbarians",5,"Queensland Country Rugby Union - Bundaberg","",""
"Bundaberg Pythons",5,"Queensland Country Rugby Union - Bundaberg","",""
"Isis Crushers",5,"Queensland Country Rugby Union - Bundaberg","",""
"The Waves Falcons",5,"Queensland Country Rugby Union - Bundaberg","",""
"Turtles Brothers Rugby",5,"Queensland Country Rugby Union - Bundaberg","",""
"Biloela Rugby",5,"Queensland Country Rugby Union - Central","",""
"Blackwater Rugby",5,"Queensland Country Rugby Union - Central","",""
"Capricorn Coast Rugby",5,"Queensland Country Rugby Union - Central","",""
"Colts Rugby Club",5,"Queensland Country Rugby Union - Central","",""
"Dawson Valley Rugby Club",5,"Queensland Country Rugby Union - Central","",""
"Frenchville Pioneers",5,"Queensland Country Rugby Union - Central","",""
"Gladstone Rugby Club",5,"Queensland Country Rugby Union - Central","",""
"Mount Morgan Rugby",5,"Queensland Country Rugby Union - Central","",""
"Rockhampton Boars",5,"Queensland Country Rugby Union - Central","",""
"Rockhampton Brothers Rugby Union",5,"Queensland Country Rugby Union - Central","",""
"University Central Queensland Rugby",5,"Queensland Country Rugby Union - Central","",""
"Capella Rugby Union",5,"Queensland Country Rugby Union - Central Highlands","",""
"Clermont Rugby Union",5,"Queensland Country Rugby Union - Central Highlands","",""
"Emerald Rugby",5,"Queensland Country Rugby Union - Central Highlands","",""
"Moranbah Bulls",5,"Queensland Country Rugby Union - Central Highlands","",""
"Rolleston Rugby Union",5,"Queensland Country Rugby Union - Central Highlands","",""
"Condamine Rugby Union",5,"Queensland Country Rugby Union - Darling Downs","",""
"Dalby and District Rugby Union Football Club",5,"Queensland Country Rugby Union - Darling Downs","",""
"Goondiwindi Rugby",5,"Queensland Country Rugby Union - Darling Downs","",""
"Highfields Redbacks Rugby Union",5,"Queensland Country Rugby Union - Darling Downs","",""
"Roma Rugby Union",5,"Queensland Country Rugby Union - Darling Downs","",""
"South Burnett Rugby",5,"Queensland Country Rugby Union - Darling Downs","",""
"St George & District Rugby",5,"Queensland Country Rugby Union - Darling Downs","",""
"Toowoomba Bears Rugby",5,"Queensland Country Rugby Union - Darling Downs","",""
"Toowoomba Rangers Rugby",5,"Queensland Country Rugby Union - Darling Downs","",""
"University of Queensland - Gatton",5,"Queensland Country Rugby Union - Darling Downs","",""
"University Of Southern Queensland Rugby",5,"Queensland Country Rugby Union - Darling Downs","",""
"Warwick & Districts Rugby",5,"Queensland Country Rugby Union - Darling Downs","",""
"Barron-Trinity Bulls",5,"Queensland Country Rugby Union - Far North","",""
"Brothers Rugby Union",5,"Queensland Country Rugby Union - Far North","",""
