"Name","Tier","Division","WD"
Name,Tier,Division,WD
China Lions,1,Global Rapid Rugby,
Blues,1,Super Rugby,
Chiefs,1,Super Rugby,
Crusaders,1,Super Rugby,
Highlanders,1,Super Rugby,
Hurricanes,1,Super Rugby,
Moana Pasifika,1,Super Rugby,
Auckland Rugby Union Team,2,National Provincial Championship,
Bay of Plenty Rugby Union Team,2,National Provincial Championship,
Canterbury Rugby Football Union Team,2,National Provincial Championship,
Counties Manukau Rugby Football Union Team,2,National Provincial Championship,
Hawke's Bay Rugby Union Team,2,National Provincial Championship,
Manawatu Rugby Union Team,2,National Provincial Championship,
North Harbour Rugby Union Team,2,National Provincial Championship,
Northland Rugby Union Team,2,National Provincial Championship,
Otago Rugby Football Union Team,2,National Provincial Championship,
Rugby Southland Union Team,2,National Provincial Championship,
Taranaki Rugby Football Union Team,2,National Provincial Championship,
Tasman Rugby Union,2,National Provincial Championship,
Waikato Rugby Union Team,2,National Provincial Championship,
Wellington Rugby Football Union Team,2,National Provincial Championship,
Buller Rugby Football Union Team,3,Heartland Championship,
East Coast Rugby Football Union Team,3,Heartland Championship,
Horowhenua Kapiti Rugby Football Union Team,3,Heartland Championship,
King Country Rugby Union Team,3,Heartland Championship,
Marlborough Rugby Union Team,3,Heartland Championship,
Mid Canterbury Rugby Union Team,3,Heartland Championship,
Nelson Bays Rugby Union Team,3,Heartland Championship,
North Otago Rugby Football Union Team,3,Heartland Championship,
Poverty Bay Rugby Football Union Team,3,Heartland Championship,
South Canterbury Rugby Football Union Team,3,Heartland Championship,
Thames Valley Rugby Union Team,3,Heartland Championship,
Wairarapa Bush Rugby Football Union Team,3,Heartland Championship,
Wanganui Rugby Football Union Team,3,Heartland Championship,
West Coast Rugby Union Team,3,Heartland Championship,
Central Vikings Rugby Union Team,3,National Provincial Championship 2nd Division,
College Rifles RFC,4,Auckland Rugby Union League,
East Tamaki RFC,4,Auckland Rugby Union League,
Eden RFC,4,Auckland Rugby Union League,
Grammar TEC RC,4,Auckland Rugby Union League,
Manukau Rovers RFC,4,Auckland Rugby Union League,
Marist Brothers Old Boys RFC,4,Auckland Rugby Union League,
Mt Wellington RFC,4,Auckland Rugby Union League,
Otahuhu RFC,4,Auckland Rugby Union League,
Pakuranga United RC,4,Auckland Rugby Union League,
