"name","tier","division","country","wikidataId","homonyms"
"Thabazimbi",8,"Blue Bulls Limpopo Sub-Union","South Africa","",""
"Union",8,"Blue Bulls Limpopo Sub-Union","South Africa","",""
"University of Limpopo",8,"Blue Bulls Limpopo Sub-Union","South Africa","",""
"University of Venda",8,"Blue Bulls Limpopo Sub-Union","South Africa","",""
"Vaalwater",8,"Blue Bulls Limpopo Sub-Union","South Africa","",""
"Winterveldt",8,"Blue Bulls Limpopo Sub-Union","South Africa","",""
"Atteridgeville",8,"Blue Bulls Rugby Union","South Africa","",""
"Brits",8,"Blue Bulls Rugby Union","South Africa","",""
"Bronkhorstspruit",8,"Blue Bulls Rugby Union","South Africa","",""
"Correctional Services",8,"Blue Bulls Rugby Union","South Africa","",""
"Cullinan",8,"Blue Bulls Rugby Union","South Africa","",""
"Dragons",8,"Blue Bulls Rugby Union","South Africa","","Q82216; Q17111500"
"Eersterust",8,"Blue Bulls Rugby Union","South Africa","",""
"Hartbeespoort",8,"Blue Bulls Rugby Union","South Africa","",""
"Mabopane",8,"Blue Bulls Rugby Union","South Africa","",""
"Mamelodi",8,"Blue Bulls Rugby Union","South Africa","",""
"Medunsa Campus",8,"Blue Bulls Rugby Union","South Africa","",""
"Naka Bulls",8,"Blue Bulls Rugby Union","South Africa","",""
"Nellmapius",8,"Blue Bulls Rugby Union","South Africa","",""
"Oostelike Eagles",8,"Blue Bulls Rugby Union","South Africa","",""
"Pretoria",8,"Blue Bulls Rugby Union","South Africa","",""
"Pretoria Military",8,"Blue Bulls Rugby Union","South Africa","",""
"Silver Valke",8,"Blue Bulls Rugby Union","South Africa","",""
"Soshanguve",8,"Blue Bulls Rugby Union","South Africa","",""
"Transwerk Parke",8,"Blue Bulls Rugby Union","South Africa","",""
"Tswaing",8,"Blue Bulls Rugby Union","South Africa","",""
"Tuine",8,"Blue Bulls Rugby Union","South Africa","",""
"Westelikes",8,"Blue Bulls Rugby Union","South Africa","",""
"Abbotsdale",8,"Boland Rugby Union","South Africa","",""
"Adelaars",8,"Boland Rugby Union","South Africa","",""
"All Stars",8,"Boland Rugby Union","South Africa","",""
"Ashton United",8,"Boland Rugby Union","South Africa","",""
"Atlantics",8,"Boland Rugby Union","South Africa","",""
"Attackers",8,"Boland Rugby Union","South Africa","",""
"Aurora",8,"Boland Rugby Union","South Africa","",""
"Bella Vista",8,"Boland Rugby Union","South Africa","",""
"Black Leaves",8,"Boland Rugby Union","South Africa","",""
"Blue Swallows",8,"Boland Rugby Union","South Africa","",""
"Bonnievale Blue Birds",8,"Boland Rugby Union","South Africa","",""
"Bonnievale United",8,"Boland Rugby Union","South Africa","",""
"Botrivier",8,"Boland Rugby Union","South Africa","",""
"Broodkraal",8,"Boland Rugby Union","South Africa","",""
"Caledon",8,"Boland Rugby Union","South Africa","",""
"Cederberg Leopards",8,"Boland Rugby Union","South Africa","",""
"Ceres",8,"Boland Rugby Union","South Africa","",""
"Citrusdal",8,"Boland Rugby Union","South Africa","",""
"Coronations",8,"Boland Rugby Union","South Africa","",""
"CPUT",8,"Boland Rugby Union","South Africa","",""
"Darling",8,"Boland Rugby Union","South Africa","",""
"De Doorns",8,"Boland Rugby Union","South Africa","",""
"Delicious",8,"Boland Rugby Union","South Africa","",""
"Dennegeur",8,"Boland Rugby Union","South Africa","",""
"Die Dorings",8,"Boland Rugby Union","South Africa","",""
"Doringbaai Young Spurs",8,"Boland Rugby Union","South Africa","",""
"Eagles",8,"Boland Rugby Union","South Africa","","Q5325366; Q1143805; Q4947842"
"Elandsbaai",8,"Boland Rugby Union","South Africa","",""
"Elandskloof",8,"Boland Rugby Union","South Africa","",""
"Elim",8,"Boland Rugby Union","South Africa","",""
"Evergreens Paarl",8,"Boland Rugby Union","South Africa","",""
"Evergreens Wellington",8,"Boland Rugby Union","South Africa","",""
"Excelcior",8,"Boland Rugby Union","South Africa","",""
"Flying Eagles",8,"Boland Rugby Union","South Africa","",""
"Genadendal",8,"Boland Rugby Union","South Africa","",""
"Goedverwacht",8,"Boland Rugby Union","South Africa","",""
"Gold Stars",8,"Boland Rugby Union","South Africa","",""
"Golden Eagles",8,"Boland Rugby Union","South Africa","",""
"Golden Swallows",8,"Boland Rugby Union","South Africa","",""
"Good Hopes",8,"Boland Rugby Union","South Africa","",""
"Grabouw",8,"Boland Rugby Union","South Africa","",""
"Green Lillies",8,"Boland Rugby Union","South Africa","",""
"Greyton",8,"Boland Rugby Union","South Africa","",""
"Growing Stars",8,"Boland Rugby Union","South Africa","",""
"Hamlet",8,"Boland Rugby Union","South Africa","",""
"Hawston",8,"Boland Rugby Union","South Africa","",""
"Hillcrest United",8,"Boland Rugby Union","South Africa","",""
"Hopefield",8,"Boland Rugby Union","South Africa","",""
"Invincibles",8,"Boland Rugby Union","South Africa","",""
"Kleinmond",8,"Boland Rugby Union","South Africa","",""
"Klipdrift",8,"Boland Rugby Union","South Africa","",""
"Koringberg",8,"Boland Rugby Union","South Africa","",""
"Laingsburg",8,"Boland Rugby Union","South Africa","",""
"Langebaan",8,"Boland Rugby Union","South Africa","",""
"Malmesbury",8,"Boland Rugby Union","South Africa","",""
"Mamre",8,"Boland Rugby Union","South Africa","",""
"Marines",8,"Boland Rugby Union","South Africa","",""
"Mbekweni United",8,"Boland Rugby Union","South Africa","",""
"McGregor",8,"Boland Rugby Union","South Africa","",""
"Miracles",8,"Boland Rugby Union","South Africa","",""
"Montagu",8,"Boland Rugby Union","South Africa","",""
"Môrester",8,"Boland Rugby Union","South Africa","",""
"Mountain Stars",8,"Boland Rugby Union","South Africa","",""
"Napier",8,"Boland Rugby Union","South Africa","",""
"Never Despair",8,"Boland Rugby Union","South Africa","",""
"Newtons",8,"Boland Rugby Union","South Africa","",""
"Oak Valley",8,"Boland Rugby Union","South Africa","",""
"Op-die-Berg",8,"Boland Rugby Union","South Africa","",""
"Orchard",8,"Boland Rugby Union","South Africa","",""
"Overhex",8,"Boland Rugby Union","South Africa","",""
"Paardekloof",8,"Boland Rugby Union","South Africa","",""
"Paternoster",8,"Boland Rugby Union","South Africa","",""
"Piketberg",8,"Boland Rugby Union","South Africa","",""
"Porseleinberg",8,"Boland Rugby Union","South Africa","",""
"Porterville",8,"Boland Rugby Union","South Africa","",""
"Protea De Doorns",8,"Boland Rugby Union","South Africa","",""
"Protea Worcester",8,"Boland Rugby Union","South Africa","",""
"Rangers Bredasdorp",8,"Boland Rugby Union","South Africa","",""
"Rangers De Hoop",8,"Boland Rugby Union","South Africa","",""
"Rangers Robertson",8,"Boland Rugby Union","South Africa","",""
"Rawsonville United",8,"Boland Rugby Union","South Africa","",""
"Red Roses",8,"Boland Rugby Union","South Africa","",""
"Red Stars",8,"Boland Rugby Union","South Africa","",""
"Riebeeck United",8,"Boland Rugby Union","South Africa","",""
"Riviersonderend",8,"Boland Rugby Union","South Africa","",""
"Robertson Town RFC",8,"Boland Rugby Union","South Africa","",""
"Rooi Tiere",8,"Boland Rugby Union","South Africa","",""
"Rooiberg United",8,"Boland Rugby Union","South Africa","",""
"Rosendal",8,"Boland Rugby Union","South Africa","",""
"Safcol",8,"Boland Rugby Union","South Africa","",""
"Saldanha",8,"Boland Rugby Union","South Africa","",""
"Saldanha Tigers",8,"Boland Rugby Union","South Africa","",""
"Samoa Moorreesburg",8,"Boland Rugby Union","South Africa","",""
"Saron",8,"Boland Rugby Union","South Africa","",""
"Sea Hawks",8,"Boland Rugby Union","South Africa","",""
"Spring Roses",8,"Boland Rugby Union","South Africa","",""
"St Helenabaai",8,"Boland Rugby Union","South Africa","",""
"Standards",8,"Boland Rugby Union","South Africa","",""
"Struisbaai",8,"Boland Rugby Union","South Africa","",""
"Temperance",8,"Boland Rugby Union","South Africa","",""
"Thistles",8,"Boland Rugby Union","South Africa","",""
"Titans",8,"Boland Rugby Union","South Africa","",""
"Touwpark",8,"Boland Rugby Union","South Africa","",""
"Tulbagh",8,"Boland Rugby Union","South Africa","",""
"United Stars",8,"Boland Rugby Union","South Africa","",""
"United Stones",8,"Boland Rugby Union","South Africa","",""
"Universals",8,"Boland Rugby Union","South Africa","",""
"Velddrif",8,"Boland Rugby Union","South Africa","",""
"Verenigde Ceres",8,"Boland Rugby Union","South Africa","",""
"Villagers Breërivier",8,"Boland Rugby Union","South Africa","",""
"Villagers Citrusdal",8,"Boland Rugby Union","South Africa","",""
"Villagers Montagu",8,"Boland Rugby Union","South Africa","",""
"Villagers Newton",8,"Boland Rugby Union","South Africa","",""
"Villagers Wittewater",8,"Boland Rugby Union","South Africa","",""
"Villiersdorp",8,"Boland Rugby Union","South Africa","",""
"Voorberg",8,"Boland Rugby Union","South Africa","",""
"Vredenburg",8,"Boland Rugby Union","South Africa","",""
