"name","tier","division","country","wikidataId","homonyms"
"Irish Exiles",1,"IRFU Interprovincial Championship","Ireland","Q6070712",""
"Connacht Rugby",1,"United Rugby Championship","Ireland","Q1126167",""
"Leinster Rugby",1,"United Rugby Championship","Ireland","Q1473374",""
"Munster Rugby",1,"United Rugby Championship","Ireland","Q1140373",""
"Ulster Rugby",1,"United Rugby Championship","Ireland","Q1548720",""
"Ballynahinch RFC",2,"All-Ireland League - Division 1A","Ireland","Q2881438",""
"City of Armagh RFC",2,"All-Ireland League - Division 1A","Ireland","Q16958647",""
"Clontarf FC",2,"All-Ireland League - Division 1A","Ireland","Q940179",""
"Cork Constitution",2,"All-Ireland League - Division 1A","Ireland","Q2997389",""
"Garryowen Football Club",2,"All-Ireland League - Division 1A","Ireland","Q3098495",""
"Lansdowne FC",2,"All-Ireland League - Division 1A","Ireland","Q3217619",""
"St Mary's College RFC",2,"All-Ireland League - Division 1A","Ireland","Q3394573",""
"Terenure College RFC",2,"All-Ireland League - Division 1A","Ireland","Q3518327",""
"University College Dublin RFC",2,"All-Ireland League - Division 1A","Ireland","Q593570",""
"Young Munster",2,"All-Ireland League - Division 1A","Ireland","Q3572856",""
"Blackrock College RFC",3,"All-Ireland League - Division 1B","Ireland","Q2905584",""
"Dublin University FC",3,"All-Ireland League - Division 1B","Ireland","Q3040530",""
"Highfield RFC",3,"All-Ireland League - Division 1B","Ireland","Q3135433",""
"Naas RFC",3,"All-Ireland League - Division 1B","Ireland","Q6956670",""
"Nenagh Ormond RFC",3,"All-Ireland League - Division 1B","Ireland","Q12393891",""
"Old Belvedere RFC",3,"All-Ireland League - Division 1B","Ireland","Q548720",""
"Old Wesley RFC",3,"All-Ireland League - Division 1B","Ireland","Q3350224",""
"Queen's University RFC",3,"All-Ireland League - Division 1B","Ireland","Q7270137",""
"Shannon RFC",3,"All-Ireland League - Division 1B","Ireland","Q3394565",""
"University College Cork RFC",3,"All-Ireland League - Division 1B","Ireland","Q3551336",""
"Ballymena RFC",4,"All-Ireland League - Division 2A","Ireland","Q2881428",""
"Banbridge RFC",4,"All-Ireland League - Division 2A","Ireland","Q4854001",""
"Buccaneers RFC",4,"All-Ireland League - Division 2A","Ireland","Q2927421",""
"Cashel RFC",4,"All-Ireland League - Division 2A","Ireland","Q5048727",""
"Galway Corinthians RFC",4,"All-Ireland League - Division 2A","Ireland","Q3094888",""
"Greystones RFC",4,"All-Ireland League - Division 2A","Ireland","Q3116581",""
"Instonians",4,"All-Ireland League - Division 2A","Ireland","Q2200602",""
"MU Barnhall RFC",4,"All-Ireland League - Division 2A","Ireland","Q2884711",""
"Navan RFC",4,"All-Ireland League - Division 2A","Ireland","Q6982078",""
"Old Crescent RFC",4,"All-Ireland League - Division 2A","Ireland","Q3350183",""
"Clogher Valley RFC",5,"All-Ireland League - Division 2B","Ireland","Q123027206",""
"Dungannon RFC",5,"All-Ireland League - Division 2B","Ireland","Q3041308",""
"Galwegians RFC",5,"All-Ireland League - Division 2B","Ireland","Q3094887",""
"Malahide RFC",5,"All-Ireland League - Division 2B","Ireland","Q6741072",""
"Malone RFC",5,"All-Ireland League - Division 2B","Ireland","Q3282316",""
"Rainey Old Boys RFC ",5,"All-Ireland League - Division 2B","Ireland","Q7284861",""
"Skerries RFC",5,"All-Ireland League - Division 2B","Ireland","Q7534693",""
"Sligo RFC",5,"All-Ireland League - Division 2B","Ireland","Q16976488",""
"UL Bohemians RFC",5,"All-Ireland League - Division 2B","Ireland","Q735168",""
"Wanderers FC",5,"All-Ireland League - Division 2B","Ireland","Q2391440",""
"Ballyclare RFC",6,"All-Ireland League - Division 2C","Ireland","Q131823082",""
"Belfast Harlequins",6,"All-Ireland League - Division 2C","Ireland","Q2894320",""
"Bruff RFC",6,"All-Ireland League - Division 2C","Ireland","Q4978663",""
