"name","tier","division","country","wikidataId","homonyms"
"Jaguares",1,"Super Rugby","Argentina","Q19870761",""
"Dogos XV",1,"Super Rugby Americas","Argentina","Q115863939",""
"Pampas XV",1,"Super Rugby Americas","Argentina","Q2060356",""
"Asociación Alumni",2,"Top 12 de la URBA","Argentina","Q948693",""
"Asociación Deportiva Francesa",2,"Top 12 de la URBA","Argentina","Q4807498",""
"Belgrano Athletic Club",2,"Top 12 de la URBA","Argentina","Q2400665",""
"Buenos Aires Cricket & Rugby Club",2,"Top 12 de la URBA","Argentina","Q4985517",""
"Buenos Aires Football Club 1886",2,"Top 12 de la URBA","Argentina","Q16954353",""
"Club Atlético Banco de la Nación Argentina",2,"Top 12 de la URBA","Argentina","Q2882075",""
"Club Atlético de San Isidro Rugby",2,"Top 12 de la URBA","Argentina","Q3681461",""
"Club Atlético del Rosario",2,"Top 12 de la URBA","Argentina","Q2400465",""
"Club Atlético Ferrocarril General San Martín",2,"Top 12 de la URBA","Argentina","Q5136134",""
"Club Atlético Obras Sanitarias de la Nación",2,"Top 12 de la URBA","Argentina","Q3301431",""
"Club Champagnat",2,"Top 12 de la URBA","Argentina","Q5136169",""
"Club de Gimnasia y Esgrima",2,"Top 12 de la URBA","Argentina","Q3504335",""
"Club de Rugby Los Tilos",2,"Top 12 de la URBA","Argentina","Q5136430",""
"Club Liceo Naval",2,"Top 12 de la URBA","Argentina","Q6543128",""
"Club Manuel Belgrano",2,"Top 12 de la URBA","Argentina","Q5136304",""
"Club Newman",2,"Top 12 de la URBA","Argentina","Q1449516",""
"Club Pucará",2,"Top 12 de la URBA","Argentina","Q5136351",""
"Club Pueyrredón",2,"Top 12 de la URBA","Argentina","Q5136347",""
"Club Regatas de Bella Vista",2,"Top 12 de la URBA","Argentina","Q2979971",""
"Club San Albano",2,"Top 12 de la URBA","Argentina","Q5136359",""
"Club San Cirano",2,"Top 12 de la URBA","Argentina","Q5136363",""
"Club San Fernando",2,"Top 12 de la URBA","Argentina","Q5136367",""
"Club San Luis",2,"Top 12 de la URBA","Argentina","Q2841455",""
"Club Universitario de Buenos Aires Rugby",2,"Top 12 de la URBA","Argentina","Q48790206",""
"Club Universitario de La Plata",2,"Top 12 de la URBA","Argentina","Q5136399",""
"Club y Biblioteca Mariano Moreno",2,"Top 12 de la URBA","Argentina","Q5136450",""
"Hindú Club",2,"Top 12 de la URBA","Argentina","Q1748307",""
"Hurling Club",2,"Top 12 de la URBA","Argentina","Q5946700",""
"La Plata Rugby Club",2,"Top 12 de la URBA","Argentina","Q3211747",""
"Lomas Athletic Club Rugby",2,"Top 12 de la URBA","Argentina","Q21235479",""
"Old Georgian Club",2,"Top 12 de la URBA","Argentina","Q7084082",""
"Olivos Rugby Club",2,"Top 12 de la URBA","Argentina","Q7088223",""
"Pueyrredón Rugby Club",2,"Top 12 de la URBA","Argentina","Q9064639",""
"Rugby Club Los Matreros",2,"Top 12 de la URBA","Argentina","Q6682937",""
"San Isidro Club",2,"Top 12 de la URBA","Argentina","Q1786586",""
"Cardenales Rugby Club",2,"Torneo del Interior A","Argentina","Q2834681",""
"Club Atlético Universitario de Córdoba",2,"Torneo del Interior A","Argentina","Q5136396",""
"Club de Rugby Ateneo Inmaculada",2,"Torneo del Interior A","Argentina","Q5136429",""
"Club Gimnasia y Esgrima de Rosario",2,"Torneo del Interior A","Argentina","Q5136257",""
"Club La Tablada",2,"Torneo del Interior A","Argentina","Q5136274",""
"Club Universitario de Rugby del Nordeste",2,"Torneo del Interior A","Argentina","Q130100528",""
"Córdoba Athletic Club",2,"Torneo del Interior A","Argentina","Q5202720",""
"Duendes Rugby Club",2,"Torneo del Interior A","Argentina","Q5312216",""
"Jockey Club Córdoba",2,"Torneo del Interior A","Argentina","Q8430339",""
"Jockey Club de Rosario",2,"Torneo del Interior A","Argentina","Q975674",""
"Los Tarcos Rugby Club",2,"Torneo del Interior A","Argentina","Q6683286",""
"Los Tordos Rugby Club",2,"Torneo del Interior A","Argentina","Q63483939",""
"Marista Rugby Club",2,"Torneo del Interior A","Argentina","Q6765702",""
"Santa Fe Rugby Club",2,"Torneo del Interior A","Argentina","Q5644452",""
"Tala Rugby Club",2,"Torneo del Interior A","Argentina","Q7678745",""
"Tucumán Lawn Tennis Club",2,"Torneo del Interior A","Argentina","Q7851197",""
"Tucumán Rugby Club",2,"Torneo del Interior A","Argentina","Q2888930",""
"Universitario Rugby Club de Tucumán",2,"Torneo del Interior A","Argentina","Q7894406",""
"Urú Curé Rugby Club",2,"Torneo del Interior A","Argentina","Q55343194",""
"Aranduroga Rugby Club",3,"Torneo del Interior B","Argentina","",""
"Carrasco Polo Club",3,"Torneo del Interior B","Argentina","","Q2940173"
"Club Atlético Estudiantes de Paraná",3,"Torneo del Interior B","Argentina","Q8347000",""
"Club de Gimnasia y Tiro",3,"Torneo del Interior B","Argentina","Q2759870",""
"Club Huirapuca SC",3,"Torneo del Interior B","Argentina","Q17073181",""
"Club Palermo Bajo",3,"Torneo del Interior B","Argentina","Q5136342",""
"IPR Sporting Club",3,"Torneo del Interior B","Argentina","Q6133391",""
"Jockey Club de Salta",3,"Torneo del Interior B","Argentina","Q50301082",""
"Lince Rugby club",3,"Torneo del Interior B","Argentina","Q130550687",""
"Marabunta Rugby Club",3,"Torneo del Interior B","Argentina","Q16599138",""
"Neuquén Rugby Club",3,"Torneo del Interior B","Argentina","Q16611237",""
"Taraguy Rugby Club",3,"Torneo del Interior B","Argentina","",""
"Teqüe Rugby Club",3,"Torneo del Interior B","Argentina","Q7701448",""
"Universitario Rugby Club Salta",3,"Torneo del Interior B","Argentina","Q50300764",""
"Catamarca Rugby Club",4,"Unión Andina de Rugby","Argentina","",""
"Club Riojano Amigos del Rugby",4,"Unión Andina de Rugby","Argentina","",""
"Club Social Rugby La Rioja",4,"Unión Andina de Rugby","Argentina","",""
"El Nevado Rugby Club",4,"Unión Andina de Rugby","Argentina","",""
"El Olivo Rugby Club",4,"Unión Andina de Rugby","Argentina","",""
"Los Chelcos Rugby Club",4,"Unión Andina de Rugby","Argentina","",""
"Los Hurones Rugby Club",4,"Unión Andina de Rugby","Argentina","",""
"Los Matacos Rugby Club",4,"Unión Andina de Rugby","Argentina","",""
"Los Teros Rugby Club",4,"Unión Andina de Rugby","Argentina","",""
"ACV Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Alianza Jesús María Social Aérea y Deportiva",4,"Unión Cordobesa de Rugby","Argentina","Q27860449",""
"Alta Gracia Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Arroyito Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Carlos Paz Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Club Social La Carlota",4,"Unión Cordobesa de Rugby","Argentina","",""
"Conas Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Córdoba Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Jockey Club de Río IV",4,"Unión Cordobesa de Rugby","Argentina","",""
"Jockey Club de Villa María",4,"Unión Cordobesa de Rugby","Argentina","",""
"Los Cuervos Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","Q11762624",""
"Oncativo-Oliva",4,"Unión Cordobesa de Rugby","Argentina","",""
"Ranqueles Rugby",4,"Unión Cordobesa de Rugby","Argentina","",""
"Río Tercero Rugby Club Los Zorros",4,"Unión Cordobesa de Rugby","Argentina","",""
"San Francisco Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Taborin Rugby Club",4,"Unión Cordobesa de Rugby","Argentina","",""
"Universidad Católica de Córdoba Rugby",4,"Unión Cordobesa de Rugby","Argentina","",""
"Universidad Nacional de Córdoba Rugby",4,"Unión Cordobesa de Rugby","Argentina","",""
"Universidad Tecnológica Nacional Rugby",4,"Unión Cordobesa de Rugby","Argentina","",""
"Villa General Belgrano RC",4,"Unión Cordobesa de Rugby","Argentina","",""
"Cabo Blanco Pesca y Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Calafate Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Chenque Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Club Deportivo Deseado Juniors",4,"Unión de Rugby Austral","Argentina","",""
"Club Deportivo Portugués",4,"Unión de Rugby Austral","Argentina","",""
"Club Deportivo Sarmiento",4,"Unión de Rugby Austral","Argentina","",""
"Club Social Ingeniero Luis A. Huergo",4,"Unión de Rugby Austral","Argentina","",""
"Comodoro Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Hol-Gok Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Kosten Aike Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Lagartos Rugby Hockey Club",4,"Unión de Rugby Austral","Argentina","",""
"Las Cebras Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Las Heras Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Mara Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Penachos Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Quelequen Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Rucaylin Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"San Jorge Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Sarmiento Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Truncado Rugby Club",4,"Unión de Rugby Austral","Argentina","",""
"Almafuerte Rugby",4,"Unión de Rugby de Buenos Aires","Argentina","",""
"Areco Rugby Club",4,"Unión de Rugby de Buenos Aires","Argentina","",""
