"wikidataId","fullName"
"Q2848765","André Vergès"
"Q2849008","Andrés Courreges"
"Q2884703","Barney Mullan"
"Q2960823","Charlie Bourdillas"
"Q3101515","George Davis"
"Q3126934","Hans Botzong"
"Q3157166","Jack Durling"
"Q3161493","James Winston"
"Q3162773","Jaroslav Tomcik"
"Q3182405","John Ryan"
"Q3215962","Ladislav Vondrášek"
"Q3280287","Raul Martins"
"Q4459664","M. W. Talbot"
"Q4668545","Aboubacar Soulama"
"Q4706664","Alan Gaffney"
"Q4708706","Alastair Fisher"
"Q4708997","Alban Davies"
"Q4710449","Albert Henry"
"Q4711078","Albert Ramsden"
"Q4711495","Albert Wood"
"Q4717658","Alex Purves"
"Q4719019","Alexander Grigoryants"
"Q4722297","Alfred Barraclough"
"Q4731877","Allen Sloan"
"Q4747601","Amor Hamdi"
"Q4756864","Andrew Dykes"
"Q4757743","Andrew Leota"
"Q4761062","Andy Moore"
"Q4775872","Anton La Vin"
"Q4815685","Athula Wikramanayake"
"Q4827954","Aveau Niko Palamo"
"Q4849674","Bala Jones"
"Q4888881","Benjamin John"
"Q4893143","Bernard Frederick"
"Q4912430","Billy Davies"
"Q4964194","Brian Jefferson"
"Q5006779","C. R. De Silva"
"Q5026188","Cameron Boyle"
"Q5079596","Charles Jordan"
"Q5082319","Charles Sage"
"Q5083604","Charles Williams"
"Q5089931","Chelliah Thurairaja"
"Q5107478","Chris Moller"
"Q5119154","Ciaran Scally"
"Q5134610","Clive Jones"
"Q5214230","Dan Qeqe"
"Q5231257","David Beggy"
"Q5235651","David John"
"Q5236379","David Laws"
"Q5240863","David Waterston"
"Q5258575","Dennis John"
"Q5266437","Devaka Fernando"
"Q5280839","Dirk Kuhnen"
"Q5294092","Donald Bull"
"Q5314454","Duncan MacGregor"
"Q5321951","E. J. Jones"
"Q5345117","Edward Ross"
"Q5415351","Evan Crawford"
"Q5415361","Evan Davies"
"Q5512446","G. S. Brown"
"Q5538186","George Crabbie"
"Q5538600","George Douglas"
"Q5542325","George McKay"
"Q5542722","George Murray"
"Q5546415","George Wilson"
"Q5623810","Gwyn Williams"
"Q5670978","Harry McDaniel"
"Q5721510","Henry Fowler"
"Q5906499","Horst Kemmling"
"Q5963964","Héctor Mendéz"
"Q6103975","J. C. Hosack"
"Q6111007","Jack Andrew"
"Q6111324","Jack Bonner"
"Q6118197","Jaco Webb"
"Q6137024","James Joyce"
"Q6141939","James Regan"
"Q6172628","Jed Rowlands"
"Q6199216","Jimi Bolakoro"
"Q6202916","Jioji Vatubua"
"Q6221334","John Bedell-Sivright"
"Q6239285","John Hill"
"Q6250563","John Noble"
"Q6285841","Joseph Ntshongwana"
"Q6396073","Kevin Corrigan"
"Q6530036","Les Thomas"
"Q6737237","Maiya Gunasekara"
"Q6767552","Mark Evans"
"Q6769640","Mark Schulze"
"Q6777637","Martyn Hazell"
"Q6782960","Maseikula Gaunavou"
"Q6787102","Mathias Entenmann"
"Q6789530","Matt Williams"
"Q6821114","Mesake Navugona"
"Q6847851","Mike Mavor"
"Q6911633","Morgan Cushe"
"Q6915621","Moseley Wanderers"
"Q6969386","Nathan Turner"
"Q7032245","Nigel Bezani"
"Q7041696","Niumaia Korovata"
"Q7102825","Orisi Cavuilati"
"Q7119700","PL Munasinghe"
"Q7123575","Paddy O'Donoghue"
"Q7153062","Paul R. Mather"
"Q7176184","Peter O'Meara"
"Q7186418","Phipps Turnbull"
"Q7196598","Pio Nakubuwai"
"Q7284823","Rainer Kumm"
"Q7297326","Ray Cheney"
"Q7299120","Raymond Ruaporo"
"Q7308776","Reginald Jones"
"Q7322763","Ricardo Paganini"
"Q7328000","Richard Nancekivell"
"Q7340385","Rob Moffat"
"Q7340674","Rob Yule"
"Q7356331","Rod Petty"
"Q7357984","Roger Clarke"
"Q7358603","Roger Matakamikamica"
"Q7364934","Ronald Hill"
"Q7365082","Ronald MacDonald"
"Q7373327","Roy Sabine"
"Q7411509","Samuel Goodman"
"Q7412483","Samuel Roberts"
"Q7491493","Shawn van Rensburg"
"Q7500327","Shon Siemonek"
"Q7611942","Steve Berryman"
"Q7612320","Steve Cunningham"
"Q7612954","Steve Johnson"
"Q7626525","Stuart Ferguson"
"Q7668844","T. Williams"
"Q7806897","Timoci Volavola"
"Q7819865","Tommy Smith"
"Q7822109","Tony Cook"
"Q7827255","Torsten Schippe"
"Q7960348","Waisale Vatubua"
"Q7964654","Walter Davis"
"Q8002779","Will Davies"
"Q8012413","William Holder"
"Q8015812","William Morgan"
"Q8021386","Willie Bishop"
"Q11336700","Hendrik Meyer"
"Q11497253","Yajiro Ori"
"Q11513624","Yasutoshi Kasuga"
"Q11546027","Hideo Takemura"
"Q11702885","Guilherme Gonçalves"
"Q11728721","João Teixeira"
"Q12331617","Peter Krebs"
"Q13035321","Lourens van der Merwe"
"Q15052609","Bill Hayward"
"Q16150847","Jack Anderton"
"Q16206113","Donald Knowles"
"Q16206217","Joe Mills"
"Q16206226","James Moffatt"
"Q16206234","Peter Cross"
"Q16206243","Ron Moore"
"Q16209235","Mario Dotti"
"Q16210221","Glyn Meredith"
"Q16212127","Ness Flowers"
"Q16224682","William Griffin"
"Q16239544","Brad Field"
"Q16240332","Alan Lowndes"
"Q16250246","Niwa Kawha"
"Q16728362","Jody Danaher"
"Q16728468","Kemal Deen"
"Q16729332","Frank Goedeke"
"Q16730225","Michael Jayasekera"
"Q16731362","Lefau Harry Schuster"
"Q16731407","Tuaalagi Lepupa"
"Q16917928","Frank Ivory"
"Q16980082","Mick Dawson"
"Q17600458","Allan Mann"
"Q19357612","Henry Blaha"
"Q19412230","Cesare Sarti"
"Q19560955","Arthur Kay"
"Q19664886","Phil Pask"
"Q20020512","Charlie Higson-Smith"
"Q20020516","Gavin Hadley"
"Q20020519","Jonny Rees"
"Q21062772","Tim O'Brien"
"Q21934352","Hawies Fourie"
"Q21997590","Duncan Madsen"
"Q22097692","Kurt McQuilkin"
"Q22097873","Gerry Hawkes"
"Q22120757","Shingo Yamamoto"
"Q22278266","Scott Hutton"
"Q22278357","David Jamieson"
"Q23463117","Jack Wallace"
"Q23762358","Dan Leek"
"Q23762365","Matthew Leek"
"Q23762679","Ashley Bond"
"Q23762709","Graeme Young"
"Q23762736","Torquil Mathewson"
"Q24196932","Tom Ahearne"
"Q24913444","Konstantinos Kritsikis"
"Q25051076","José Morganti"
"Q25184191","Henry Talbot"
"Q27734276","Gordon Sykes"
"Q28421835","Peter Carrington"
"Q28823419","Joe Rātima"
"Q28871490","Simon Kasprowicz"
"Q30106157","Iain Wood"
"Q30122042","Matt Carroll"
"Q32939590","Tony Nyangweso"
"Q33064843","Ryan Moffat"
"Q33248632","Jioji Cama"
"Q38220473","Apisai Nagata"
"Q39072932","Bob McPhail"
"Q47542695","John Dalziel"
"Q50572184","Frank O'Driscoll"
"Q55183571","Ben Hurst"
"Q55972865","Jack McPhee"
"Q56179554","Iwan Jones"
"Q56180185","A R Lewis"
"Q56279175","Ross Young"
"Q58822115","Jean Sabathé"
"Q59326811","Théo Delblancu"
"Q59474162","Alexandre Panigaï"
"Q60833181","Pierre Arrambide"
"Q61000712","Diego Padilla"
"Q61608009","Chulainn Mabbett-Sowerby"
"Q63101548","Martim Aguiar"
"Q64606142","Ange Rocchesani"
"Q65032813","Dan Larkin"
"Q65043776","Aidan O'Halloran"
"Q65053769","William Anderson"
"Q65054394","Kenny Smith"
"Q66654470","Jimmy Dodd"
"Q68396629","Nick Kuhl"
"Q69496137","Jeffrey Sayle"
"Q71335016","Savenaca Tamaibeka"
"Q73573519","Sean Farrell"
"Q74126044","Aled Gravelle"
"Q74691509","Baden Wardlaw"
"Q76970579","Hirohisa Kato"
"Q79491893","Théo Barada"
"Q83003134","Pierre Senetaire"
"Q85765848","Harry Viljoen"
"Q87740837","Trevor Bowen"
"Q89561532","Bob Hogg"
"Q89837220","Jeremy Reingold"
"Q90254833","Gordon Masson"
"Q91089169","Harvey Wright"
"Q91247367","Rob Flockhart"
"Q92540952","Jimmy McNeil"
"Q96379347","George Jack"
"Q96379382","George Thomson"
"Q96381883","Ian Rankin"
"Q96384453","Jimmy Ross"
"Q96739686","Jean de Cours"
"Q98640212","Matt Te Pou"
"Q98649524","Conor Maguire"
"Q101058792","Stephan de Jager"
"Q101437850","Dan Gamble"
"Q104128391","Japie Kleinhans"
"Q104771919","Divan Venter"
"Q104884592","Sam Wallis"
"Q105258480","Kimihisa Shiozaki"
"Q105258980","Shinji Aida"
"Q105704350","Mitsunobu Naoe"
"Q105715954","Quentin Labeyrie"
"Q106092667","Jud Arthur"
"Q106247703","Lado Guniava"
"Q106399017","Dazzy Cornez"
"Q106497710","Steve Hotton"
"Q106645132","David Latta"
"Q107295884","Francois Klopper"
"Q107296267","Louritz van der Schyff"
"Q107410284","Johan Mulder"
"Q108083418","Sheham Siddik"
"Q108556408","Diaby Doucouré"
"Q109353691","Eric Walker"
"Q109462980","Jean Despiau"
"Q109829418","Indrajith Bandaranayake"
"Q110008032","Javid Zadaskar"
"Q110059427","Rhys Anstey"
"Q110059554","Ryan Wilkins"
"Q110314513","Josep Aguilar Cortiella"
"Q110426327","Yoan Saby"
"Q110623805","Corné Weilbach"
"Q110761536","Will Hickey"
"Q110939535","Angus Mabey"
"Q110962492","Gustav du Rand"
"Q111095686","Bradley Davids"
"Q111130430","Kowie Roos"
"Q111130676","Luke Rossouw"
"Q111209657","Kenneth Ford"
"Q111267637","Prince Nkabinde"
"Q111267671","Jacque-Louis du Toit"
"Q111349268","Sasko Ndlovu"
"Q111366331","Daniel Maiava"
"Q111513568","Junior White"
"Q111534444","Will Sankey"
"Q111568799","Jean-Paul Laborde"
"Q111603600","Harry Khasigian"
"Q111698177","Manjula Damith Siripala"
"Q111914597","Bobby Alexander"
"Q112147735","Tharquinn Manuel"
"Q112148147","Andre Fouché"
"Q112225585","John Lourens"
"Q112238586","Makoto Taniguchi"
"Q112239484","Shinji Ono"
"Q112239914","Yuichi Fujishima"
"Q112243722","Gerado Jaars"
"Q112623869","Stephan Smit"
"Q112701413","Jonathan Roche"
"Q112819424","Bernard Pujol"
"Q112873522","Jake Stamenkovic"
"Q113445731","Moisese Fisiipeau"
"Q113466878","David Lang"
"Q113466923","Élie Laukau"
"Q113471808","Pierre Letellier"
"Q113472052","Ephraim Niutupea"
"Q114457455","Adam H. Russell"
"Q114555350","Philippe Jacquemain"
"Q115301201","Tony McWhirter"
"Q115427335","Gary Leslie"
"Q115486660","Pauli Tuala"
"Q115805638","Mark Blair"
"Q115824862","Jordan Roux"
"Q116671849","Colin Rigby"
"Q116873173","Peter Colston"
"Q116937394","Hidehiko Satō"
"Q117680758","Henri Desperbasque"
"Q118220266","Alexis Duprouilh"
"Q118695701","Matéo Issert"
"Q118696444","Chris O'Neil"
"Q118696877","Takeshi Matsuoka"
"Q118697278","Yasuhiko Yamazaki"
"Q118697279","Taro Yamamoto"
"Q118727305","Raphaël Laboille"
"Q118749152","Kentarō Futami"
"Q119920493","Hirotoshi Hori"
"Q120612699","David Lukeš"
"Q121437931","Hugo Plummer"
"Q122311010","Devin Ibañez"
"Q122363127","Masato Hirashima"
"Q122393779","Anton Forde"
"Q122835091","Richard Higham"
"Q123560361","Hunter Ward"
"Q124408571","Martin Green"
"Q124433135","Mark Oram"
"Q124448782","Sébastien Boueilh"
"Q124623821","Gysbert du Preez"
"Q124667187","Jules Lartigau"
"Q124729124","Titi Nofoagatotoa"
"Q124738838","Doug Sanft"
"Q124954196","Ethan Dobbins"
"Q124955287","Maciu Nabolakasi"
"Q124973740","Adriano Aguiari"
"Q125344891","Don Carson"
"Q125356459","Duce Gotora"
"Q125421886","John Mickel"
"Q125469116","Nhlanhla Dlamini"
"Q125474364","David Sampson"
"Q125506068","Noël Guillemot"
"Q125544308","Emmet O'Rafferty"
"Q125544415","Rab Brady"
"Q125544498","Leo Galvin"
"Q125579622","Sam Hutton"
"Q125722086","Fayçal Tourek"
"Q125784739","John Birch"
"Q125821494","Jim Buckley"
"Q125975801","Kevin O'Kane"
"Q126004987","Tyron Mandrusiak"
"Q126181416","Michel Camptort"
"Q126195701","Jean-Claude Pétuya"
"Q126384700","Flavien Laforie"
"Q126385455","Enzo Saytour"
"Q126387253","Tom Dourthe"
"Q126387622","Roman Œillet"
"Q126916626","Manueli Ratuniyarawa"
"Q127671067","Chad Slaby"
"Q127889153","Ian Fihlani"
"Q128214078","Craig Sweeny"
"Q128376361","Lachie Albert"
"Q128395583","Luke Callan"
"Q129449431","Peter Palmer"
"Q129466406","Alan Kennington"
"Q130477463","Danny Love"
"Q130478232","Dean Coleman"
"Q130478498","Jeff Karika"
"Q130502165","Louis Claverie"
"Q130546622","Rizvi Suhayb"
"Q130629589","Jeff Forrest"
"Q130633565","Karl Williams"
"Q130639534","Danaher Sheehan"
"Q130647868","Denis Pratten"
"Q130660944","Mike Robertson"
"Q130710006","Freddie Moran"
"Q130719235","Paul Traynor"
"Q130741370","Hans du Plessis"
"Q130759591","Harry Lindsay"
"Q130759612","John Fulton"
"Q130759615","John O'Conor"
"Q130759650","William Gardiner"
"Q130783012","Barney Hughes"
"Q130908714","William Moore"
"Q130937099","Ivor Popham"
"Q131148553","Michael Garry"
"Q131148564","Walter Kelly"
"Q131182676","Sam Irvin"
"Q131195824","Charles Thomas"
"Q131283584","Major Egan"
"Q131283697","Jack Mahony"
"Q131296436","Snipe Watson"
"Q131299353","Patrick Healy"
"Q131360473","Hisham Abdeen"
"Q131360690","Sean Wijesinghe"
"Q131426230","Brad Amituanai"
"Q131427860","Jaiden Christian"
"Q131675151","Keith Wallace"
"Q131832433","Sean Lynn"
