"","nation","name","url"
"6789","Ireland","Wally Bornemann","Wally_Bornemann"
"6801","Ireland","Larry L'Estrange","Larry_L%27Estrange"
"6813","Ireland","Mick O'Callaghan","Mick_O%27Callaghan_(rugby_union,_born_1936)"
"6838","Ireland","Harry Rea","Harry_Rea"
"6866","Ireland","Kevin Mays","Kevin_Mays"
"6878","Ireland","Alan Doherty","Alan_Doherty"
"6883","Ireland","Mick Sherry","Mick_Sherry"
"6887","Ireland","John Cantrell","John_Cantrell"
"6898","Ireland","Frank Wilson","Frank_Wilson_(rugby_union,_born_1952)"
"6912","Ireland","Terry Kennedy","Terry_Kennedy_(rugby_union,_born_1954)"
"7006","Ireland","John N. Murphy","John_Murphy_(rugby_union,_born_1963)"
"7007","Ireland","Colin Wilkinson","Colin_Wilkinson"
"7055","Ireland","David Erskine","David_Erskine_(rugby_union)"
"7398","Italy","Umberto Silvestri","Umberto_Silvestri"
"7787","Italy","Wim Visser","Wim_Visser"
"8001","Italy","Filippo Alongi","Filippo_Alongi"
"8245","Japan","Junya Matsumoto","Junya_Matsumoto"
"8447","Japan","Tsuyoshi Kinoshita","Tsuyoshi_Kinoshita"
"8460","Japan","Takashi Tsuji","Takashi_Tsuji"
"8709","Japan","Taichi Takahashi","Taichi_Takahashi"
"8711","Japan","Kanji Shimokawa","Kanji_Shimokawa"
"9128","New Zeland","Daniel Hughes","Daniel_Hughes_(rugby_union)"
"9219","New Zeland","Jack Colman","Jack_Colman_(rugby_union)"
"9412","New Zeland","Pat Ward","Pat_Ward_(rugby_union)"
"9413","New Zeland","Jim Burrows","Jim_Burrows_(soldier)"
"9437","New Zeland","Craig Mackenzie","Craig_Mackenzie"
"10253","New Zeland","Dalton Papalii","Dalton_Papalii"
"10325","Romania","Paul Nedelcovici","Paul_Nedelcovici"
"10327","Romania","Eugen Sfetescu","Eugen_Sfetescu"
"10616","Romania","Gheorghe Ion","Gheorghe_Ion"
"10640","Romania","Cornel Popescu","Cornel_Popescu"
"10978","Romania","Ștefan Iancu","%C8%98tefan_Iancu_(rugby_union)"
"10980","Romania","Gabriel Pop","Gabriel_Pop"
"11086","Samoa","Hans Kruse","Hans_Kruse"
"11135","Samoa","Niko Palamo","Aveau_Niko_Palamo"
"11156","Samoa","Dickie Tafua","Titimaea_Tafua"
"11309","Samoa","Fa'apulou So'olefai","Fa%27apulou_So%27olefai"
"11390","Samoa","Garrick Cowley","Garrick_Cowley"
"11435","Samoa","Ki Anufe","Ki_Anufe"
"11451","Samoa","Fa'alemiga Selesele","Fa%27alemiga_Selesele"
"11459","Samoa","Richard Muagututia","Richard_Muagututia"
"11477","Samoa","Daniel Crichton","Daniel_Crichton"
"11507","Samoa","Kaino Thomsen","Kaino_Thomsen"
"11557","Samoa","Ionatana Tino","Ionatana_Tino"
"11614","Scotland","John Arthur","John_Arthur_(rugby_union)"
"11617","Scotland","Thomas Chalmers","Thomas_Chalmers_(rugby)"
"11618","Scotland","Alfred Clunies-Ross","Alfred_Clunies-Ross"
"11619","Scotland","Andrew Colville","Andrew_Galbraith_Colville"
"11621","Scotland","Daniel Drew","Daniel_Drew_(rugby_union)"
"11622","Scotland","James Finlay","James_Finlay"
"11623","Scotland","William Forsyth","William_Forsyth_(rugby_union)"
"11624","Scotland","Bulldog Irvine","Bulldog_Irvine"
"11625","Scotland","William Lyall","William_John_Campbell_Lyall"
"11627","Scotland","Thomas Marshall","Thomas_Roger_Marshall"
"11628","Scotland","James Mein","James_Andrew_Whitelock_Mein"
"11629","Scotland","Francis Moncreiff","Francis_Moncreiff"
"11630","Scotland","Robert Munro","Robert_Munro_(rugby_union)"
"11631","Scotland","George Ritchie","George_Ritchie_(rugby_union,_born_1848)"
"11632","Scotland","Alexander Robertson","Alexander_Robertson_(rugby_union)"
"11633","Scotland","J. S. Thomson","J._S._Thomson"
"11637","Scotland","Charles Cathcart","Charles_Walker_Cathcart"
"11640","Scotland","William Marshall","William_Marshall_(rugby)"
"11649","Scotland","Alexander Petrie","Alexander_Petrie_(rugby_union)"
"11712","Scotland","William Peterkin","William_Peterkin"
"11730","Scotland","Charles Berry","Charles_Berry_(rugby_union)"
"11731","Scotland","Ernest Roland","Ernest_Roland"
"11739","Scotland","Alexander Clay","Alexander_Clay_(rugby_union)"
"11743","Scotland","William MacLeod","William_MacKintosh_MacLeod"
"11749","Scotland","Hugh Ker","Hugh_Ker"
"11753","Scotland","Alexander Woodrow","Alexander_Woodrow"
"11775","Scotland","Ian MacIntyre","Ian_MacIntyre"
"11777","Scotland","Herbert Leggatt","Herbert_Leggatt"
"11918","Scotland","Robert Lindsay-Watson","Robert_Lindsay-Watson"
"11958","Scotland","James Boyd","James_Boyd_(sportsman)"
"11969","Scotland","Eric Loudoun-Shand","Eric_Loudoun-Shand"
"11972","Scotland","David Donald","Grahame_Donald"
"12015","Scotland","Bill Johnston","Bill_Johnston_(rugby_union,_born_1896)"
"12069","Scotland","Kenneth Wright","Kenneth_Wright_(rugby_union)"
"12098","Scotland","Francis Wright","Francis_Wright_(rugby_union)"
"12102","Scotland","Kenneth Jackson","Kenneth_Jackson_(sportsman)"
"12116","Scotland","James Cotter","James_Cotter_(rugby_union)"
"12130","Scotland","Mac Cooper","Mac_Cooper"
"12131","Scotland","Harvey Druitt","Harvey_Druitt"
"12174","Scotland","John Hunter","John_Hunter_(rugby_union)"
"12179","Scotland","John Henry Orr","John_Orr_(police_officer,_born_1918)"
"12317","Scotland","Walter Hart","Walter_Hart_(rugby_union)"
"12323","Scotland","John Brash","John_Brash_(rugby_union)"
"12325","Scotland","Bob Steven","Bob_Steven"
"12328","Scotland","Donald White","Donald_White_(rugby_union)"
"12346","Scotland","John MacDonald","John_MacDonald_(rugby_union,_born_1938)"
"12358","Scotland","Charlie Hodgson","Charlie_Hodgson_(rugby_union,_born_1938)"
"12448","Scotland","Gordon Hunter","Gordon_Hunter_(rugby_union,_born_1958)"
"12639","Scotland","Ed Kalman","Ed_Kalman"
"12756","Scotland","Ewan Douglas","Ewan_Douglas"
"12788","Scotland","Rob Moffat","Rob_Moffat"
"12831","Scotland","Elliot Millar-Mills","Elliot_Millar-Mills"
"12864","South Africa","Wilfred Trenery","Wilfred_Trenery"
"13011","South Africa","Tank van Rooyen","Tank_van_Rooyen"
"13061","South Africa","Jimmy White","Jimmy_White_(rugby_union)"
"13069","South Africa","Nick Bierman","Nick_Bierman"
