"nation","name","url"
"Argentina","Jorge Carracedo",NA
"Argentina","Rubén Castro",NA
"Argentina","Gustavo Foster",NA
"Argentina","Fernando Insua",NA
"Argentina","Enrique Martínez",NA
"Argentina","Marcelo Martínez Mosquera",NA
"Argentina","Hugo Porta","https://en.wikipedia.org/wiki/Hugo_Porta"
"Argentina","Marcelo Rodríguez Jurado",NA
"Argentina","Alberto Velásquez",NA
"Argentina","Jorge Braceras",NA
"Argentina","Gustavo Pimentel",NA
"Argentina","Alejandro Altberg",NA
"Argentina","Eduardo Morgan","https://en.wikipedia.org/wiki/Eduardo_Morgan"
"Argentina","Martín Alonso",NA
"Argentina","Mario Carluccio",NA
"Argentina","Juan Dumas",NA
"Argentina","José Virasoro",NA
"Argentina","Miguel Iglesias",NA
"Argentina","Carlos Bottarini",NA
"Argentina","Roberto Fariello",NA
"Argentina","Martín Giargia",NA
"Argentina","Raúl Sanz",NA
"Argentina","Guillermo Pérez Leiros",NA
"Argentina","Rito Iraneta",NA
"Argentina","Arturo Orzabal",NA
"Argentina","Osvaldo Rocha",NA
"Argentina","Guillermo Álvarez",NA
"Argentina","Eduardo Brouchou",NA
"Argentina","Juan Cato",NA
"Argentina","Jorge Copello",NA
"Argentina","Felix d'Agnilo",NA
"Argentina","Miguel Devoto",NA
"Argentina","Javier Escalante",NA
"Argentina","Alejandro Iachetti",NA
"Argentina","Tomás Landajo",NA
"Argentina","Roberto Lucke",NA
"Argentina","Ernesto Miguens",NA
"Argentina","Manuel Parra",NA
"Argentina","Eduardo Sanguinetti",NA
"Argentina","Rodolfo Ventura",NA
"Argentina","Eduardo Vila",NA
"Argentina","Camilo Abud",NA
"Argentina","Julio Bach",NA
"Argentina","Eduardo de Forteza",NA
"Argentina","Buenaventura Minguez",NA
"Argentina","Ricardo Muniz",NA
"Argentina","Néstor Bozzo",NA
"Argentina","Javier Capalbo",NA
"Argentina","Daniel Beccar Varela",NA
"Argentina","Jorge Gauweloose",NA
"Argentina","Ricardo Mastai",NA
"Argentina","Carlos Neyra",NA
"Argentina","Martín Sansot",NA
"Argentina","Carlos Bori",NA
"Argentina","Alejandro Cerioni",NA
"Argentina","Eliseo Branca","https://en.wikipedia.org/wiki/Eliseo_Branca"
"Argentina","Gonzalo Beccar Varela",NA
"Argentina","Adolfo Cappelletti",NA
"Argentina","Ricardo Castagna",NA
"Argentina","Horacio Mazzini",NA
"Argentina","Fernando Bustillo",NA
"Argentina","Luis Balfour",NA
"Argentina","Alejandro Cubelli",NA
"Argentina","Eduardo García Teran",NA
"Argentina","Guillermo Morgan",NA
"Argentina","Ricardo Passaglia",NA
"Argentina","Javier Trucco",NA
"Argentina","Agustín Badano",NA
"Argentina","Gabriel Allen",NA
"Argentina","Pablo Guarrochena",NA
"Argentina","Jorge Posse",NA
"Argentina","Santos Rosatti",NA
"Argentina","Marcelo Campo","https://en.wikipedia.org/wiki/Marcelo_Campo"
"Argentina","Marcelo Loffreda","https://en.wikipedia.org/wiki/Marcelo_Loffreda"
"Argentina","Rafael Madero","https://en.wikipedia.org/wiki/Rafael_Madero"
"Argentina","Tomás Petersen",NA
"Argentina","Gabriel Travaglini","https://en.wikipedia.org/wiki/Gabriel_Travaglini"
"Argentina","Carlos Serrano",NA
"Argentina","Alfredo Soares Gache",NA
"Argentina","Marcos Iachetti",NA
"Argentina","Javier Pérez Cobo",NA
"Argentina","Topo Rodríguez","https://en.wikipedia.org/wiki/Enrique_Rodr%C3%ADguez_(rugby_union)"
"Argentina","Ernesto Ure",NA
