"playerId"  , "playerName"                    , "teamWdId"  , "teamRsId", "teamName"                                       , "startYear", "endYear", "matchesPlayed", "pointsScored", "dataSource"
"Q370059"   , "George Smith"                  , "Q1150127"  , "231"     , "Wasps RFC"                                      , "2015"     , "2016"   , "26"           , "5"           , "WD; jaWP; frWP; itWP; esWP; enWP"
"Q370059"   , "George Smith"                  , "Q3503997"  , "685"     , "Tokyo Suntory Sungoliath"                       , "2016"     , "2017"   , "21"           , "25"          , "esWP; jaWP; itWP; frWP"
"Q370059"   , "George Smith"                  , "Q1368281"  , "253"     , "Queensland Reds"                                , "2017"     , "2018"   , "22"           , "10"          , "esWP; enWP"
"Q370059"   , "George Smith"                  , "Q917973"   , "162"     , "Bristol Bears"                                  , "2018"     , "2019"   , "23"           , "0"           , "jaWP; itWP; frWP; esWP; enWP"
"Q370059"   , "George Smith"                  , "Q3286022"  , "552"     , "Manly RUFC"                                     , NA         , NA       , NA             , NA            , "WD"
"Q376378"   , "David Humphreys"               , "Q7270137"  , "1693"    , "Queen's University RFC"                         , "1990"     , "1994"   , NA             , NA            , "WD; enWP"
"Q376378"   , "David Humphreys"               , "Q1548720"  , "282"     , "Ulster Rugby"                                   , "1990"     , "2008"   , "163"          , "1585"        , "esWP; enWP; WD"
"Q376378"   , "David Humphreys"               , "Q2881428"  , "423"     , "Ballymena RFC"                                  , "1994"     , "1995"   , NA             , NA            , "enWP; WD"
"Q376378"   , "David Humphreys"               , "Q3359056"  , "578"     , "Oxford University RFC"                          , "1995"     , "1995"   , "1"            , "19"          , "enWP; WD; itWP"
"Q376378"   , "David Humphreys"               , "Q1548720"  , "282"     , "Ulster Rugby"                                   , "1996"     , "1997"   , NA             , NA            , "frWP; itWP"
"Q376378"   , "David Humphreys"               , "Q1193020"  , "238"     , "London Irish RFC"                               , "1997"     , "1998"   , "56"           , "277"         , "WD; frWP; itWP; esWP; enWP"
"Q376378"   , "David Humphreys"               , "Q599903"   , "77"      , "Ireland national rugby union team"              , "1996"     , "2006"   , "72"           , "560"         , "WD; itWP; frWP; enWP"
"Q376378"   , "David Humphreys"               , "Q3041308"  , "492"     , "Dungannon RFC"                                  , "1998"     , "2001"   , NA             , NA            , "WD; enWP"
