"url","country"
"Henry_Fox_(sportsman)","England"
"Henry_Walker_(mines_inspector)","England"
"Herbert_Kershaw","England"
"Richmond_Palmer","England"
"Herbie_Martin","Ireland"
"Ian_Carruthers","England"
"Ian_Clark_(rugby_union)","England"
"Ian_Peck","England"
"Ivor_Davies_(rugby,_born_1906)","Wales"
"Jack_Chilcott","Wales"
"Jack_Davies_(cricketer,_born_1911)","England"
"Jack_Dormand","England"
"Jack_Evans_(rugby,_born_1922)","Wales"
"Jack_Yeandle","England"
"Jackie_Bowen","Wales"
"James_Averis","England"
"Jim_Croston","England"
"James_Lomas_(rugby_league)","England"
"James_Rodwell","England"
"James_Taylor_(sportsman)","England"
"James_Youll_Turnbull","Scotland"
"Jamie_Murphy_(rugby)","Wales"
"Jeff_Blackett","England"
"Jeremy_Lloyds","England"
"Jim_Challinor","England"
"Jim_Davies_(rugby)","Wales"
"Joe_Carlisle","England"
"Joe_Ford_(rugby_union)","England"
"Joe_Jones_(rugby)","Wales"
"John_Barr_(shinty)","Scotland"
"John_Basnett","England"
"John_Blake_(rugby_union)","England"
"John_Gordon_A%27Bear","England"
"John_Gray_(English_sportsman)","England"
"Johnny_Thomas_(rugby)","Wales"
"Jon_Brennan","Jersey"
"Jon_Vickers_(rugby_union)","England"
"Josh_Charnley","England"
"Kane_Palma-Newport","England"
"Karl_Pryce","England"
"Kenneth_Harding_(sportsman)","England"
"Laurie_Gilfedder","England"
"Lee_Harrison_(rugby_union)","Scotland"
"Lee_Robinson_(rugby_union)","England"
"Len_Rowe","England"
"Les_Thomas_(rugby)","Wales"
"Luke_Myring","England"
"Macauley_Cook","Wales"
"Manley_James","England"
"Martin_Halsall","England"
"Matt_Salter","England"
"Matt_Thompson_(rugby_union)","England"
"Michael_Green_(British_Army_officer)","England"
"Mick_Murphy_(rugby_league)","England"
"Mick_Burke_(rugby_league)","England"
"Mike_Forshaw","England"
"Nathan_Bressington","England"
"Nathan_McAvoy","England"
"Neal_Hatley","England"
"Neil_Courtney","England"
"Nick_Baxter_(rugby_union)","England"
"Nils_Mordt","England"
"Ollie_Frost","England"
"Patrick_Briggs","England"
"Percival_Coles","England"
"Percy_Illingworth","England"
"Peter_Sanders_(sportsman)","Wales"
"Phil_Swainston","England"
"Phil_Thomas_(rugby)","Wales"
"Ray_Glastonbury","Wales"
"Ray_Robinson_(sportsman)","England"
"Ray_Tabern","England"
"Raymond_Price_(rugby)","Wales"
"Reginald_Hobbs","England"
"Rex_Alston","England"
"Richard_Bryan_(rugby_union)","England"
"Richard_Downend","England"
"Richard_Eyres","England; Wales"
"Richard_Johnston_(rugby)","Wales"
"Richard_Skuse","England"
"Rob_Valentine_(rugby)","Scotland"
"Robert_Collinson","England"
"Robert_Staddon_(English_sportsman)","England"
"Roger_Owen_(rugby)","Wales"
"Ronald_Morgan","Wales"
"Ross_Batty","England"
"Roy_Francis_(rugby)","Wales"
"Scott_Newlands","Scotland"
"Seamus_Mallon_(rugby_union)","England"
"Sean_Tomes","England"
"William_Dawson_(sportsman)","England"
"Sid_Little","England"
"Simon_Haughton","England"
"Stan_Brogden","England"
"Steve_Diamond_(rugby_union)","England"
"Stuart_Prosser","Wales"
"Syd_Hynes","England"
"Tom_Brown_(rugby,_born_1983)","England"
"Tom_McKinney","Ireland"
"Tommy_Newbould","England"
"Timothy_Wetjen","England"
"Tom_Helm_(rugby)","Scotland"
"Tom_Warren_(rugby_union)","England"
"Tommy_Howley","Wales"
"Tommy_Woods_(rugby)","England"
"Tony_Fisher_(rugby)","Wales"
"Walter_Roman_(rugby)","England"
"Will_Davies_(rugby)","Wales"
"Will_Matthews_(rugby_union)","England"
"William_Hancock_(ophthalmologist)","England"
"Billy_Holder","England"
"William_Lewis_Thomas","Wales"
"Bill_Morgan_(rugby)","Wales"
"Liam_Botham","England"
"Eric_Harrison_(British_Army_officer)","England"
"Andrew_Wolff","Philippines"
"Myles_Landick","Jersey"
"Hugh_Waddell_(rugby_league)","Scotland"
"Frank_Simpson_(cricketer)","England"
"Ben_Maidment","England"
"James_Richardson_(sportsman)","England"
"Peter_Marner","England"
"Ted_Bateson","England"
"Michael_Hanna_(sportsman)","England"
"Brandon_Jackson_(priest)","England"
"David_Addleton","England"
"John_Atkinson_(rugby_league)","England"
"David_Lyon_(rugby)","England"
"John_Green_(headmaster)","England"
"Greg_Bateman","England"
"John_Kelly_(rugby,_born_1917)","England"
"James_Craig_(rugby_union,_born_1988)","England"
"Tom_Llewellyn","Wales"
"William_Rees_(rugby)","Wales"
"Harry_Wilson_(rugby_league)","England"
"Jimmy_Richards","Wales"
"Jon_Goodridge","England"
"Jonny_Hepworth","England"
"Harry_Spencer_(rugby_union)","England"
"James_Tincknell","England"
"Michael_Le_Bourgeois","Jersey"
"Josh_Tyler","Wales"
"Simon_McIntyre","England"
"Ben_Howard_(rugby_union)","England"
"Alan_Lowndes_(rugby)","England"
"Ian_Rawcliffe","England"
"Geoff_Richards_(footballer)","England"
"Ricky_Andrew","Ireland"
"Geoff_Richards_(rugby_union)","England"
"Hugh_Butterworth","England"
"Frederick_William_Moore","Ireland"
"Ryan_Shaw_(rugby_league)","England"
"Tom_Stephenson_(rugby_union)","England"
"Phil_Pask","England"
"Peter_Lawless","England"
"Ian_Orum","England"
"Sam_Bedlow","England"
"Wilfred_Stoddart","England"
"Gordon_McRorie","Canada"
