"rugbyscopeId","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","comments"
1,"Q4075","Lyon OU","Club","1896-01-01",NA,"Les Loups; Lione; LOU; LOU rugby; LOU Rugby; Lyon; Lyon Academy; Lyon O.U.; Lyon Olympique; Lyon Olympique Universitaire; Lyon Olympique Universitaire Rugby; Lyon Ou; The Wolves; リヨン; リヨン OU; リヨンOU",NA,"France","Top 14",1,"Stade de Gerland",NA,"Lyon","lyon",NA,"Lyon_OU_Rugby","Lyon_olympique_universitaire_rugby","Lyon_Olympique_Universitaire_Rugby","Lyon_Olympique","%E3%83%AA%E3%83%A8%E3%83%B3OU","http://dbpedia.org/resource/Lyon_OU",""
2,"Q9641","Saracens F.C.","Club","1876-01-01",NA,"Fez Boys; Men in Black; Saracens; Saracens Academy; Saracens FC; Saracens FC Saracens F.C.; Saracens Football Club; Saracens RFC; Saracens Rugby; Saracens Rugby Club; Sarries; The Men in Black; The Sarries; Wolf Pack; サラセンズ; 萨拉森人橄榄球俱乐部; 薩拉森人橄欖球俱樂部","Rugby Football Union","England","Premiership Rugby",1,"Barnet Copthall","10000","Hendon","saracens",NA,"Saracens_F.C.","Saracens","Saracens_Football_Club","Saracens","%E3%82%B5%E3%83%A9%E3%82%BB%E3%83%B3%E3%82%BA","http://dbpedia.org/resource/Saracens_F.C.",""
3,"Q83864890","Peñarol Rugby","Club","1891-09-28",NA,"C.A. Peñarol; CA Penarol; CA Peñarol; Carbonero; Club Atletico Peñarol; Club Atlético Peñarol; Club Atlético Peñarol de Rugby; Peñarol; Peñarol de Montevideo; Peñarol Montevideo; Пењарол; ФК Пеньяроль; ペニャロール; ペニャロール・ラグビー; نادي بنيارول; เปญญาโรล; 佩那罗尔足球俱乐部",NA,"Uruguay","Super Liga Americana de Rugby",NA,"Estadio Charrúa",NA,"Montevideo",NA,"11frqwfzq9","Pe%C3%B1arol_Rugby","Pe%C3%B1arol_Rugby","Club_Atl%C3%A9tico_Pe%C3%B1arol","Pe%C3%B1arol_Rugby","%E3%83%9A%E3%83%8B%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC","http://dbpedia.org/resource/Peñarol_Rugby","Rugby section of Q16320"
4,"Q18640","Club de Gimnasia y Esgrima La Plata","Club","1887-06-03",NA,"拉普拉塔; Gimnasia y Esgrima; ФК Хімнасія і Эсгрыма Ла-Плата; Club de Gimnasia y Esgrima de La Plata; Gimnasia de La Plata; Gimnasia y Esgrima de La Plata; Gimnasia y Esgrima La Plata; باشگاه فوتبال جيمناسيا لاپلاتا; Gimnasia LP; Club Gimnasia y Esgrima La Plata; Gimnasia La Plata; ヒムナシア・ラ・プラタ; ヒムナシア・ラプラタ; Laplatas Gimnasia; Club Gimnasia y Esgrima de La Plata; Gimnásia y Esgrima La Plata; Химнасия Ла-Плата; Gimnasia y Esgrima LP; CGE La Plata; 甘拿斯亞; Gimnasia y Esgrima LP; G.E.L.P.; GELP; GyE La Plata",NA,"Argentina","Unión de Rugby de Buenos Aires",4,"Juan Carmelo Zerillo Stadium",NA,"La Plata",NA,NA,"Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","%E3%82%AF%E3%83%A9%E3%83%96%E3%83%BB%E3%83%87%E3%83%BB%E3%83%92%E3%83%A0%E3%83%8A%E3%82%B7%E3%82%A2%E3%83%BB%E3%82%A4%E3%83%BB%E3%82%A8%E3%82%B9%E3%82%B0%E3%83%AA%E3%83%9E%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%97%E3%83%A9%E3%82%BF",NA,""
5,"Q46387","RC Massy","Club","1971-06-17",NA,"Massy; Massy Essonne; RC Massy Essonne; RCME; RCマシー; RCマッシー; Rugby Club Massy; Rugby club Massy Essonne; Rugby Club Massy Essonne; マシー; マッシー; マッシュ",NA,"France","Nationale 1",3,"Stade Jules Ladoumègue","6200","Massy",NA,NA,"RC_Massy","Rugby_Club_Massy_Essonne",NA,NA,"RC%E3%83%9E%E3%82%B7%E3%83%BC","http://dbpedia.org/resource/RC_Massy",""
6,"Q55801","New Zealand national rugby union team","National senior team","1903-08-15",NA,"All Blacks; Kapa Ōpango; los Totes Negres; los Totes Negres de Nòva Zelanda; New Zealand; New Zealand men's national rugby union team; New Zealand national rugby team; New Zealand rugby team; New Zealand rugby union team; Nieuw-Zeelands rugbyteam; Nouvelle-Zélande; Nouvelle-Zélande XV; Nueva Zelanda; Nueva ZelandaSamoa; Nuova Zelanda; ru nzl; Selección de Nueva Zelanda; Seleccion de rugby de Nueva Zelanda; Selección de rugby de Nueva Zelanda; Ол Блекс; Олл Блэкс; オールブラックス; ニュージーランド; 新西兰国家橄榄球队; 新西蘭國家橄欖球隊",NA,"New Zealand",NA,1,NA,NA,NA,NA,NA,"New_Zealand_national_rugby_union_team","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA,""
7,"Q82216","Dragons","Club","2003-01-01",NA,"Beaune; Dragones de Newport; Dragones de Newport Gwent; Dragons RFC; Dragons RFC Official; Dragons RFCRFC; Dreigiau Gwent; Gwent; Newport Dragons; Newport G.D.; Newport Gd; Newport Gwent; Newport Gwent Dragons; Newpport Gwent Dragons; Ng Dragons; Ньюпорт Гвент Дрэгонс; Њупорт Гвент Дрегонс; ドラゴンズ; ニューポート・グウェント・ドラゴンズ",NA,"Wales","United Rugby Championship",1,"Rodney Parade","9097",NA,NA,NA,"Dragons_RFC","Dragons_RFC","Dragons_(rugby_a_15)","Dragons_RFC","%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%A6%E3%83%8B%E3%82%AA%E3%83%B3)","http://dbpedia.org/resource/Dragons_RFC","Also WD id Q124754949"
8,"Q93928","Valorugby Emilia","Club","1945-01-01",NA,"I Diavoli; Reggio; Reggio Emilia; Rugby Reggio; Rugby Reggio ASD; Rugby Reggio Emilia; Sempre Avanti Rugby; SS Rugby Reggio; Valorugby; Valorugby Emilia S.S.D.; レッジョ","Italian Rugby Federation","Italy","Serie A Élite",2,"Stadio Mirabello","4400","Reggio Emilia",NA,NA,"Valorugby_Emilia","Rugby_Reggio_Associazione_Sportiva","Valorugby_Emilia",NA,NA,"http://dbpedia.org/resource/Valorugby_Emilia",""
9,"Q113135","Italy national rugby union team","National senior team","1929-05-20",NA,"Italia; Itàlia rugby; Italiaans rugbyteam; Italian national rugby team; Italian national rugby union team; Italian rugby team; Italian rugby union team; Italie; italrugby; Italy; Italy national rugby team; Italy rugby team; Italy rugby union team; nazionale italiana di rugby; RU ITA; RU Italia; RU Italy; rugbi Itàlia; Seleccion de rugby de Italia; イタリア; イタリア代表",NA,"Italy",NA,1,"Stadio Olimpico","70634",NA,NA,NA,"Italy_national_rugby_union_team","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Italia","Selecci%C3%B3n_de_rugby_de_Italia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8",NA,""
10,"Q118498","Racing 92","Club","1890-01-01",NA,"Les Ciel et Blanc; Les Ciel et Blanc; Les Racingmen; Métro Racing; Métro Racing 92; Racing-Paris; Racing C.F.; Racing CF; Racing Club; Racing club de France; Racing Club de France; Racing Metro; Racing Métro; Racing Metro 92; Racing métro 92; Racing Métro 92; RC de France; RC France; ラシン・メトロ; ラシン・メトロ92; ラシン92; 法蘭西賽跑",NA,"France","Top 14",1,"Yves du Manoir Stadium; Paris La Défense Arena",NA,"Le Plessis-Robinson",NA,NA,"Racing_92","Racing_92","Racing_92","Racing_92","%E3%83%A9%E3%82%B7%E3%83%B392","http://dbpedia.org/resource/Racing_92","Merger of Racing Club de France and Union sportive métropolitaine des transports"
