"playerId","playerName","teamWdId","teamRsId","teamName","startYear","endYear","matchesPlayed","pointsScored","dataSource"
"Q12940","Jacques Chaban-Delmas","Q518116",58,"France national rugby union team",1945,1945,NA,0,"WD"
"Q12940","Jacques Chaban-Delmas","Q1361000",252,"Stade Français Rugby",NA,NA,NA,NA,"WD"
"Q71268","Hugo Betting","Q479194",50,"SC 1880 Frankfurt",NA,NA,NA,NA,"itWP"
"Q71268","Hugo Betting",NA,7430,"VfB Stuttgart",NA,NA,NA,NA,"itWP"
"Q98252","Manuel Wilhelm","Q695374",116,"Germany national rugby union team",2003,2014,46,20,"WD; enWP"
"Q98252","Manuel Wilhelm","Q870753",154,"Rudergesellschaft Heidelberg 1898",NA,NA,NA,NA,"WD"
"Q147338","Morris Kirksey","Q1143805",228,"United States national rugby union team",1920,1920,1,0,"itWP"
"Q147338","Morris Kirksey",NA,7286,"San Francisco's Olympic Club",NA,NA,NA,NA,"itWP"
"Q325881","Hugh Llewellyn Glyn Hughes","Q807749",136,"Barbarian FC",NA,NA,NA,NA,"WD"
"Q325881","Hugh Llewellyn Glyn Hughes","Q2481690",365,"Blackheath F.C.",NA,NA,NA,NA,"WD"
"Q382731","John Warlow","Q822877",143,"Wales national rugby union team",1962,1962,1,0,"WD; frWP"
"Q382731","John Warlow","Q1517603",272,"Llanelli RFC",2005,2005,NA,NA,"WD; frWP"
"Q446877","Alfred Eluère","Q3494127",659,"Sporting Club universitaire de France rugby",NA,NA,NA,NA,"WD"
"Q446877","Alfred Eluère","Q3496194",673,"Stade Nantais",NA,NA,NA,NA,"WD"
"Q538355","Nelson Dalzell","Q104855938",2903,"Canterbury Rugby Union Team",1948,1954,56,0,"frWP; enWP"
"Q538355","Nelson Dalzell","Q55801",6,"New Zealand national rugby union team",1953,1954,5,3,"WD; frWP; enWP"
"Q607457","Louis Moolman","Q885646",156,"Bulls",1974,1986,171,0,"enWP"
"Q607457","Louis Moolman","Q498478",52,"South Africa national rugby union team",1977,1986,24,0,"WD; enWP"
"Q628564","Jean Bayard","Q518116",58,"France national rugby union team",1923,1924,6,0,"WD; frWP"
"Q628564","Jean Bayard","Q431412",44,"Stade Toulousain",NA,NA,NA,NA,"WD"
"Q642380","Colin Meads","Q3196999",541,"King Country Rugby Football Union",1955,1972,139,102,"itWP; esWP; WD; frWP; enWP"
"Q642380","Colin Meads","Q55801",6,"New Zealand national rugby union team",1957,1971,133,86,"frWP; WD; itWP; enWP"
"Q657322","Joël Jutge","Q1628212",295,"Cahors Rugby",NA,NA,NA,NA,"enWP"
"Q657322","Joël Jutge","Q1407380",260,"US Colomiers",NA,NA,NA,NA,"WD"
"Q660800","Frederick Stokes","Q378628",39,"England national rugby union team",1871,1873,3,0,"WD; frWP; enWP"
"Q660800","Frederick Stokes","Q2481690",365,"Blackheath F.C.",NA,NA,NA,NA,"WD"
"Q662951","Roy Mathias","Q1517603",272,"Llanelli RFC",1968,1972,158,297,"WD; frWP"
"Q662951","Roy Mathias","Q822877",143,"Wales national rugby union team",1970,1970,1,0,"WD; frWP"
"Q667580","Willie Kyle","Q945016",176,"Scotland national rugby union team",1902,1910,21,6,"WD; frWP; enWP"
"Q667580","Willie Kyle","Q930661",165,"Hawick RFC",NA,NA,NA,NA,"WD"
"Q707683","Marcello Fiasconaro","Q794910",135,"Stormers",1967,1969,NA,NA,"itWP"
"Q707683","Marcello Fiasconaro","Q3648987",801,"CUS Milano Rugby",1976,1977,5,32,"itWP"
"Q717879","John O'Neil","Q1143805",228,"United States national rugby union team",1920,1924,4,0,"WD; frWP"
"Q717879","John O'Neil","Q7419312",7288,"Santa Clara Broncos",NA,NA,NA,NA,"frWP"
"Q723044","Grant Fox","Q4819588",928,"Auckland RFU Team",1982,1993,189,2746,"frWP; itWP; esWP; enWP"
"Q723044","Grant Fox","Q55801",6,"New Zealand national rugby union team",1985,1993,78,645,"enWP; WD; frWP; itWP"
"Q728126","Laloa Milford","Q630112",88,"Aviron Bayonnais",2004,2005,28,48,"frWP"
"Q728126","Laloa Milford","Q964957",189,"Castres Olympique",2005,2009,93,145,"frWP"
"Q730932","Elliot Bunney","Q6659677",1452,"Livingston RFC",1994,NA,NA,NA,"enWP"
"Q730932","Elliot Bunney","Q1318239",248,"Heriot's Rugby Club",NA,NA,NA,NA,"enWP"
"Q747672","Mark Titley","Q822877",143,"Wales national rugby union team",1983,1990,15,16,"WD; enWP"
"Q747672","Mark Titley","Q841966",150,"Swansea RFC",1985,1994,260,530,"WD; enWP"
"Q778307","Don Clarke","Q104901906",2915,"Waikato Rugby Union Team",1952,1970,NA,NA,"frWP; esWP"
"Q778307","Don Clarke","Q55801",6,"New Zealand national rugby union team",1956,1964,89,781,"WD; frWP; enWP"
"Q786285","Cameron Lillicrap","Q622443",86,"Australia national rugby union team",1985,1991,7,0,"WD; frWP; itWP"
"Q786285","Cameron Lillicrap","Q1368281",253,"Queensland Reds",NA,NA,NA,NA,"frWP"
"Q892034","Carlin Isles","Q16246717",2171,"Gentlemen of Aspen RFC",2013,2013,NA,NA,"enWP"
"Q892034","Carlin Isles","Q374981",37,"Glasgow Warriors",2014,2014,NA,NA,"WD; frWP"
"Q925823","Richard Hyland","Q1143805",228,"United States national rugby union team",1924,1924,2,12,"WD; frWP"
"Q925823","Richard Hyland","Q2938060",7325,"Stanford Cardinal",NA,NA,NA,NA,"frWP"
"Q938512","Mark Nicholls","Q55801",6,"New Zealand national rugby union team",1921,1930,51,48,"WD; frWP; enWP"
"Q938512","Mark Nicholls","Q1476647",270,"Wellington Rugby Football Union Team",NA,NA,NA,NA,"WD"
"Q945368","George Fish","Q1143805",228,"United States national rugby union team",1920,1920,1,0,"WD; frWP"
"Q945368","George Fish","Q123981663",3159,"Rugby Football Club Los Angeles",NA,NA,NA,NA,"frWP"
"Q945457","Charles Doe","Q1143805",228,"United States national rugby union team",1920,1924,4,15,"WD; frWP; enWP"
"Q945457","Charles Doe","Q2938060",7325,"Stanford Cardinal",NA,NA,NA,NA,"frWP"
