"playerId","playerName","type","teamWdId","teamRsId","teamName","startYear","endYear","matchesPlayed","pointsScored","dataSource"
"Q7571","Patricio Albacete","International",NA,6987,"Argentina national under-18 rugby union team",1998,1998,NA,NA,"enWP"
"Q7571","Patricio Albacete","Senior","Q2400665",360,"Belgrano Athletic Club",1999,2003,NA,NA,"itWP"
"Q7571","Patricio Albacete","Senior","Q5136304",1114,"Club Manuel Belgrano",1999,2003,NA,NA,"frWP; esWP; enWP"
"Q7571","Patricio Albacete","International",NA,6910,"Argentina national under-19 rugby union team",1999,2000,6,0,"enWP"
"Q7571","Patricio Albacete","International",NA,6911,"Argentina national under-21 rugby union team",2000,2002,12,30,"enWP"
"Q7571","Patricio Albacete","International","Q3873496",823,"Argentina A national rugby union team",2002,2003,5,5,"enWP"
"Q7571","Patricio Albacete","International","Q646070",101,"Argentina national rugby union team",2003,2014,57,5,"WD; frWP; itWP; enWP; esWP"
"Q7571","Patricio Albacete","Senior","Q1407380",260,"US Colomiers",2003,2004,11,10,"WD; frWP; itWP; esWP; enWP"
"Q7571","Patricio Albacete","Senior","Q15055309",2145,"Section Paloise",2004,2006,26,5,"WD; frWP; itWP; esWP; enWP"
"Q7571","Patricio Albacete","Senior","Q431412",44,"Stade Toulousain",2006,2017,234,43,"WD; frWP; itWP; esWP; enWP"
"Q7571","Patricio Albacete","Senior","Q118498",10,"Racing 92",2017,2018,3,0,"frWP; itWP; esWP; enWP"
"Q18455","Ben Tune","Senior","Q1368281",253,"Queensland Reds",1995,2007,112,155,"esWP; enWP; WD; frWP; esWP"
"Q18455","Ben Tune","International","Q622443",86,"Australia national rugby union team",1996,2006,47,120,"WD; frWP; enWP"
"Q29880","Ben Botica","Junior","Q7056706",1583,"North Shore Rugby Football Club",NA,NA,NA,NA,"enWP"
"Q29880","Ben Botica","Junior","Q855496",152,"Biarritz Olympique",2008,2009,NA,NA,"frWP"
"Q29880","Ben Botica","Senior","Q104855944",2904,"North Harbour Rugby Union Team",2009,2011,19,168,"frWP; enWP"
"Q29880","Ben Botica","Senior","Q952709",182,"CA Périgueux",2011,2012,18,208,"WD; frWP; enWP"
"Q29880","Ben Botica","Senior","Q1149835",230,"Harlequin F.C.",2012,2016,95,551,"WD; frWP; enWP"
"Q29880","Ben Botica","Senior","Q596985",76,"Montpellier Hérault Rugby",2016,2017,9,65,"frWP; enWP"
"Q29880","Ben Botica","Senior","Q636019",92,"Oyonnax Rugby",2017,2019,60,687,"frWP; enWP"
"Q29880","Ben Botica","Senior","Q1865460",316,"Union Bordeaux Bègles",2019,2021,47,243,"frWP; enWP"
"Q29880","Ben Botica","Senior","Q964957",189,"Castres Olympique",2021,2023,18,105,"frWP; enWP"
"Q29880","Ben Botica","Senior","Q3492488",651,"Soyaux Angoulême XV Charente",2023,NA,45,398,"frWP; enWP"
"Q46171","Pekahou Cowan","Senior","Q915507",161,"Western Force",2006,2017,130,25,"WD; frWP; enWP"
"Q46171","Pekahou Cowan","Senior","Q3376168",586,"Perth Spirit",2007,2007,4,1,"WD; frWP; enWP"
"Q46171","Pekahou Cowan","International","Q4823557",931,"Australia A national rugby union team",2008,2008,NA,NA,"WD; enWP"
"Q46171","Pekahou Cowan","International","Q622443",86,"Australia national rugby union team",2009,2014,10,0,"WD; jaWP; frWP; enWP"
"Q46171","Pekahou Cowan","Senior","Q3376168",586,"Perth Spirit",2014,2017,11,4,"enWP; frWP"
"Q46171","Pekahou Cowan","Senior","Q21019486",2479,"Shimizu Koto Blue Sharks",2019,2020,8,5,"jaWP; frWP; enWP"
"Q46171","Pekahou Cowan","Senior","Q915507",161,"Western Force",2020,2020,10,2,"frWP; enWP"
"Q46171","Pekahou Cowan","Senior","Q1476647",270,"Wellington Rugby Football Union Team",2021,NA,NA,NA,"frWP"
"Q46171","Pekahou Cowan","Senior","Q534417",61,"New South Wales Waratahs",2021,2021,1,0,"frWP; enWP"
"Q46223","Stephen Hoiles","Junior",NA,7874,"Coogee Seahorses Rugby Union Club",NA,NA,NA,NA,"enWP"
"Q46223","Stephen Hoiles","Junior","Q3418861",606,"Randwick DRUFC",2002,2004,14,15,"enWP"
"Q46223","Stephen Hoiles","International","Q622443",86,"Australia national rugby union team",2004,2008,16,15,"WD; frWP; itWP; enWP"
"Q46223","Stephen Hoiles","Senior","Q534417",61,"New South Wales Waratahs",2004,2006,27,10,"WD; frWP; itWP; enWP"
"Q46223","Stephen Hoiles","Senior","Q605245",80,"ACT Brumbies",2006,2011,48,30,"frWP; itWP; enWP"
"Q46223","Stephen Hoiles","Senior","Q534417",61,"New South Wales Waratahs",2014,2015,32,32,"frWP; itWP; enWP"
"Q46223","Stephen Hoiles","Senior","Q16912004",2210,"New South Wales Country Eagles",2014,2014,4,5,"frWP; enWP"
"Q46223","Stephen Hoiles","Senior","Q16912004",2210,"New South Wales Country Eagles",2015,NA,4,5,"itWP"
"Q46393","Yoan Audrin","Junior","Q109665838",3045,"Stade Piscénois Rugby",NA,NA,NA,NA,"frWP"
"Q46393","Yoan Audrin","Senior","Q1781643",309,"AS Béziers Hérault",2002,2006,72,120,"WD; frWP; enWP"
"Q46393","Yoan Audrin","Senior","Q630112",88,"Aviron Bayonnais",2006,2007,24,35,"WD; frWP; enWP"
"Q46393","Yoan Audrin","Senior","Q2002695",324,"US Montauban",2007,2009,49,70,"WD; frWP; enWP"
"Q46393","Yoan Audrin","Senior","Q964957",189,"Castres Olympique",2009,2011,52,70,"WD; frWP; enWP"
"Q46393","Yoan Audrin","Senior","Q596985",76,"Montpellier Hérault Rugby",2011,2014,55,55,"WD; frWP; enWP"
"Q46393","Yoan Audrin","Senior","Q118498",10,"Racing 92",2014,2016,18,5,"WD; frWP; enWP"
"Q56822","Gerhard Vosloo","Senior","Q885646",156,"Bulls",2002,2002,8,25,"enWP"
"Q56822","Gerhard Vosloo","Senior","Q1170708",233,"Pumas",2003,2003,20,45,"enWP"
"Q56822","Gerhard Vosloo","Senior","Q1210146",241,"Lions",2004,2006,15,25,"WD; frWP; enWP; enWP"
"Q56822","Gerhard Vosloo","Senior","Q964957",189,"Castres Olympique",2006,2008,45,30,"WD; frWP; enWP"
"Q56822","Gerhard Vosloo","Senior","Q1022912",197,"CA Brive",2008,2011,71,45,"WD; frWP; enWP"
"Q56822","Gerhard Vosloo","Senior","Q297901",27,"ASM Clermont Auvergne",2011,2014,61,65,"WD; frWP; enWP"
"Q56822","Gerhard Vosloo","Senior","Q1857064",315,"RC Toulonnais",2014,2015,14,5,"WD; frWP; enWP"
"Q71268","Hugo Betting","Senior","Q479194",50,"SC 1880 Frankfurt",NA,NA,NA,NA,"itWP"
"Q71268","Hugo Betting","Senior",NA,7430,"VfB Stuttgart",NA,NA,NA,NA,"itWP"
"Q72185","Manu Tuilagi","Senior","Q1071691",204,"Leicester Tigers",2009,2020,128,205,"WD; jaWP; frWP; enWP; itWP; esWP"
"Q72185","Manu Tuilagi","International","Q5378054",1217,"England national under-18 rugby union team",2009,2009,3,0,"enWP"
"Q72185","Manu Tuilagi","International","Q378628",39,"England national rugby union team",2011,2024,60,100,"WD; jaWP; frWP; itWP; enWP"
"Q72185","Manu Tuilagi","International","Q3873497",824,"England A national rugby union team",2011,2011,3,5,"WD; enWP"
"Q72185","Manu Tuilagi","International","Q733600",118,"British & Irish Lions",2013,2013,1,0,"WD; jaWP; frWP; itWP; enWP"
"Q72185","Manu Tuilagi","Senior","Q928517",164,"Sale Sharks",2020,2024,41,20,"WD; jaWP; frWP; itWP; esWP; enWP"
"Q72185","Manu Tuilagi","Senior","Q630112",88,"Aviron Bayonnais",2024,NA,10,0,"frWP; itWP; esWP; enWP"
"Q75573","Robins Tchale-Watchou","International","Q3296656",555,"Cameroon national rugby union team",NA,NA,NA,NA,"WD"
"Q75573","Robins Tchale-Watchou","Junior",NA,7361,"Université de Dschang",NA,NA,NA,NA,"frWP"
"Q75573","Robins Tchale-Watchou","Senior","Q753618",125,"Stade Aurillacois Cantal Auvergne",2005,2006,26,5,"WD; frWP; enWP"
"Q75573","Robins Tchale-Watchou","Senior","Q1225303",242,"UA Gaillac",2006,2007,26,10,"WD; frWP; enWP"
"Q75573","Robins Tchale-Watchou","Senior","Q779116",129,"FC Auch Gers",2007,2008,18,0,"WD; frWP; enWP"
"Q75573","Robins Tchale-Watchou","Senior","Q1361000",252,"Stade Français Rugby",2008,2009,9,0,"WD; frWP; enWP"
"Q75573","Robins Tchale-Watchou","Senior","Q1471265",266,"USA Perpignan",2009,2013,104,10,"WD; frWP; enWP"
"Q75573","Robins Tchale-Watchou","Senior","Q596985",76,"Montpellier Hérault Rugby",2013,2017,92,15,"WD; frWP; enWP"
"Q76869","Toby Flood","Junior","Q16242778",2170,"Alnwick RFC",NA,NA,NA,NA,"enWP"
"Q76869","Toby Flood","Junior","Q65044750",2761,"Morpeth RFC",NA,NA,NA,NA,"enWP"
"Q76869","Toby Flood","Senior","Q910657",160,"Newcastle Red Bulls",2004,2008,76,263,"WD; frWP; itWP; esWP; enWP"
"Q76869","Toby Flood","International","Q378628",39,"England national rugby union team",2006,2014,60,301,"enWP; WD; frWP; itWP"
"Q76869","Toby Flood","Senior","Q1071691",204,"Leicester Tigers",2008,2014,121,1336,"WD; frWP; itWP; esWP; enWP"
"Q76869","Toby Flood","Senior","Q431412",44,"Stade Toulousain",2014,2017,60,337,"WD; frWP; itWP; esWP; enWP"
"Q76869","Toby Flood","Senior","Q910657",160,"Newcastle Red Bulls",2017,2021,72,374,"frWP; itWP; enWP"
"Q77848","Sascha Fischer","International","Q695374",116,"Germany national rugby union team",NA,2007,27,0,"enWP"
"Q77848","Sascha Fischer","Senior","Q1024459",199,"CS Bourgoin-Jallieu",1996,2003,NA,NA,"WD; frWP; enWP"
"Q77848","Sascha Fischer","Senior","Q952709",182,"CA Périgueux",2003,2006,6,0,"frWP; enWP"
"Q77848","Sascha Fischer","Senior","Q3220658",546,"Bugue Athletic Club",2006,2008,17,0,"enWP; WD; frWP"
"Q77848","Sascha Fischer","International","Q695374",116,"Germany national rugby union team",2006,2008,27,0,"WD; frWP"
"Q77848","Sascha Fischer","Senior","Q833432",148,"DSV 78 Hannover",2008,2013,NA,NA,"frWP; enWP"
"Q82942","Farid Sid","Senior","Q1471265",266,"USA Perpignan",1997,2003,41,35,"WD; frWP; enWP"
"Q82942","Farid Sid","Senior","Q1407380",260,"US Colomiers",2003,2004,10,15,"WD; frWP; enWP"
"Q82942","Farid Sid","Senior","Q1022912",197,"CA Brive",2004,2008,86,90,"WD; frWP; enWP"
"Q82942","Farid Sid","Senior","Q1471265",266,"USA Perpignan",2008,2013,110,130,"WD; frWP; enWP"
"Q87794","Robert Mohr","Senior","Q833432",148,"DSV 78 Hannover",1992,1999,NA,NA,"frWP"
"Q87794","Robert Mohr","Senior","Q1024459",199,"CS Bourgoin-Jallieu",1999,2002,58,0,"WD; frWP; enWP"
"Q87794","Robert Mohr","Senior","Q756594",126,"Stade Rochelais",2002,2012,292,25,"WD; frWP; enWP"
"Q87794","Robert Mohr","International","Q695374",116,"Germany national rugby union team",2008,2015,33,10,"WD; frWP; enWP"
"Q87794","Robert Mohr","Senior","Q7596188",1839,"Niort Rugby Club",2012,2013,16,0,"frWP; enWP"
"Q87794","Robert Mohr","Senior","Q833432",148,"DSV 78 Hannover",2013,2014,NA,NA,"frWP"
"Q87794","Robert Mohr","Senior","Q325466",31,"Heidelberger RK",2014,2014,NA,NA,"frWP"
