"wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"Q4075","Lyon OU","rugby union team",1896-01-01,NA,"LOU Rugby; Lyon Olympique Universitaire; LOU; Lyon Olympique Universitaire Rugby; Les Loups (The Wolves); Les Loups",NA,"France","Top 14","Stade de Gerland",NA,"Lyon","lyon",NA,"Lyon_OU_Rugby","Lyon_olympique_universitaire_rugby","Lyon_Olympique_Universitaire_Rugby","Lyon_Olympique","%E3%83%AA%E3%83%A8%E3%83%B3OU","http://dbpedia.org/resource/Lyon_OU"
"Q9641","Saracens F.C.","rugby union club",1876-01-01,NA,"Sarries; Saracens FC Saracens F.C.; Saracens Football Club; Saracens Rugby; Saracens Rugby Club; Saracens FC; 萨拉森人橄榄球俱乐部; 薩拉森人橄欖球俱樂部; Saracens; Sarries, Men in Black, Wolf Pack, Fez Boys; The Men in Black; The Sarries","Rugby Football Union","United Kingdom","Premiership Rugby","Barnet Copthall","10000","Hendon","saracens",NA,"Saracens_F.C.","Saracens","Saracens_Football_Club","Saracens","%E3%82%B5%E3%83%A9%E3%82%BB%E3%83%B3%E3%82%BA","http://dbpedia.org/resource/Saracens_F.C."
"Q16320","Club Atlético Peñarol","rugby union club",1891-09-28,NA,"Peñarol; نادي بنيارول; ФК Пеньяроль; C.A. Peñarol; CA Peñarol; Club Atletico Peñarol; Peñarol Montevideo; Пењарол; CA Penarol; เปญญาโรล; 佩那罗尔足球俱乐部; Peñarol de Montevideo",NA,"Uruguay",NA,"Estadio Campeón del Siglo",NA,"Montevideo",NA,NA,"Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","CA%E3%83%9A%E3%83%8B%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%AB",NA
"Q18640","Club de Gimnasia y Esgrima La Plata","rugby union club",1887-06-03,NA,"拉普拉塔; Gimnasia y Esgrima; ФК Хімнасія і Эсгрыма Ла-Плата; Club de Gimnasia y Esgrima de La Plata; Gimnasia de La Plata; Gimnasia y Esgrima de La Plata; Gimnasia y Esgrima La Plata; باشگاه فوتبال جيمناسيا لاپلاتا; Gimnasia LP; Club Gimnasia y Esgrima La Plata; Gimnasia La Plata; ヒムナシア・ラ・プラタ; ヒムナシア・ラプラタ; Laplatas Gimnasia; Club Gimnasia y Esgrima de La Plata; Gimnásia y Esgrima La Plata; Химнасия Ла-Плата; Gimnasia y Esgrima (LP); CGE La Plata; 甘拿斯亞; Gimnasia y Esgrima LP; G.E.L.P.; GELP; GyE La Plata",NA,"Argentina",NA,"Juan Carmelo Zerillo Stadium",NA,"La Plata",NA,NA,"Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","%E3%82%AF%E3%83%A9%E3%83%96%E3%83%BB%E3%83%87%E3%83%BB%E3%83%92%E3%83%A0%E3%83%8A%E3%82%B7%E3%82%A2%E3%83%BB%E3%82%A4%E3%83%BB%E3%82%A8%E3%82%B9%E3%82%B0%E3%83%AA%E3%83%9E%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%97%E3%83%A9%E3%82%BF",NA
"Q46387","RC Massy","rugby union club",1971-06-17,NA,"Rugby Club Massy; Rugby Club Massy Essonne; RC Massy Essonne; RCME; RCマシー; Massy",NA,"France",NA,"Stade Jules Ladoumègue","6200","Massy",NA,NA,"RC_Massy","Rugby_Club_Massy_Essonne",NA,NA,"RC%E3%83%9E%E3%82%B7%E3%83%BC","http://dbpedia.org/resource/RC_Massy"
"Q55801","New Zealand national rugby union team","national rugby union team",1903-08-15,NA,"New Zealand rugby union team; New Zealand national rugby team; New Zealand rugby team; Seleccion de rugby de Nueva Zelanda; ru nzl; オールブラックス; kapa Ōpango; Ол Блекс; Nieuw-Zeelands rugbyteam (mannen); Олл Блэкс; 新西兰国家橄榄球队; 新西蘭國家橄欖球隊; los Totes Negres; los Totes Negres de Nòva Zelanda; New Zealand men's national rugby union team",NA,"New Zealand",NA,NA,NA,NA,NA,NA,"New_Zealand_national_rugby_union_team","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
"Q82216","Dragons","rugby union club",2003-01-01,NA,"Newport Gwent Dragons; Dreigiau Gwent; Newport Dragons; ニューポート・グウェント・ドラゴンズ; Ньюпорт Гвент Дрэгонс; Њупорт Гвент Дрегонс; Dragones de Newport; Dragones de Newport Gwent; Dragons RFC Official; Dragons RFC",NA,"Wales","United Rugby Championship","Rodney Parade","9097",NA,NA,NA,"Dragons_RFC","Dragons_RFC","Dragons_(rugby_a_15)","Dragons_RFC","%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%A6%E3%83%8B%E3%82%AA%E3%83%B3)","http://dbpedia.org/resource/Dragons_RFC"
"Q93928","Valorugby Emilia","rugby union club",1945-01-01,NA,"SS Rugby Reggio; Rugby Reggio; Rugby Reggio ASD; Rugby Reggio Emilia; Sempre Avanti Rugby; Valorugby Emilia S.S.D.; I Diavoli","Italian Rugby Federation","Italy",NA,"Stadio Mirabello","4400","Reggio Emilia",NA,NA,"Valorugby_Emilia","Rugby_Reggio_Associazione_Sportiva","Valorugby_Emilia",NA,NA,"http://dbpedia.org/resource/Valorugby_Emilia"
"Q113135","Italy national rugby union team","national rugby union team",1929-05-20,NA,"Italy rugby team; Italian rugby union team; Italy national rugby team; Itàlia rugby; rugbi Itàlia; Italian national rugby team; Italian national rugby union team; Italian rugby team; Italy rugby union team; Seleccion de rugby de Italia; italrugby; nazionale italiana di rugby; RU ITA; RU Italia; RU Italy; Italiaans rugbyteam (mannen)",NA,"Italy",NA,"Stadio Olimpico","70634",NA,NA,NA,"Italy_national_rugby_union_team","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Italia","Selecci%C3%B3n_de_rugby_de_Italia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8",NA
"Q118498","Racing 92","rugby union club",1890-01-01,NA,"Racing Métro 92; Métro Racing 92; Racing CF; Racing Club de France; Racing Metro 92; 法蘭西賽跑; Les Ciel et Blanc (The sky-blues and whites); Les Racingmen; Les Ciel et Blanc",NA,"France","Top 14","Yves du Manoir Stadium; Paris La Défense Arena",NA,"Le Plessis-Robinson",NA,NA,"Racing_92","Racing_92","Racing_92","Racing_92","%E3%83%A9%E3%82%B7%E3%83%B392","http://dbpedia.org/resource/Racing_92"
