"Intervals","Counts","Density"
"[-20, -15[","1","6.25390869293308e-05"
"[-15, -10[","0","0"
"[-10, -5[","0","0"
"[-5, 0[","308","0.0192620387742339"
"[0, 5[","2464","0.154096310193871"
"[5, 10[","357","0.0223264540337711"
"[10, 15[","57","0.00356472795497186"
"[15, 20[","10","0.000625390869293308"
"[20, 25[","0","0"
"[25, 30[","1","6.25390869293308e-05"
