"Type","Count"
"Club/franchise team",7341
"Combined team",9
"Invitational team",20
"Military/police team",72
"National senior team",203
"National U18 team",27
"National U19 team",26
"National U20 team",37
"National U21 team",18
"National U23 team",9
"National university team",9
"Regional team",118
NA,0
