"Intervals","Counts","Density"
"[0, 50[","866","0.0182315789473684"
"[50, 100[","46","0.000968421052631579"
"[100, 150[","22","0.000463157894736842"
"[150, 200[","7","0.000147368421052632"
"[200, 250[","3","6.31578947368421e-05"
"[250, 300[","5","0.000105263157894737"
"[300, 350[","0","0"
"[350, 400[","1","2.10526315789474e-05"
