"PointsScored","Count"
"0",6937
"1",1
"3",4
"4",4
"5",45
"6",2
"7",1
"8",4
"9",5
"10",38
"11",2
"12",2
"13",1
"14",2
"15",29
"16",2
"17",3
"18",3
"19",1
"20",23
"21",1
"23",5
"24",2
"25",15
"26",4
"27",3
"28",3
"29",1
"30",11
"32",2
"33",1
"34",1
"35",12
"36",3
"37",2
"38",2
"40",7
"41",2
"42",4
"44",2
"45",10
"46",1
"47",1
"48",2
"50",12
"52",2
"53",1
"54",3
"55",11
"56",1
"57",3
"59",1
"60",3
"61",4
"63",1
"64",1
"65",5
"67",1
"70",5
"72",1
"73",1
"75",5
"76",1
"77",3
"79",2
"80",3
"82",1
"83",2
"84",2
"85",2
"86",2
"87",4
"88",1
"89",3
"90",5
"91",3
"93",1
"94",1
"95",3
"96",1
"97",1
"98",1
"99",2
"100",2
"101",3
"105",2
"108",2
"110",4
"113",4
"115",3
"116",1
"117",1
"118",1
"119",1
"120",2
"121",1
"122",2
"123",1
"124",1
"125",4
"126",1
"128",1
"130",4
"131",1
"133",1
"134",1
"135",1
"136",1
"138",2
"140",2
"141",1
"142",1
"147",1
"148",1
"149",1
"155",1
"157",2
"158",1
"165",2
"166",1
"171",1
"177",1
"180",3
"184",2
"185",2
"186",2
"187",1
"189",1
"190",1
"193",1
"195",1
"196",1
"197",1
"203",1
"204",1
"209",2
"210",1
"211",2
"212",1
"214",1
"215",2
"219",1
"220",1
"223",1
"225",1
"226",1
"228",1
"230",3
"232",1
"234",1
"238",2
"244",2
"246",3
"247",1
"248",1
"258",1
"259",2
"260",1
"271",2
"273",1
"274",1
"276",2
"277",2
"280",1
"282",1
"283",2
"284",1
"287",1
"293",1
"297",1
"300",1
"301",1
"306",1
"307",1
"314",3
"316",1
"317",1
"325",1
"326",1
"332",1
"335",2
"338",1
"339",1
"340",1
"344",1
"345",1
"346",1
"349",2
"353",2
"356",1
"357",1
"362",1
"364",1
"366",2
"368",1
"370",1
"371",1
"372",1
"374",1
"375",2
"378",1
"380",1
"384",1
"385",1
"387",1
"394",2
"398",1
"401",1
"404",1
"405",1
"407",1
"408",1
"413",1
"415",1
"418",1
"421",1
"425",1
"428",1
"435",1
"438",1
"441",1
"443",1
"444",1
"451",1
"452",1
"456",1
"457",1
"467",1
"470",1
"474",1
"479",1
"485",1
"487",1
"488",1
"489",1
"495",2
"501",1
"502",1
"504",1
"511",1
"512",1
"515",2
"527",1
"536",1
"537",1
"542",1
"547",1
"552",2
"561",2
"566",2
"582",2
"586",1
"587",1
"594",1
"601",1
"602",2
"605",1
"611",1
"620",1
"622",1
"626",2
"627",2
"628",1
"630",1
"636",1
"648",2
"650",1
"659",1
"668",1
"687",1
"690",1
"697",1
"698",1
"702",1
"709",1
"711",1
"719",1
"721",1
"722",1
"731",1
"732",1
"737",1
"744",1
"761",1
"764",1
"766",1
"767",1
"768",1
"769",1
"773",2
"777",1
"782",1
"799",1
"802",1
"806",1
"810",1
"820",1
"832",1
"836",1
"848",2
"881",1
"883",1
"897",1
"917",1
"924",1
"929",1
"931",2
"936",1
"938",2
"943",1
"951",1
"964",1
"969",1
"975",1
"985",1
"989",1
"992",1
"994",1
"995",1
"1000",2
"1006",2
"1031",1
"1034",1
"1037",1
"1041",1
"1056",2
"1069",1
"1070",1
"1077",2
"1084",1
"1085",1
"1088",1
"1094",1
"1095",1
"1110",1
"1115",1
"1118",1
"1132",1
"1139",1
"1160",1
"1169",1
"1181",1
"1184",1
"1202",1
"1218",1
"1241",1
"1261",1
"1273",1
"1290",2
"1326",1
"1347",1
"1349",1
"1373",1
"1374",1
"1383",1
"1401",1
"1412",1
"1420",1
"1435",1
"1437",1
"1448",1
"1493",1
"1494",1
"1517",1
"1524",1
"1534",1
"1539",1
"1574",2
"1575",1
"1588",1
"1600",1
"1616",1
"1621",1
"1627",1
"1636",1
"1638",2
"1686",1
"1688",1
"1710",1
"1720",1
"1723",1
"1750",1
"1768",1
"1770",1
"1774",1
"1807",1
