"Type","Count"
"Club/franchise team","7341"
"National senior team","203"
"Regional team","118"
"Military/police team","72"
"National U20 team","37"
"National U18 team","27"
"National U19 team","26"
"Invitational team","20"
"National U21 team","18"
"Others","27"
