"InceptionYear","Count"
"1843",1
"1844",1
"1846",1
"1851",1
"1854",1
"1855",1
"1856",1
"1857",3
"1858",2
"1860",2
"1861",4
"1863",6
"1864",1
"1865",7
"1866",3
"1867",8
"1868",11
"1869",12
"1870",7
"1871",17
"1872",19
"1873",16
"1874",9
"1875",28
"1876",19
"1877",15
"1878",9
"1879",16
"1880",18
"1881",11
"1882",17
"1883",9
"1884",11
"1885",11
"1886",16
"1887",16
"1888",21
"1889",10
"1890",13
"1891",10
"1892",7
"1893",12
"1894",7
"1895",8
"1896",3
"1897",9
"1898",18
"1899",12
"1900",15
"1901",10
"1902",21
"1903",16
"1904",20
"1905",17
"1906",22
"1907",16
"1908",24
"1909",14
"1910",8
"1911",15
"1912",13
"1913",7
"1914",4
"1915",9
"1916",1
"1917",2
"1918",6
"1919",16
"1920",16
"1921",21
"1922",27
"1923",29
"1924",25
"1925",16
"1926",12
"1927",21
"1928",29
"1929",18
"1930",14
"1931",10
"1932",15
"1933",10
"1934",10
"1935",6
"1936",13
"1937",8
"1938",8
"1939",2
"1940",1
"1941",4
"1942",3
"1943",7
"1944",14
"1945",8
"1946",10
"1947",17
"1948",13
"1949",14
"1950",14
"1951",12
"1952",7
"1953",7
"1954",7
"1955",13
"1956",14
"1957",8
"1958",15
"1959",14
"1960",15
"1961",21
"1962",27
"1963",26
"1964",12
"1965",21
"1966",25
"1967",16
"1968",23
"1969",32
"1970",22
"1971",26
"1972",28
"1973",37
"1974",23
"1975",20
"1976",19
"1977",26
"1978",12
"1979",11
"1980",17
"1981",11
"1982",21
"1983",15
"1984",18
"1985",10
"1986",15
"1987",8
"1988",8
"1989",15
"1990",13
"1991",15
"1992",18
"1993",10
"1994",9
"1995",14
"1996",26
"1997",12
"1998",15
"1999",18
"2000",14
"2001",19
"2002",7
"2003",30
"2004",16
"2005",18
"2006",28
"2007",25
"2008",31
"2009",27
"2010",24
"2011",18
"2012",9
"2013",12
"2014",8
"2015",11
"2016",7
"2017",12
"2018",8
"2019",7
"2020",5
"2021",7
"2022",2
"2023",6
"2024",4
"2025",1
NA,5575
