"rubyscopeId","wikidataId","fullName","type","inceptionDate","altNames","terminationDate","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa","dbpediaId"
1,"Q4075","Lyon OU","rugby union team","1896-01-01","Les Loups (The Wolves); Lyon Olympique Universitaire",NA,NA,"France","Top 14",1,"Stade de Gerland",NA,"Lyon","lyon",NA,"Lyon_OU_Rugby","Lyon_olympique_universitaire_rugby","Lyon_Olympique_Universitaire_Rugby","Lyon_Olympique","%E3%83%AA%E3%83%A8%E3%83%B3OU","http://dbpedia.org/resource/Lyon_OU"
2,"Q9641","Saracens F.C.","rugby union club","1876-01-01","Saracens; Saracens Football Club",NA,"Rugby Football Union","England","Premiership Rugby",1,"Barnet Copthall","10000","Hendon","saracens",NA,"Saracens_F.C.","Saracens","Saracens_Football_Club","Saracens","%E3%82%B5%E3%83%A9%E3%82%BB%E3%83%B3%E3%82%BA","http://dbpedia.org/resource/Saracens_F.C."
3,"Q16320","Club Atlético Peñarol","rugby union club","1891-09-28",NA,NA,NA,"Uruguay",NA,NA,"Estadio Campeón del Siglo",NA,"Montevideo",NA,NA,"Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","CA%E3%83%9A%E3%83%8B%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%AB",NA
4,"Q18640","Club de Gimnasia y Esgrima La Plata","rugby union club","1887-06-03",NA,NA,NA,"Argentina","Unión de Rugby de Buenos Aires",4,"Juan Carmelo Zerillo Stadium",NA,"La Plata",NA,NA,"Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","Club_de_Gimnasia_y_Esgrima_La_Plata","%E3%82%AF%E3%83%A9%E3%83%96%E3%83%BB%E3%83%87%E3%83%BB%E3%83%92%E3%83%A0%E3%83%8A%E3%82%B7%E3%82%A2%E3%83%BB%E3%82%A4%E3%83%BB%E3%82%A8%E3%82%B9%E3%82%B0%E3%83%AA%E3%83%9E%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%97%E3%83%A9%E3%82%BF",NA
5,"Q46387","RC Massy","rugby union club","1971-06-17","Massy; Rugby Club Massy Essonne",NA,NA,"France","Nationale 1",3,"Stade Jules Ladoumègue","6200","Massy",NA,NA,"RC_Massy","Rugby_Club_Massy_Essonne",NA,NA,"RC%E3%83%9E%E3%82%B7%E3%83%BC","http://dbpedia.org/resource/RC_Massy"
6,"Q55801","New Zealand national rugby union team","national rugby union team","1903-08-15",NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_rugby_union_team","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
7,"Q82216","Dragons","rugby union club","2003-01-01","Dragons RFC",NA,NA,"Wales","United Rugby Championship",1,"Rodney Parade","9097",NA,NA,NA,"Dragons_RFC","Dragons_RFC","Dragons_(rugby_a_15)","Dragons_RFC","%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%A6%E3%83%8B%E3%82%AA%E3%83%B3)","http://dbpedia.org/resource/Dragons_RFC"
8,"Q93928","Valorugby Emilia","rugby union club","1945-01-01","Valorugby Emilia S.S.D.",NA,"Italian Rugby Federation","Italy","Serie A Élite",2,"Stadio Mirabello","4400","Reggio Emilia",NA,NA,"Valorugby_Emilia","Rugby_Reggio_Associazione_Sportiva","Valorugby_Emilia",NA,NA,"http://dbpedia.org/resource/Valorugby_Emilia"
9,"Q113135","Italy national rugby union team","national rugby union team","1929-05-20",NA,NA,NA,"Italy",NA,NA,"Stadio Olimpico","70634",NA,NA,NA,"Italy_national_rugby_union_team","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Italia","Selecci%C3%B3n_de_rugby_de_Italia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8",NA
10,"Q118498","Racing 92","rugby union club","1890-01-01","Les Ciel et Blanc (The sky-blues and whites)",NA,NA,"France","Top 14",1,"Yves du Manoir Stadium; Paris La Défense Arena",NA,"Le Plessis-Robinson",NA,NA,"Racing_92","Racing_92","Racing_92","Racing_92","%E3%83%A9%E3%82%B7%E3%83%B392","http://dbpedia.org/resource/Racing_92"
