"","player","playerLabel","club","clubLabel","startYear","endYear","played","points"
"1","Q100889956","Cian Prendergast","Q1126167","Connacht Rugby",NA,NA,NA,NA
"2","Q110442708","Tom Stewart","Q1548720","Ulster Rugby",NA,NA,NA,NA
"3","Q110912902","Joe McCarthy","Q3040530","Dublin University Football Club",NA,NA,NA,NA
"4","Q1146488","Malcolm O'Kelly","Q807749","Barbarian FC",NA,NA,NA,NA
"5","Q1146488","Malcolm O'Kelly","Q1193020","London Irish RFC","1997","1998",NA,NA
"6","Q130855032","Tom Gavin","Q1193020","London Irish RFC",NA,NA,NA,NA
"7","Q130855032","Tom Gavin","Q289030","Birmingham Moseley Rugby Club",NA,NA,NA,NA
"8","Q130855032","Tom Gavin","Q7069804","Nuneaton RFC",NA,NA,NA,NA
"9","Q1388702","Keith Wood","Q1149835","Harlequin F.C.","1995","1999",NA,NA
"10","Q1388702","Keith Wood","Q1149835","Harlequin F.C.","2000","2003",NA,NA
"11","Q1400144","Jonathan Sexton","Q118498","Racing 92","2013","2015",NA,NA
"12","Q1406223","Fergus Slattery","Q807749","Barbarian FC",NA,NA,NA,NA
"13","Q1445873","Peter Stringer","Q807749","Barbarian FC","2000","2011",NA,NA
"14","Q1445873","Peter Stringer","Q9641","Saracens F.C.","2011","2012",NA,NA
"15","Q1445873","Peter Stringer","Q910657","Newcastle Falcons","2012","2012",NA,NA
"16","Q1445873","Peter Stringer","Q810786","Bath Rugby","2013","2013",NA,NA
"17","Q16008751","George J. Morgan","Q807749","Barbarian FC",NA,NA,NA,NA
"18","Q16010895","Charles Beamish","Q1149835","Harlequin F.C.",NA,NA,NA,NA
"19","Q16010895","Charles Beamish","Q807749","Barbarian FC",NA,NA,NA,NA
"20","Q16010895","Charles Beamish","Q1071691","Leicester Tigers",NA,NA,NA,NA
"21","Q16011219","Chris Farrell","Q1548720","Ulster Rugby","2011","2014",NA,NA
"22","Q16011219","Chris Farrell","Q1387142","Football Club Grenoble Rugby","2014",NA,NA,NA
"23","Q16105002","Jerry Walsh","Q807749","Barbarian FC",NA,NA,NA,NA
"24","Q16145626","Patrick Parfrey","Q1193020","London Irish RFC",NA,NA,NA,NA
"25","Q16221683","Nathan White","Q1126167","Connacht Rugby",NA,NA,NA,NA
"26","Q16233073","James Cronin","Q807749","Barbarian FC","2017","2017",NA,NA
"27","Q16233222","Rob Herring","Q1193020","London Irish RFC","2009","2011",NA,NA
"28","Q16233222","Rob Herring","Q1548720","Ulster Rugby","2012",NA,NA,NA
