player,playerLabel,firstnameLabels,lastnameLabels,sexLabel,dobMax,dobFormat,pobLabels,dodMax,dodFormat,podLabels,citizenshipLabels,sportCountryLabels,positionLabels,careerStartYears,careerEndYears,masses,heights,ESPNscrumIDs,AllRugbyIDs,GoogleKnowlIDs,ItsRugbyIDs,RugbyDatabaseIDs
http://www.wikidata.org/entity/Q3298729,Mathieu Giudicelli,Mathieu,Giudicelli,male,1990-02-07T00:00:00Z,1990-2-7,Montpellier,,,,France,,prop,,,,,,mathieu-giudicelli,/g/1225dy3l,14726,
http://www.wikidata.org/entity/Q3298732,Mathieu Glavany,Mathieu,Glavany,male,1977-05-16T00:00:00Z,1977-5-16,,,,,France,,,,,,,,,/g/121p6fb_,,
http://www.wikidata.org/entity/Q3298735,Mathieu Gouagout,Mathieu,,male,1983-03-21T00:00:00Z,1983-3-21,Arcachon,,,,France,,prop,,,,,,,/g/122160rf,3132,
http://www.wikidata.org/entity/Q3298754,Mathieu Horb,Mathieu,Horb,male,1985-02-27T00:00:00Z,1985-2-27,Marcq-en-Barœul,,,,France,,"winger, centre",,,,,,,/g/122x83kv,10025,
http://www.wikidata.org/entity/Q3298783,Mathieu Larrouy,Mathieu,,male,1980-10-11T00:00:00Z,1980-10-11,Saint-Palais,,,,France,,prop,,,,,,,/g/120z_p8d,3229,
http://www.wikidata.org/entity/Q3298794,Mathieu Lescure,Mathieu,Lescure,male,1982-04-28T00:00:00Z,1982-4-28,Clermont-Ferrand,,,,France,,flanker,,,,,,mathieu-lescure,/g/121n93t8,3260,
http://www.wikidata.org/entity/Q3298800,Mathieu Lorée,Mathieu,,male,1987-06-18T00:00:00Z,1987-6-18,Cormeilles-en-Parisis,,,,France,,scrum-half,,,,,,mathieu-loree,/g/122pkl35,11894,
http://www.wikidata.org/entity/Q3298804,Mathieu Maillard,Mathieu,Maillard,male,1980-01-08T00:00:00Z,1980-1-8,Villeneuve-sur-Lot,,,,France,,fly-half,,,,,,,/g/120wr9bz,39,
http://www.wikidata.org/entity/Q3298807,Mathieu Lopez,"Mathieu, Matthieu","López, Lopez",male,1982-08-23T00:00:00Z,1982-8-23,France,,,,"Spain, France",,scrum-half,,,,,15736,,/g/1233lsfg,5569,
http://www.wikidata.org/entity/Q3298818,Mathieu Mercier,Mathieu,Mercier,male,1982-10-08T00:00:00Z,1982-10-8,France,,,,France,,winger,,,,,,,/g/121b751f,,
http://www.wikidata.org/entity/Q3298832,Mathieu Petitdemange,Mathieu,Petitdemange,male,1987-04-10T00:00:00Z,1987-4-10,Die,,,,France,,number 8,,,,,,,/g/1hb_f6v_j,14720,
http://www.wikidata.org/entity/Q3298837,Mathieu Pla,Mathieu,Pla,male,1985-03-13T00:00:00Z,1985-3-13,Perpignan,,,,France,,scrum-half,,,,,,,/g/121s43bg,5094,
http://www.wikidata.org/entity/Q3298859,Mathieu Sans,Mathieu,Sans,male,1980-09-25T00:00:00Z,1980-9-25,Pontacq,,,,France,,fly-half,,,,,,,/g/120wr9b_,3203,
http://www.wikidata.org/entity/Q3298872,Mathieu Siro,Mathieu,Siro,male,1981-01-08T00:00:00Z,1981-1-8,Pau,,,,France,,scrum-half,,,,,,,/g/1224tc_q,471,
http://www.wikidata.org/entity/Q3299075,Matias Albina,Matias,,male,1975-03-26T00:00:00Z,1975-3-26,La Plata,,,,Argentina,,scrum-half,,,,,13613,,/g/121v7wbj,4502,
http://www.wikidata.org/entity/Q3299080,Matias Cortese,Matias,Cortese,male,1985-10-01T00:00:00Z,1985-10-1,Mendoza,,,,Argentina,,hooker,,,,,15098,matias-cortese,,4411,11792
http://www.wikidata.org/entity/Q3299087,Matias Viazzo,Matias,Viazzo,male,1983-03-06T00:00:00Z,1983-3-6,Mendoza,,,,Argentina,,centre,,,,,27620,,,3109,
http://www.wikidata.org/entity/Q3299406,Matt Cairns,Matt,Cairns,male,1979-03-31T00:00:00Z,1979-3-31,Birkenhead,,,,United Kingdom,,hooker,,,,,14254,,,1177,
