"","player","playerLabel","firstnameLabels","lastnameLabels","sexLabel","dobFormat","pobLabels","dodFormat","podLabels","citizenshipLabels","sportCountryLabels","positionLabels","careerStart","careerEnd","mass","height","ESPNscrumID","AllRugbyID","GoogleKnowlID","ItsRugbyID","RugbyDatabaseID"
"1","Q3082917","Frankie Sheahan","Frankie","Sheahan","male","1976-8-27","Toronto",NA,NA,"Canada",NA,"hooker",NA,"2009-01-01","107","180","13281",NA,NA,"526","12729"
"2","Q440131","Jamie Heaslip","Jamie","Heaslip","male","1983-12-15","Tiberias",NA,NA,"Ireland",NA,"number 8","2005-01-01","2018-01-01","109","193","15202","jamie-heaslip",NA,"3484","9945"
"3","Q2996506","Coo Clinch","Andrew","Clinch","male","1867-11-29","Dublin","1937-2-1","Dublin","Ireland",NA,NA,NA,NA,NA,NA,"1047",NA,NA,NA,NA
"4","Q3531758","Tony Ensor","Tony","Ensor","male","1949-8-17","Dublin",NA,NA,"Ireland",NA,"fullback",NA,NA,NA,NA,"7889",NA,NA,NA,NA
"5","Q7047091","Noel Mannion","Noel","Mannion","male","1963-1-12","Ballinasloe",NA,NA,"Ireland","Ireland","number 8","1982-01-01",NA,NA,NA,"10472",NA,NA,NA,NA
"6","Q448441","Tony O'Reilly","Francis, Anthony Joseph","O'Reilly","male","1936-5-7","Dublin","2024-5-18","Dublin","Ireland",NA,"centre","1954-01-01","2024-01-01",NA,NA,"5888",NA,NA,NA,"AO927022"
"7","Q5290640","Dominic Ryan","Dominic","Ryan","male","1990-3-28","Dublin",NA,NA,"Ireland",NA,"flanker",NA,NA,NA,NA,"106763","dominic-ryan",NA,"16217","13718"
"8","Q2991572","Con Murphy","Con","Murphy","male","1914-9-19","Dublin","2002-4-9",NA,"Ireland",NA,"fullback",NA,NA,NA,NA,"4697",NA,"122yh5f3",NA,NA
"9","Q4867215","Basil McFarland","Basil","McFarland","male","1898-2-18",NA,"1986-3-5",NA,"United Kingdom, United Kingdom of Great Britain and Ireland",NA,"winger",NA,NA,NA,NA,"2648",NA,NA,NA,NA
"10","Q3035973","Donal Lenihan","Donal","Lenihan","male","1959-9-12","Cork",NA,NA,"Ireland",NA,"lock",NA,NA,NA,NA,"9388",NA,NA,NA,"12850"
