"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","2007","2012","Northampton Saints","Northampton_Saints",NA,NA
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","2012","2017","Saracens","Saracens",NA,NA
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","2017",NA,"Toulon","Rugby_Club_Toulonnais",NA,NA
"Q128407","Martín Bustos Moyano","Bustos Moyano","Mart%C3%ADn_Bustos_Moyano",NA,NA,"Argentina","Selecci%C3%B3n_de_rugby_de_Argentina","4","43"
"Q128407","Martín Bustos Moyano","Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","2004","2009","Córdoba Athletic Club","C%C3%B3rdoba_Athletic_Club",NA,NA
"Q128407","Martín Bustos Moyano","Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","2009","2010","Pampas XV","Pampas_XV",NA,NA
"Q128407","Martín Bustos Moyano","Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","2010","2013","Montpellier","Montpellier_H%C3%A9rault_Rugby",NA,NA
"Q128407","Martín Bustos Moyano","Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","2013","2019","Aviron Bayonnais","Aviron_Bayonnais",NA,NA
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","2010",NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","66","138"
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","2006","2015","Hawke's Bay Rugby",NA,NA,NA
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","2009","2010","Highlanders","Highlanders_(rugby)",NA,NA
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","2011","2019","Crusaders",NA,NA,NA
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","2018",NA,"Canon Eagles",NA,NA,NA
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","53",NA
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","2002","2004","Free State Cheetahs",NA,NA,NA
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","2005","2010","Bulls","Bulls_(rugby)",NA,NA
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","2011","2017","Stade Toulousain","Stade_Toulousain",NA,NA
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp","Gurthr%C3%B6_Steenkamp","2017","2018","Stade Français Paris","Stade_Fran%C3%A7ais_Paris",NA,NA
