"rugbyscopeId","altNames","teamWP","fusionName"
"101","Argentina; Los Pumas; Selección de rugby de Argentina; Argentina (rugby 15)","Selecci%C3%B3n_de_rugby_de_Argentina","Argentina national rugby union team"
"1114","Club Manuel Belgrano",NA,"Club Manuel Belgrano"
"260","US Colomiers; Colomiers Rugby; Colomiers","Colomiers_Rugby","US Colomiers"
"2145","Section Paloise; Pau; Section paloise; Section Paloise(junior)","Section_Paloise","Section Paloise"
"44","Stade Toulousain; Stade toulousain; Toulouse","Stade_Toulousain","Stade Toulousain"
"10","Racing 92",NA,"Racing 92"
"58","Selección de rugby de Francia; Francia","Selecci%C3%B3n_de_rugby_de_Francia","France national rugby union team"
"252","Stade Français Paris; Stade Français; Stade français","Stade_Fran%C3%A7ais_Paris","Stade Français Rugby"
"86","Australia; Selección de rugby de Australia","Selecci%C3%B3n_de_rugby_de_Australia","Australia national rugby union team"
"253","Queensland RU",NA,"Queensland Reds"
"253","Queensland Reds; Reds","Queensland_Reds","Queensland Reds"
"493","East Coast Aces",NA,"Queensland Country"
"424","Brisbane City",NA,"Brisbane City"
"315","Toulon; RC Toulon; Rugby-Club Toulonnais; Rugby Club Toulonnais; RC Toulonnais","Rugby_Club_Toulonnais","RC Toulonnais"
"6","Nueva Zelanda; Selección de Nueva Zelanda; Nueva ZelandaSamoa; Selección de rugby de Nueva Zelanda; All Blacks","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","New Zealand national rugby union team"
"2911","Otago",NA,"Otago Rugby Union Team"
"240","Highlanders","Highlanders_(rugby)","Highlanders"
"542","Kobelco Steelers; Kobelco Kobe Steelers","Kobelco_Kobe_Steelers","Kobelco Kobe Steelers"
"39","Inglaterra; Selección de rugby de Inglaterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","England national rugby union team"
"204","Leicester Tigers; Leicester","Leicester_Tigers","Leicester Tigers"
"164","Sale Sharks","Sale_Sharks","Sale Sharks"
"88","Aviron Bayonnais","Aviron_Bayonnais","Aviron Bayonnais"
"160","Newcastle Falcons; Newcastle","Newcastle_Falcons","Newcastle Falcons"
"232","Blues; Auckland Blues","Blues_(rugby)","Blues"
"10","Racing Métro 92; Racing Metro 92; Racing 92; Racing Métro; Racing Metro","Racing_92","Racing 92"
"52","Sudáfrica; Selección de Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","South Africa national rugby union team"
"156","Blue Bulls","Blue_Bulls","Blue Bulls"
"22","Free State Cheetahs; Orange Free State; Free State","Free_State_Cheetahs","Free State Cheetahs"
"258","Sharks","Sharks","Sharks"
"239","Northampton Saints; Northampton","Northampton_Saints","Northampton Saints"
"2","Saracens","Saracens","Saracens F.C."
"1162","Córdoba Athletic Club","C%C3%B3rdoba_Athletic_Club","Córdoba Athletic Club"
"331","Pampas XV","Pampas_XV","Pampas XV"
"76","Montpellier; Montpellier Hérault; Montpellier HRC; Montpellier Hérault RC; Montpellier Hérault Rugby; Montpellier Hérault Rugby Club","Montpellier_H%C3%A9rault_Rugby","Montpellier Hérault Rugby"
"2908","Hawke's Bay Rugby",NA,"Hawke's Bay Rugby Union Team"
"188","Crusaders","Crusaders","Crusaders"
"1056","Canon Eagles",NA,"Yokohama Canon Eagles"
"254","Bulls","Bulls_(rugby)","Bulls"
"2907","Counties Manukau RU",NA,"Counties Manukau Rugby Union Team"
"2915","Waikato RU; Waikato Rugby Union; Waikato; Waikato Mooloos","Waikato_Mooloos","Waikato Rugby Union Team"
"72","Chiefs","Chiefs_(rugby)","Chiefs"
"138","Bath Rugby; Bath","Bath_Rugby","Bath Rugby"
"1518","Mitsubishi Dynaboars",NA,"Mitsubishi Sagamihara DynaBoars"
"2903","Canterbury; Canterbury RFU; Canterbury Rugby","Canterbury_(rugby)","Canterbury"
"579","Panasonic Wild Knights; Saitama Wild Knights","Saitama_Wild_Knights","Saiatama Panasonic Wild Knights"
"270","Wellington; Wellington Rugby FU; Wellington Lions; Wellington RFU","Wellington_Lions","Wellington Rugby Football Union"
"99","Hurricanes","Hurricanes_(rugby)","Hurricanes"
"126","Stade Rochelais; La Rochelle; Atlantique Stade Rochelais","Stade_Rochelais","Stade Rochelais"
"234","Griquas","Griquas","Griquas"
"267","Leinster Rugby; Leinster","Leinster_Rugby","Leinster Rugby"
"278","Golden Lions; Transvaal","Golden_Lions","Golden Lions"
"263","SU Agen; Sporting Union Agen; Agen; SU Agen Lot-et-Garonne","Sporting_Union_Agen_Lot-et-Garonne","SU Agen Lot-et-Garonne"
"143","Gales; Selección de Gales; Selección de rugby de Gales","Selecci%C3%B3n_de_rugby_de_Gales","Wales national rugby union team"
"891","Abercrave RFC",NA,"Abercrave RFC"
"215","Pontypool RFC",NA,"Pontypool RFC"
"272","Llanelli RFC","Llanelli_RFC","Llanelli RFC"
"150","Swansea RFC; Swansea","Swansea_RFC","Swansea RFC"
"121","Natal Sharks","Natal_Sharks","Natal Sharks"
"698","Toshiba Brave Lupus","Toshiba_Brave_Lupus_Tokyo","Toshiba Brave Lupus"
"203","Cheetahs","Cheetahs","Cheetahs"
"9","Italia","Selecci%C3%B3n_de_rugby_de_Italia","Italy national rugby union team"
"1126","Universitario de La Plata","Club_Universitario_de_La_Plata","Club Universitario de La Plata"
"59","Benetton Treviso; Benetton Rugby Treviso; Treviso; Benetton Rugby; Benetton","Benetton_Rugby_Treviso","Benetton Rugby Treviso"
"2912","Rugby Southland",NA,"Southland"
"122","Gloucester Rugby; Gloucester","Gloucester_Rugby","Gloucester Rugby"
"309","Béziers; AS Béziers Hérault; AS Béziers","AS_B%C3%A9ziers_H%C3%A9rault","AS Béziers Hérault"
"252","Stade Français; Stade Francais","Stade_Fran%C3%A7ais","Stade Français Rugby"
"928","Auckland RFU; Auckland","Auckland_(rugby)","Auckland rugby union team"
"205","SS Lazio Rugby","SS_Lazio_Rugby","SS Lazio Rugby 1927"
"785","ASD Rugby Casale",NA,"Rugby Casale"
"230","Harlequins FC; Harlequin F.C.; Harlequins; NEC Harlequins","Harlequins_FC","Harlequin F.C."
"176","Escocia; Selección de rugby de Escocia","Selecci%C3%B3n_de_rugby_de_Escocia","Scotland national rugby union team"
"37","Glasgow Warriors; Glasgow","Glasgow_Warriors","Glasgow Warriors"
"189","Castres Olympique; Castres","Castres_Olympique","Castres Olympique"
"205","Società Sportiva Lazio","Societ%C3%A0_Sportiva_Lazio","SS Lazio Rugby 1927"
"344","Western Province","Western_Province","Western Province"
"135","Stormers","Stormers","Stormers"
"225","Munster; Munster Rugby","Munster_Rugby","Munster Rugby"
"77","Irlanda; Selección de rugby de Irlanda","Selecci%C3%B3n_de_rugby_de_Irlanda","Ireland rugby union team"
"480","Cork Constitution","Cork_Constitution_FC","Cork Constitution"
"225","Munster Rugby",NA,"Munster Rugby"
"190","Rumania","Selecci%C3%B3n_de_rugby_de_Rumania","Romania national rugby union team"
"343","Steaua București",NA,"CSA Steaua București"
"181","Pays d'Aix; Pays d'Aix RC; Provence; Provence Rugby","Provence_Rugby","Provence Rugby"
"92","Oyonnax; Oyonnax Rugby; US Oyonnax Rugby; Union Sportive Oyonnax Rugby","Oyonnax_Rugby","Oyonnax Rugby"
"393","SC graulhetois",NA,"Sporting Club Graulhetois"
"1990","Worthing RFC",NA,"Worthing Rugby Football Club"
"231","London Wasps; Wasps RFC; London Wasp; Wasps","Wasps_RFC","Wasps RFC"
"609","Rosslyn Park F.C.",NA,"Rosslyn Park F.C."
"1398","Toyota Verblitz","Toyota_Verblitz","Toyota Verblitz"
"270","Wellington RFU",NA,"Wellington Rugby Football Union"
"273","Ospreys Rugby; Ospreys","Ospreys","Ospreys"
"209","Yamaha Júbilo",NA,"Shizuoka Blue Revs"
"208","RC Narbonne",NA,"RC Narbonne"
"365","Blackheath F.C.",NA,"Blackheath F.C."
"241","Lions; Cats","Lions_(rugby)","Lions"
