name,number,opponent,date_of_debut,caps,url
Andrew Clinch,206,Scotland,20/02/1892,10,https://en.wikipedia.org//wiki/Andrew_Clinch
Sam Gardiner,207,England,04/02/1893,2,https://en.wikipedia.org//w/index.php?title=Sam_Gardiner_(rugby_union)&action=edit&redlink=1
Robert Johnston,208,England,04/02/1893,2,https://en.wikipedia.org//wiki/Robert_Johnston_(VC)
Harry Lindsay,209,England,04/02/1893,13,https://en.wikipedia.org//w/index.php?title=Harry_Lindsay_(rugby_union)&action=edit&redlink=1
Michael Egan,210,England,04/02/1893,2,https://en.wikipedia.org//w/index.php?title=Michael_Egan_(rugby_union)&action=edit&redlink=1
Lucius Gwynn,211,Scotland,18/02/1893,7,https://en.wikipedia.org//wiki/Lucius_Gwynn
Walter Brown,212,Scotland,18/02/1893,5,https://en.wikipedia.org//w/index.php?title=Walter_Brown_(rugby_union)&action=edit&redlink=1
Brian O'Brien,213,Scotland,18/02/1893,2,https://en.wikipedia.org//w/index.php?title=Brian_O%27Brien_(1890s_rugby_union_player)&action=edit&redlink=1
Herbert Forrest,214,Scotland,18/02/1893,2,https://en.wikipedia.org//w/index.php?title=Herbert_Forrest&action=edit&redlink=1
William Sparrow,215,Wales,11/03/1893,2,https://en.wikipedia.org//w/index.php?title=William_Sparrow&action=edit&redlink=1
Robert Hamilton,216,Wales,11/03/1893,1,https://en.wikipedia.org//w/index.php?title=Robert_Hamilton_(rugby_union)&action=edit&redlink=1
James Lytle,217,England,03/02/1894,12,https://en.wikipedia.org//w/index.php?title=James_Lytle_(rugby_union)&action=edit&redlink=1
George Walmsley,218,England,03/02/1894,1,https://en.wikipedia.org//w/index.php?title=George_Walmsley&action=edit&redlink=1
Thomas Crean,219,England,03/02/1894,9,https://en.wikipedia.org//wiki/Thomas_Crean
Patrick Grant,220,Scotland,24/02/1894,2,https://en.wikipedia.org//w/index.php?title=Patrick_Grant_(rugby_union)&action=edit&redlink=1
Andrew Bond,221,Scotland,24/02/1894,2,https://en.wikipedia.org//w/index.php?title=Andrew_Bond_(rugby_union)&action=edit&redlink=1
G. R. Symes,222,England,02/02/1895,1,https://en.wikipedia.org//wiki/G._R._Symes
Thomas Stevenson,223,England,02/02/1895,7,https://en.wikipedia.org//w/index.php?title=Thomas_Stevenson_(rugby_union)&action=edit&redlink=1
Joseph Magee,224,England,02/02/1895,2,https://en.wikipedia.org//wiki/Joseph_Magee
Louis Magee,225,England,02/02/1895,27,https://en.wikipedia.org//wiki/Louis_Magee
Alfred Brunker,226,England,02/02/1895,2,https://en.wikipedia.org//w/index.php?title=Alfred_Brunker&action=edit&redlink=1
Hugh McCoul,227,England,02/02/1895,4,https://en.wikipedia.org//w/index.php?title=Hugh_McCoul&action=edit&redlink=1
John Fulton,228,Scotland,02/03/1895,16,https://en.wikipedia.org//w/index.php?title=John_Fulton_(rugby_union)&action=edit&redlink=1
A. Montgomery,229,Scotland,02/03/1895,1,https://en.wikipedia.org//w/index.php?title=A._Montgomery_(rugby_union)&action=edit&redlink=1
Jack O'Connor,230,Scotland,02/03/1895,1,"https://en.wikipedia.org//w/index.php?title=Jack_O%27Connor_(Ireland_rugby_union,_1895)&action=edit&redlink=1"
Edward McIlwaine,231,Scotland,02/03/1895,2,https://en.wikipedia.org//w/index.php?title=Edward_McIlwaine&action=edit&redlink=1
William O'Sullivan,232,Scotland,02/03/1895,1,https://en.wikipedia.org//w/index.php?title=William_O%27Sullivan_(rugby_union)&action=edit&redlink=1
Arthur Gwynn,233,Wales,16/03/1895,1,https://en.wikipedia.org//wiki/Arthur_Gwynn
Michael Delany,234,Wales,16/03/1895,1,https://en.wikipedia.org//w/index.php?title=Michael_Delany_(rugby_union)&action=edit&redlink=1
Lawrence Bulger,235,England,01/02/1896,8,https://en.wikipedia.org//wiki/Lawrence_Bulger
Glynn Allen,236,England,01/02/1896,9,https://en.wikipedia.org//w/index.php?title=Glynn_Allen&action=edit&redlink=1
William Byron,237,England,01/02/1896,11,https://en.wikipedia.org//w/index.php?title=William_Byron_(rugby_union)&action=edit&redlink=1
Jim Sealy,238,England,01/02/1896,9,https://en.wikipedia.org//wiki/Jim_Sealy
George McAllan,239,Scotland,15/02/1896,2,https://en.wikipedia.org//w/index.php?title=George_McAllan&action=edit&redlink=1
John McIlwaine,240,England,06/02/1897,7,https://en.wikipedia.org//w/index.php?title=John_McIlwaine_(rugby_union)&action=edit&redlink=1
Michael Ryan,241,England,06/02/1897,17,https://en.wikipedia.org//w/index.php?title=Michael_Ryan_(rugby_union)&action=edit&redlink=1
John Ryan,242,England,06/02/1897,14,"https://en.wikipedia.org//w/index.php?title=John_Ryan_(rugby_union,_died_1937)&action=edit&redlink=1"
Pierce O'Brien-Butler,243,Scotland,20/02/1897,6,https://en.wikipedia.org//wiki/Pierce_O%27Brien-Butler
Francis Purser,244,England,05/02/1898,3,https://en.wikipedia.org//w/index.php?title=Francis_Purser&action=edit&redlink=1
James Franks,245,England,05/02/1898,3,https://en.wikipedia.org//w/index.php?title=James_Franks_(rugby_union)&action=edit&redlink=1
John Joseph Davis,246,England,05/02/1898,2,https://en.wikipedia.org//wiki/J._L._Davis
Frederick Smithwick,247,Scotland,19/02/1898,2,https://en.wikipedia.org//wiki/Frederick_Smithwick
Ainsworth Barr,248,Wales,19/03/1898,4,https://en.wikipedia.org//w/index.php?title=Ainsworth_Barr&action=edit&redlink=1
Thomas Little,249,Wales,19/03/1898,7,https://en.wikipedia.org//w/index.php?title=Thomas_Little_(rugby_union)&action=edit&redlink=1
Ned McCarthy,250,Wales,19/03/1898,1,https://en.wikipedia.org//w/index.php?title=Ned_McCarthy&action=edit&redlink=1
Ian Davidson,251,England,04/02/1899,9,https://en.wikipedia.org//wiki/Ian_Davidson_(rugby_union)
George Harman,252,England,04/02/1899,2,https://en.wikipedia.org//wiki/George_Harman
Barney Allison,253,England,04/02/1899,12,https://en.wikipedia.org//wiki/Barney_Allison
Bill Brown,254,England,04/02/1899,1,https://en.wikipedia.org//wiki/Bill_Brown_(rugby_union)
Tom Ahearne,255,England,04/02/1899,1,https://en.wikipedia.org//wiki/Tom_Ahearne
Tom McGown,256,England,04/02/1899,3,https://en.wikipedia.org//wiki/Tom_McGown
Gerry Doran,257,Scotland,18/02/1899,8,https://en.wikipedia.org//wiki/Gerry_Doran
Carl Reid,258,Scotland,18/02/1899,4,https://en.wikipedia.org//w/index.php?title=Carl_Reid_(rugby_union)&action=edit&redlink=1
Edward Fitzhardinge Campbell,259,Scotland,18/02/1899,4,https://en.wikipedia.org//wiki/Edward_Fitzhardinge_Campbell
Arthur Meares,260,Scotland,18/02/1899,4,https://en.wikipedia.org//wiki/Arthur_Meares
Cecil Moriarty,261,Wales,18/03/1899,3,https://en.wikipedia.org//wiki/Cecil_Moriarty
John Ferris,262,England,03/02/1900,3,https://en.wikipedia.org//w/index.php?title=John_Ferris_(rugby_union)&action=edit&redlink=1
Samuel Irwin,263,England,03/02/1900,9,https://en.wikipedia.org//wiki/Samuel_Irwin
Charles Elliot Allen,264,England,03/02/1900,21,https://en.wikipedia.org//wiki/Charles_Elliot_Allen
Percy Nicholson,265,England,03/02/1900,3,https://en.wikipedia.org//w/index.php?title=Percy_Nicholson&action=edit&redlink=1
John Coffey,266,England,03/02/1900,19,https://en.wikipedia.org//w/index.php?title=John_Coffey_(rugby_union)&action=edit&redlink=1
Fred Gardiner,267,England,03/02/1900,22,https://en.wikipedia.org//wiki/Fred_Gardiner_(rugby_union)
Cecil Boyd,268,Scotland,24/02/1900,3,https://en.wikipedia.org//wiki/Cecil_Boyd
Bertie Doran,269,Scotland,24/02/1900,8,https://en.wikipedia.org//w/index.php?title=Bertie_Doran&action=edit&redlink=1
Thomas Arnold Harvey,270,Wales,17/03/1900,8,https://en.wikipedia.org//wiki/Arnold_Harvey
Arthur Freear,271,England,09/02/1901,3,https://en.wikipedia.org//w/index.php?title=Arthur_Freear&action=edit&redlink=1
Archibald Heron,272,England,09/02/1901,1,https://en.wikipedia.org//w/index.php?title=Archibald_Heron_(rugby_union)&action=edit&redlink=1
Patrick Healey,273,England,09/02/1901,10,https://en.wikipedia.org//w/index.php?title=Patrick_Healey_(rugby_union)&action=edit&redlink=1
Harry Irvine,274,Scotland,23/02/1901,1,https://en.wikipedia.org//w/index.php?title=Harry_Irvine&action=edit&redlink=1
Hugh Ferris,275,Wales,16/03/1901,1,https://en.wikipedia.org//wiki/Hugh_Ferris_(rugby_union)
Charles Fitzgerald,276,England,08/02/1902,3,https://en.wikipedia.org//w/index.php?title=Charles_Fitzgerald_(rugby_union)&action=edit&redlink=1
Harry Corley,277,England,08/02/1902,8,https://en.wikipedia.org//wiki/Harry_Corley
Alfred Tedford,278,England,08/02/1902,23,https://en.wikipedia.org//wiki/Alfred_Tedford
George Hamlet,279,England,08/02/1902,30,https://en.wikipedia.org//wiki/George_Hamlet
John Pringle,280,Scotland,22/02/1902,2,https://en.wikipedia.org//w/index.php?title=John_Pringle_(rugby_union)&action=edit&redlink=1
Henry John Anderson,281,England,14/02/1903,4,https://en.wikipedia.org//w/index.php?title=Henry_John_Anderson&action=edit&redlink=1
David Taylor,282,England,14/02/1903,1,"https://en.wikipedia.org//w/index.php?title=David_Taylor_(rugby_union,_born_1880)&action=edit&redlink=1"
George Harvey,283,England,14/02/1903,5,https://en.wikipedia.org//w/index.php?title=George_Harvey_(rugby_union)&action=edit&redlink=1
Robertson Smyth,284,England,14/02/1903,3,https://en.wikipedia.org//wiki/Robertson_Smyth
Jos Wallace,285,Scotland,28/02/1903,10,https://en.wikipedia.org//w/index.php?title=Jos_Wallace&action=edit&redlink=1
George Bradshaw,286,Wales,14/03/1903,1,https://en.wikipedia.org//w/index.php?title=George_Bradshaw_(rugby_union)&action=edit&redlink=1
James Cecil Parke,287,England,13/02/1904,20,https://en.wikipedia.org//wiki/James_Cecil_Parke
Campbell Robb,288,England,13/02/1904,5,https://en.wikipedia.org//w/index.php?title=Campbell_Robb&action=edit&redlink=1
Thompson Robinson,289,England,13/02/1904,10,https://en.wikipedia.org//w/index.php?title=Thompson_Robinson&action=edit&redlink=1
Fred Kennedy,290,England,13/02/1904,2,https://en.wikipedia.org//w/index.php?title=Fred_Kennedy_(rugby_union)&action=edit&redlink=1
Jas Wallace,291,England,13/02/1904,2,https://en.wikipedia.org//w/index.php?title=Jas_Wallace&action=edit&redlink=1
John Moffatt,292,Scotland,27/02/1904,4,https://en.wikipedia.org//w/index.php?title=John_Moffatt_(rugby_union)&action=edit&redlink=1
Ernest Caddell,293,Scotland,27/02/1904,13,https://en.wikipedia.org//w/index.php?title=Ernest_Caddell&action=edit&redlink=1
Maurice Landers,294,Wales,02/03/1904,5,https://en.wikipedia.org//w/index.php?title=Maurice_Landers&action=edit&redlink=1
Harry Thrift,295,Wales,02/03/1904,18,https://en.wikipedia.org//w/index.php?title=Harry_Thrift&action=edit&redlink=1
Henry Millar,296,Wales,02/03/1904,4,https://en.wikipedia.org//wiki/Henry_Millar
Reg Edwards,297,Wales,02/03/1904,1,https://en.wikipedia.org//w/index.php?title=Reg_Edwards_(rugby_union)&action=edit&redlink=1
Hercules Knox,298,Wales,02/03/1904,10,https://en.wikipedia.org//w/index.php?title=Hercules_Knox&action=edit&redlink=1
Basil Maclear,299,England,11/02/1905,11,https://en.wikipedia.org//wiki/Basil_Maclear
Hugh Wilson,300,England,11/02/1905,18,https://en.wikipedia.org//w/index.php?title=Hugh_Wilson_(rugby_union)&action=edit&redlink=1
Harold Sugars,301,New Zealand,25/11/1905,3,https://en.wikipedia.org//w/index.php?title=Harold_Sugars&action=edit&redlink=1
Geoffrey Henebrey,302,England,10/02/1906,6,https://en.wikipedia.org//w/index.php?title=Geoffrey_Henebrey&action=edit&redlink=1
Francis Casement,303,England,10/02/1906,3,https://en.wikipedia.org//w/index.php?title=Francis_Casement&action=edit&redlink=1
William Purdon,304,England,10/02/1906,3,https://en.wikipedia.org//wiki/William_Purdon
Michael White,305,England,10/02/1906,6,https://en.wikipedia.org//w/index.php?title=Michael_White_(rugby_union)&action=edit&redlink=1
Bertie Gotto,306,South Africa,24/11/1906,1,https://en.wikipedia.org//w/index.php?title=Bertie_Gotto&action=edit&redlink=1
George McIldowie,307,South Africa,24/11/1906,4,https://en.wikipedia.org//w/index.php?title=George_McIldowie&action=edit&redlink=1
Charles Thompson,308,England,09/02/1907,13,"https://en.wikipedia.org//w/index.php?title=Charles_Thompson_(rugby_union,_born_1885)&action=edit&redlink=1"
Thomas Greeves,309,England,09/02/1907,5,https://en.wikipedia.org//w/index.php?title=Thomas_Greeves&action=edit&redlink=1
RE Forbes,310,England,09/02/1907,1,https://en.wikipedia.org//w/index.php?title=RE_Forbes&action=edit&redlink=1
William Coogan,311,England,09/02/1907,2,https://en.wikipedia.org//w/index.php?title=William_Coogan&action=edit&redlink=1
James Sweeney,312,England,09/02/1907,3,https://en.wikipedia.org//w/index.php?title=James_Sweeney_(rugby_union)&action=edit&redlink=1
Billy Hinton,313,Wales,09/03/1907,16,https://en.wikipedia.org//w/index.php?title=Billy_Hinton&action=edit&redlink=1
Frederick Harvey,314,Wales,09/03/1907,2,https://en.wikipedia.org//wiki/Frederick_Maurice_Watson_Harvey
Gerald Beckett,315,England,08/02/1908,3,https://en.wikipedia.org//w/index.php?title=Gerald_Beckett&action=edit&redlink=1
Herbert Aston,316,England,08/02/1908,2,https://en.wikipedia.org//wiki/Herbert_Aston
Frank Smartt,317,England,08/02/1908,3,https://en.wikipedia.org//w/index.php?title=Frank_Smartt&action=edit&redlink=1
Tommy Smyth,318,England,08/02/1908,14,https://en.wikipedia.org//wiki/Tommy_Smyth_(rugby_union)
Bethel Solomons,319,England,08/02/1908,10,https://en.wikipedia.org//wiki/Bethel_Solomons
Thomas Harpur,320,England,08/02/1908,3,https://en.wikipedia.org//w/index.php?title=Thomas_Harpur_(rugby_union)&action=edit&redlink=1
Edward Morphy,321,England,08/02/1908,1,https://en.wikipedia.org//w/index.php?title=Edward_Morphy&action=edit&redlink=1
Charles Adams,322,England,08/02/1908,16,https://en.wikipedia.org//w/index.php?title=Charles_Adams_(rugby_union)&action=edit&redlink=1
Ernest Deane,323,England,13/02/1909,1,https://en.wikipedia.org//wiki/Ernest_Deane
Godfrey Pinion,324,England,13/02/1909,4,https://en.wikipedia.org//w/index.php?title=Godfrey_Pinion&action=edit&redlink=1
Michael Garry,325,England,13/02/1909,7,https://en.wikipedia.org//w/index.php?title=Michael_Garry&action=edit&redlink=1
Oliver Piper,326,England,13/02/1909,8,https://en.wikipedia.org//wiki/Oliver_Piper
Richard Magrath,327,Scotland,27/02/1909,1,https://en.wikipedia.org//w/index.php?title=Richard_Magrath&action=edit&redlink=1
JC Blackham,328,Scotland,27/02/1909,6,https://en.wikipedia.org//w/index.php?title=JC_Blackham&action=edit&redlink=1
Thomas Halpin,329,Scotland,27/02/1909,13,https://en.wikipedia.org//w/index.php?title=Thomas_Halpin_(rugby_union)&action=edit&redlink=1
Frederick McCormac,330,Wales,13/03/1909,3,https://en.wikipedia.org//w/index.php?title=Frederick_McCormac&action=edit&redlink=1
Jack O'Connor,331,France,20/03/1909,1,"https://en.wikipedia.org//w/index.php?title=Jack_O%27Connor_(Ireland_rugby_union,_1909)&action=edit&redlink=1"
Joseph Quinn,332,England,12/10/1910,15,https://en.wikipedia.org//w/index.php?title=Joseph_Quinn_(rugby_union)&action=edit&redlink=1
Alexander Foster,333,England,12/10/1910,17,https://en.wikipedia.org//wiki/Alexander_Foster_(rugby_union)
Alfred Taylor,334,England,12/10/1910,4,https://en.wikipedia.org//w/index.php?title=Alfred_Taylor_(rugby_union)&action=edit&redlink=1
Dickie Lloyd,335,England,12/10/1910,19,https://en.wikipedia.org//wiki/Dickie_Lloyd
Harry Read,336,England,12/10/1910,13,https://en.wikipedia.org//wiki/Harry_Read_(sportsman)
William Riordan,337,England,12/10/1910,1,https://en.wikipedia.org//w/index.php?title=William_Riordan_(rugby_union)&action=edit&redlink=1
Herbert Moore,338,Scotland,26/02/1910,8,https://en.wikipedia.org//w/index.php?title=Herbert_Moore_(rugby_union)&action=edit&redlink=1
Cyril O'Callaghan,339,Wales,12/03/1910,7,https://en.wikipedia.org//w/index.php?title=Cyril_O%27Callaghan&action=edit&redlink=1
Robert Lyle,340,Wales,12/03/1910,2,https://en.wikipedia.org//w/index.php?title=Robert_Lyle_(rugby_union)&action=edit&redlink=1
Arthur McClinton,341,Wales,12/03/1910,2,https://en.wikipedia.org//wiki/Arthur_McClinton
William Smyth,342,Wales,12/03/1910,3,https://en.wikipedia.org//w/index.php?title=William_Smyth_(rugby_union)&action=edit&redlink=1
Charles MacIvor,343,France,28/03/1910,7,https://en.wikipedia.org//wiki/Charles_MacIvor
William Beatty,344,France,28/03/1910,3,https://en.wikipedia.org//w/index.php?title=William_Beatty_(rugby_union)&action=edit&redlink=1
William Tyrrell,345,France,28/03/1910,9,https://en.wikipedia.org//wiki/William_Tyrrell_(RAF_officer)
Alexander Jackson,346,England,11/02/1911,10,https://en.wikipedia.org//w/index.php?title=Alexander_Jackson_(rugby_union)&action=edit&redlink=1
Samuel Campbell,347,England,11/02/1911,12,https://en.wikipedia.org//w/index.php?title=Samuel_Campbell_(rugby_union)&action=edit&redlink=1
Patrick Smyth,348,England,11/02/1911,3,https://en.wikipedia.org//w/index.php?title=Patrick_Smyth_(rugby_union)&action=edit&redlink=1
Michael Heffernan,349,England,11/02/1911,4,https://en.wikipedia.org//w/index.php?title=Michael_Heffernan_(rugby_union)&action=edit&redlink=1
Richard Graham,350,France,01/01/1912,1,"https://en.wikipedia.org//w/index.php?title=Richard_Graham_(rugby_union,_born_1889)&action=edit&redlink=1"
Robert Hemphill,351,France,01/01/1912,4,https://en.wikipedia.org//w/index.php?title=Robert_Hemphill_(rugby_union)&action=edit&redlink=1
George McConnell,352,France,01/01/1912,4,https://en.wikipedia.org//w/index.php?title=George_McConnell_(rugby_union)&action=edit&redlink=1
William Edwards,353,France,01/01/1912,2,"https://en.wikipedia.org//w/index.php?title=William_Edwards_(rugby_union,_born_1887)&action=edit&redlink=1"
D'Arcy Patterson,354,France,01/01/1912,8,https://en.wikipedia.org//w/index.php?title=D%27Arcy_Patterson&action=edit&redlink=1
Myles Abraham,355,England,10/02/1912,5,https://en.wikipedia.org//w/index.php?title=Myles_Abraham&action=edit&redlink=1
George Killeen,356,England,10/02/1912,10,https://en.wikipedia.org//w/index.php?title=George_Killeen&action=edit&redlink=1
Robin Wright,357,Scotland,24/02/1912,1,https://en.wikipedia.org//wiki/Robin_Wright_(rugby_union)
G. S. Brown,358,Scotland,24/02/1912,3,https://en.wikipedia.org//wiki/G._S._Brown
Charles Stuart,359,South Africa,30/11/1912,1,"https://en.wikipedia.org//w/index.php?title=Charles_Stuart_(rugby_union,_born_1886)&action=edit&redlink=1"
Richard Watson,360,South Africa,30/11/1912,1,https://en.wikipedia.org//w/index.php?title=Richard_Watson_(rugby_union)&action=edit&redlink=1
George Holmes,361,South Africa,30/11/1912,3,https://en.wikipedia.org//w/index.php?title=George_Holmes_rugby_player)&action=edit&redlink=1
John Minch,362,South Africa,30/11/1912,5,https://en.wikipedia.org//w/index.php?title=John_Minch&action=edit&redlink=1
Robert Burgess,363,South Africa,30/11/1912,1,https://en.wikipedia.org//wiki/Robert_Burgess_(rugby_union)
Geoffrey Schute,364,South Africa,30/11/1912,3,https://en.wikipedia.org//w/index.php?title=Geoffrey_Schute&action=edit&redlink=1
John Clune,365,South Africa,30/11/1912,6,https://en.wikipedia.org//w/index.php?title=John_Clune_(rugby_union)&action=edit&redlink=1
Gordon Young,366,England,08/02/1913,1,https://en.wikipedia.org//w/index.php?title=Gordon_Young_(rugby_union)&action=edit&redlink=1
James Finlay,367,England,08/02/1913,6,https://en.wikipedia.org//w/index.php?title=James_Finlay_(rugby_union)&action=edit&redlink=1
Ernest Jeffares,368,England,08/02/1913,2,https://en.wikipedia.org//w/index.php?title=Ernest_Jeffares&action=edit&redlink=1
Patrick Stokes,369,England,08/02/1913,12,https://en.wikipedia.org//w/index.php?title=Patrick_Stokes_(rugby_union)&action=edit&redlink=1
JW McConnell,370,Scotland,22/02/1913,1,https://en.wikipedia.org//w/index.php?title=JW_McConnell&action=edit&redlink=1
Frank Bennett,371,Scotland,22/02/1913,1,https://en.wikipedia.org//w/index.php?title=Frank_Bennett_(rugby_union)&action=edit&redlink=1
Andrew Todd,372,Wales,08/03/1913,3,https://en.wikipedia.org//w/index.php?title=Andrew_Todd_(rugby_union)&action=edit&redlink=1
George Harold Wood,373,Wales,08/03/1913,2,https://en.wikipedia.org//w/index.php?title=George_Harold_Wood&action=edit&redlink=1
Albert Stewart,374,Wales,08/03/1913,3,https://en.wikipedia.org//wiki/Albert_Stewart_(rugby_union)
Stanhope Polden,375,Wales,08/03/1913,4,https://en.wikipedia.org//w/index.php?title=Stanhope_Polden&action=edit&redlink=1
Patrick O'Connell,376,Wales,08/03/1913,6,https://en.wikipedia.org//w/index.php?title=Patrick_O%27Connell_(rugby_union)&action=edit&redlink=1
John Dowse,377,France,01/01/1914,3,https://en.wikipedia.org//wiki/John_Dowse_(British_Army_officer)
Jack Parr,378,France,01/01/1914,4,https://en.wikipedia.org//w/index.php?title=Jack_Parr_(rugby_union)&action=edit&redlink=1
William Patrick Collopy,379,France,01/01/1914,19,https://en.wikipedia.org//w/index.php?title=William_Patrick_Collopy&action=edit&redlink=1
Frank Percival Montgomery,380,England,14/02/1914,3,https://en.wikipedia.org//w/index.php?title=Frank_Percival_Montgomery&action=edit&redlink=1
Vincent McNamara,381,England,14/02/1914,3,https://en.wikipedia.org//wiki/Vincent_McNamara
James Taylor,382,England,14/02/1914,3,https://en.wikipedia.org//w/index.php?title=James_Taylor_(rugby_union)&action=edit&redlink=1
Henry Jack,383,Scotland,28/02/1914,3,https://en.wikipedia.org//w/index.php?title=Henry_Jack_(rugby_union)&action=edit&redlink=1
Jasper Brett,384,Wales,14/03/1914,1,https://en.wikipedia.org//wiki/Jasper_Brett
Ernie Crawford,385,England,14/02/1920,30,https://en.wikipedia.org//wiki/Ernie_Crawford
James Dickson,386,England,14/02/1920,3,https://en.wikipedia.org//w/index.php?title=James_Dickson_(rugby_union)&action=edit&redlink=1
Thomas Wallace,387,England,14/02/1920,3,https://en.wikipedia.org//w/index.php?title=Thomas_Wallace_(rugby_union)&action=edit&redlink=1
William John Cullen,388,England,14/02/1920,1,https://en.wikipedia.org//wiki/William_John_Cullen
Arthur Horan,389,Wales,13/03/1920,2,https://en.wikipedia.org//wiki/Arthur_Horan
Charles Bryant,390,England,14/02/1920,2,https://en.wikipedia.org//w/index.php?title=Charles_Bryant_(rugby_union)&action=edit&redlink=1
Noel Butler,391,England,14/02/1920,1,https://en.wikipedia.org//w/index.php?title=Noel_Butler&action=edit&redlink=1
Henry Coulter,392,England,14/02/1920,3,https://en.wikipedia.org//w/index.php?title=Henry_Coulter&action=edit&redlink=1
Robert Crichton,393,England,14/02/1920,15,https://en.wikipedia.org//w/index.php?title=Robert_Crichton_(rugby_union)&action=edit&redlink=1
William David Doherty,394,England,14/02/1920,7,https://en.wikipedia.org//wiki/William_David_Doherty
William Roche,395,England,14/02/1920,3,https://en.wikipedia.org//wiki/William_Roche_(rugby_union)
Patrick Roddy,396,Scotland,28/02/1920,2,https://en.wikipedia.org//w/index.php?title=Patrick_Roddy_(rugby_union)&action=edit&redlink=1
Basil McFarland,397,Scotland,28/02/1920,4,https://en.wikipedia.org//wiki/Basil_McFarland
William Duggan,398,Scotland,28/02/1920,2,https://en.wikipedia.org//w/index.php?title=William_Duggan_(rugby_union)&action=edit&redlink=1
James Bowman O'Neill,399,Scotland,28/02/1920,1,https://en.wikipedia.org//w/index.php?title=James_Bowman_O%27Neill&action=edit&redlink=1
Alfred Price,400,Scotland,28/02/1920,2,https://en.wikipedia.org//w/index.php?title=Alfred_Price_(rugby_union)&action=edit&redlink=1
Anthony Courtney,401,Scotland,28/02/1920,7,https://en.wikipedia.org//w/index.php?title=Anthony_Courtney_(rugby_union)&action=edit&redlink=1
Bill Cunningham,402,Wales,13/03/1920,8,"https://en.wikipedia.org//w/index.php?title=Bill_Cunningham_(rugby_union,_born_1900)&action=edit&redlink=1"
Michael Bradley,403,Wales,13/03/1920,19,"https://en.wikipedia.org//wiki/Michael_Bradley_(rugby_union,_born_1897)"
Norman Potterton,404,Wales,13/03/1920,1,https://en.wikipedia.org//w/index.php?title=Norman_Potterton&action=edit&redlink=1
George Stephenson,405,France,03/04/1920,42,https://en.wikipedia.org//wiki/George_Stephenson_(rugby_union)
John Trevor Smyth,406,France,03/04/1920,1,https://en.wikipedia.org//w/index.php?title=John_Trevor_Smyth&action=edit&redlink=1
Daniel Browne,407,France,03/04/1920,1,https://en.wikipedia.org//w/index.php?title=Daniel_Browne_(rugby_union)&action=edit&redlink=1
Denis Cussen,408,England,12/02/1921,15,https://en.wikipedia.org//wiki/Denis_Cussen
Henry Cormac,409,England,12/02/1921,3,https://en.wikipedia.org//w/index.php?title=Henry_Cormac&action=edit&redlink=1
Thomas Mayne,410,England,12/02/1921,3,https://en.wikipedia.org//w/index.php?title=Thomas_Mayne_(rugby_union)&action=edit&redlink=1
Thomas McClelland,411,England,12/02/1921,16,https://en.wikipedia.org//w/index.php?title=Thomas_McClelland_(rugby_union)&action=edit&redlink=1
John Bermingham,412,England,12/02/1921,4,https://en.wikipedia.org//w/index.php?title=John_Bermingham_(rugby_union)&action=edit&redlink=1
Charles Hallaran,413,England,12/02/1921,15,https://en.wikipedia.org//w/index.php?title=Charles_Hallaran&action=edit&redlink=1
Noel Purcell,414,England,12/02/1921,4,https://en.wikipedia.org//wiki/Noel_Purcell_(sportsman)
John Thompson,415,Wales,12/03/1921,8,"https://en.wikipedia.org//wiki/John_Thompson_(rugby_union,_born_1898)"
Thomas Wallis,416,France,09/04/1921,5,https://en.wikipedia.org//w/index.php?title=Thomas_Wallis_(rugby_union)&action=edit&redlink=1
Cecil Davidson,417,France,09/04/1921,1,https://en.wikipedia.org//w/index.php?title=Cecil_Davidson&action=edit&redlink=1
Donal Sullivan,418,England,11/02/1922,4,https://en.wikipedia.org//w/index.php?title=Donal_Sullivan_(rugby_union)&action=edit&redlink=1
Jim Wheeler,419,England,11/02/1922,5,https://en.wikipedia.org//w/index.php?title=Jim_Wheeler_(rugby_union)&action=edit&redlink=1
Samuel McVicker,420,England,11/02/1922,4,https://en.wikipedia.org//w/index.php?title=Samuel_McVicker&action=edit&redlink=1
Reuben Owens,421,England,11/02/1922,2,https://en.wikipedia.org//w/index.php?title=Reuben_Owens&action=edit&redlink=1
Henry Stephenson,422,Scotland,25/02/1922,14,https://en.wikipedia.org//w/index.php?title=Henry_Stephenson_(rugby_union)&action=edit&redlink=1
Joseph Clarke,423,Scotland,25/02/1922,7,https://en.wikipedia.org//w/index.php?title=Joseph_Clarke_(rugby_union)&action=edit&redlink=1
John Egan,424,Scotland,25/02/1922,1,https://en.wikipedia.org//w/index.php?title=John_Egan_(rugby_union)&action=edit&redlink=1
Ivan Popham,425,Scotland,25/02/1922,4,https://en.wikipedia.org//w/index.php?title=Ivan_Popham&action=edit&redlink=1
Joseph Gillespie,426,Wales,11/03/1922,2,https://en.wikipedia.org//w/index.php?title=Joseph_Gillespie_(rugby_union)&action=edit&redlink=1
William Joseph Stewart,427,France,08/04/1922,10,https://en.wikipedia.org//w/index.php?title=William_Joseph_Stewart_(rugby_union)&action=edit&redlink=1
Robert McClenahan,428,England,10/02/1923,3,https://en.wikipedia.org//w/index.php?title=Robert_McClenahan&action=edit&redlink=1
Finlay Jackson,429,England,10/02/1923,1,https://en.wikipedia.org//wiki/Finlay_Jackson
