name,number,opponent,date_of_debut,caps,url
James Ireland,23,England,13/12/1875,2,https://en.wikipedia.org//w/index.php?title=James_Ireland_(rugby_union)&action=edit&redlink=1
William Andrew Cuscaden,24,England,13/12/1875,1,https://en.wikipedia.org//wiki/William_Andrew_Cuscaden
R. Greer,25,England,13/12/1875,1,https://en.wikipedia.org//w/index.php?title=R._Greer_(rugby_union)&action=edit&redlink=1
Ashley John Westby,26,England,13/12/1875,1,https://en.wikipedia.org//w/index.php?title=Ashley_John_Westby&action=edit&redlink=1
William Finlay,27,England,13/12/1875,2,https://en.wikipedia.org//w/index.php?title=William_Finlay_(rugby_union)&action=edit&redlink=1
David Taylor Arnott,28,England,13/12/1875,1,https://en.wikipedia.org//w/index.php?title=David_Taylor_Arnott&action=edit&redlink=1
H. Brown,29,England,05/02/1877,2,https://en.wikipedia.org//w/index.php?title=H._Brown_(rugby_union)&action=edit&redlink=1
Frederick William Kidd,30,England,05/02/1877,3,https://en.wikipedia.org//w/index.php?title=Frederick_William_Kidd&action=edit&redlink=1
Augustus Mayberry Whitestone,31,England,05/02/1877,5,https://en.wikipedia.org//w/index.php?title=Augustus_Mayberry_Whitestone&action=edit&redlink=1
Thomas Gisborne Gordon,32,England,05/02/1877,3,https://en.wikipedia.org//wiki/Thomas_Gisborne_Gordon
Henry William Jackson,33,England,05/02/1877,1,https://en.wikipedia.org//w/index.php?title=Henry_William_Jackson&action=edit&redlink=1
William Henry Wilson,34,England,05/02/1877,2,https://en.wikipedia.org//w/index.php?title=William_Henry_Wilson_(rugby_union)&action=edit&redlink=1
Henry Gray Edwards,35,England,05/02/1877,2,https://en.wikipedia.org//w/index.php?title=Henry_Gray_Edwards&action=edit&redlink=1
Hugh Cunningham Kelly,36,England,05/02/1877,6,https://en.wikipedia.org//w/index.php?title=Hugh_Cunningham_Kelly&action=edit&redlink=1
Thomas Brown,37,England,05/02/1877,2,https://en.wikipedia.org//w/index.php?title=Thomas_Brown_(rugby_union)&action=edit&redlink=1
William Joseph Hamilton,38,England,05/02/1877,1,https://en.wikipedia.org//w/index.php?title=William_Joseph_Hamilton&action=edit&redlink=1
George Melville Shaw,39,Scotland,19/02/1877,1,https://en.wikipedia.org//w/index.php?title=George_Melville_Shaw&action=edit&redlink=1
James Heron,40,Scotland,19/02/1877,2,https://en.wikipedia.org//w/index.php?title=James_Heron&action=edit&redlink=1
J. Currell,41,Scotland,19/02/1877,1,https://en.wikipedia.org//w/index.php?title=J._Currell_(rugby_union)&action=edit&redlink=1
