name,dob,pob,career_stage,years,teams,apps,points
Donnacha Ryan,1983-12-11,"nenagh,county tipperary,ireland",amateur,2000-2017,shannon,0,0
Donnacha Ryan,1983-12-11,"nenagh,county tipperary,ireland",senior_club,2004-2017,munster,167,35
Donnacha Ryan,1983-12-11,"nenagh,county tipperary,ireland",senior_club,2017-2021,racing 92,84,15
Donnacha Ryan,1983-12-11,"nenagh,county tipperary,ireland",international,2008-2011,ireland wolfhounds,12,0
Donnacha Ryan,1983-12-11,"nenagh,county tipperary,ireland",international,2008-2017,ireland,47,0
Tom Court,1980-11-06,"brisbane, australia",amateur,2004,manawatu,0,0
Tom Court,1980-11-06,"brisbane, australia",amateur,2004,queensland a,0,0
Tom Court,1980-11-06,"brisbane, australia",amateur,2004,university of queensland,0,0
Tom Court,1980-11-06,"brisbane, australia",senior_club,2018–2019,independiente rc,12,5
Tom Court,1980-11-06,"brisbane, australia",senior_club,2014–2017,london irish,74,10
Tom Court,1980-11-06,"brisbane, australia",senior_club,2006–2014,ulster,154,55
Tom Court,1980-11-06,"brisbane, australia",senior_club,2006,pertemps bees,9,0
Tom Court,1980-11-06,"brisbane, australia",senior_club,2004–2006,queensland reds,3,0
Tom Court,1980-11-06,"brisbane, australia",international,2013,british & irish lions,0,0
Tom Court,1980-11-06,"brisbane, australia",international,2009–2013,ireland,32,5
Tom Court,1980-11-06,"brisbane, australia",international,2006–08,ireland wolfhounds,7,0
Ian Dowling,,,amateur,-,shannon,0,0
Ian Dowling,,,senior_club,2005-2011,munster,98,75
Ian Dowling,,,international,2009,ireland,2,0
Ian Dowling,,,international,2006-2010,ireland wolfhounds,5,15
Ian Keatley,1987-04-01,"dublin,ireland",amateur,2008-2011,corinthians,0,0
Ian Keatley,1987-04-01,"dublin,ireland",amateur,2011-2019,young munster,0,0
Ian Keatley,1987-04-01,"dublin,ireland",senior_club,2007-2008,leinster,0,0
Ian Keatley,1987-04-01,"dublin,ireland",senior_club,2008-2011,connacht,77,688
Ian Keatley,1987-04-01,"dublin,ireland",senior_club,2011-2019,munster,180,1247
Ian Keatley,1987-04-01,"dublin,ireland",senior_club,2019,london irish,7,67
Ian Keatley,1987-04-01,"dublin,ireland",senior_club,2019-2021,benetton,20,110
Ian Keatley,1987-04-01,"dublin,ireland",senior_club,2021,glasgow warriors,4,17
Ian Keatley,1987-04-01,"dublin,ireland",international,2007,ireland u20,5,54
Ian Keatley,1987-04-01,"dublin,ireland",international,2007-2014,ireland wolfhounds,10,20
Ian Keatley,1987-04-01,"dublin,ireland",international,2009-2017,ireland,7,37
Ian Keatley,1987-04-01,"dublin,ireland",international,2013-2014,emerging ireland,6,67
Ian Keatley,1987-04-01,"dublin,ireland",international,2008,ireland sevens,0,0
John Muldoon,1982-11-30,"portumna,county galway,ireland",amateur,2000–2018,galwegians,0,0
John Muldoon,1982-11-30,"portumna,county galway,ireland",amateur,1997–2000,nenagh ormond,0,0
John Muldoon,1982-11-30,"portumna,county galway,ireland",senior_club,2003-2018,connacht,327,117
John Muldoon,1982-11-30,"portumna,county galway,ireland",international,2017,barbarians,1,0
John Muldoon,1982-11-30,"portumna,county galway,ireland",international,2009–2010,ireland,3,0
John Muldoon,1982-11-30,"portumna,county galway,ireland",international,2006–2012,ireland wolfhounds,11,10
