"fullName","rugbyscopeId"
"Boston RFC","993"
"Urayasu D-Rocks","3073"
"Newbridge RFC","829"
"Eastern Suburbs RUFC","494"
"Brothers Rugby Club","442"
"Stade français","252"
"Andalucía Bulls Marbella RC","7153"
"Anglet Olympique Rugby","2476"
"Armia Tbilisi","2309"
"AS Maçon Rugby","412"
"¿?",NA
"Atlantic Pumas","233"
"Aubenas","620"
"Auckland RU","928"
"Auckland Rugby Union","928"
"Aviator de Kiev","1699"
"Bedwas","139"
"Belleville RC","4587"
"Birmingham Moseley Rugby","26"
"Blackheath Rugby","365"
"BO Pays Basque","152"
"Bobigni 93","106"
"Bolonia","610"
"Zingarei-Richmond","5947"
"Waikato Mooloos","2915"
"Wairarabaa Bush Rugby","1946"
"Waitemata RFSU","1947"
"Waitemata Rugby",NA
"Wanganui RFU","730"
"West Hartlepool Rugby","738"
"US Salles(juvenil)","2943"
"University of Canberra Vikings","42"
"Tarbes Rugby","89"
"Tasman Rugby Union","2905"
"Tauranga Sports Club(junior)","5742"
"Thames Valley RFU","1880"
"Tokyo Shokki Shuttles","1891"
"UNC Rugby","3335"
"Universidad de Cambridge","454"
"Universidad de Natal","6658"
"Universidad de Sídney","690"
"Sociedad Sportiva de Bahía Blanca","3555"
"Società Sportiva Lazio","205"
"Stade Aurillac","125"
"Stade Rouen","678"
"Stirling University RFC(junior)","3001"
"Sudáfrica (sub-18)","2403"
"Sydney Uni FC","690"
"Servette Rugby","2851"
"SITAS Sociedad Italiana de Tiro al Blanco","1382"
"S. Sungoliath","685"
"Saint-Claude Rugby","511"
"Saint-Médard","642"
"Saint Germain","2889"
"Saracens(cedido)",NA
"Selección de rugby sub-18 de Inglaterra","1217"
"Rotherham Rugby","114"
"Royal Air Force","2918"
"Rugby Club San Marcos","3367"
"Rugby Kaneka Chemicals","6898"
"Rugby Southland","2912"
"RC Seyssens","4606"
"RCT Toulon","315"
"Rhône","2188"
"Pumas M18","6987"
"RC du Canton de Montrevel-en-Bresse","4647"
"NTT Com Shining Arcs","1385"
"NTT Communications Shining Arcs","1385"
"NWS Country Eagles","2210"
"Old Mission Beach","572"
"Olimpia XV","2825"
"Otago Rugby FU","2911"
"Panasonic Sanyo Wildknights","579"
"Paris Université","580"
"North Harbour RFU","2904"
"North Harbour Rugby","2904"
"North Shore","1583"
"Northland Rugby","2910"
"New South Wales RU","61"
"Newcastle Falcons(cedido)","160"
"NikoNikoDo Kumamoto","6940"
"Monaco Rugby Sevens",NA
"Nadroga RU","4446"
"Manawatu Rugby Union","2909"
"Marist Brothers","1494"
"Marist Saint Patricks","7155"
"Masterton","6060"
"Meraloma","2310"
"Lince R. C.","3228"
"Louvie-Juzon","7147"
"Maison-Laffitte Saint-Germain Poissy Rugby","2889"
"Lelo","2345"
"Leopardos","308"
"Lautoka Rugby","4444"
"La Salle Rugby Club","2264"
"King Country Rugby","541"
"Kelston Boys' High School",NA
"Khvamli Rugby","3197"
"Hawke's Bay Rugby","2908"
"Isetan","6849"
"Isle Jourdain","719"
"Hawick RFU","165"
"Gales sub-18","1949"
"Gales sub-20","1950"
"Grande Milano Rugby","843"
"Freyberg RC","2963"
"Firwood Waterloo","733"
"Estados Unidos (sub-23)","2919"
"Estados Unidos (sub-17)",NA
"Escocia sub-21","2509"
"Escocia A","1786"
"Eastern Suburbs Rugby","494"
"East Coast RFU","1200"
"East Coast Rugby Union","1200"
"Club Curupayti de Hurlingham","1154"
"Club Los Espinillos Rugby - Hockey","3581"
"Club Náutico Necochea","3418"
"Cluj","1041"
"Counties Manukau RFU","2907"
"Counties Manukau RU","2907"
"CSA Steaua Bucarest","343"
"Domond","668"
"Domont","668"
"Durham University Rugby","2702"
"Buenos Aires Cricket & RC","1025"
"CA Bordeaux Bègles(juvenil)","196"
"Caledonians RFC","1047"
"Camarthen Quins","200"
"Canterbury RU","2903"
"Canterbury Rugby Union","2903"
"Capitolina Rugby","49"
"Boulogne-Billancourt Rugby","4562"
"București","2388"
