"url","location"
"/wiki/Ca%C3%B1ada_Seca","Cañada Seca"
"/wiki/Kawakawa","Kawakawa"
"/wiki/Lapaha","Lapaha"
"/wiki/San_Andr%C3%A9s_(Buenos_Aires)","San Andrés; Buenos Aires"
