"name","tier","division","nation","wikidataId","homonyms"
"Bath Rugby",1,"Premiership Rugby","England","Q810786",""
"Bristol Bears",1,"Premiership Rugby","England","Q917973",""
"Exeter Chiefs",1,"Premiership Rugby","England","Q675305",""
"Gloucester Rugby",1,"Premiership Rugby","England","Q745758",""
"Harlequin FC",1,"Premiership Rugby","England","Q1149835",""
"Leicester Tigers",1,"Premiership Rugby","England","Q1071691",""
"London Irish",1,"Premiership Rugby","England","Q1193020",""
"London Welsh RFC",1,"Premiership Rugby","England","Q1048688",""
"Newcastle Falcons",1,"Premiership Rugby","England","Q910657",""
"Northampton Saints",1,"Premiership Rugby","England","Q1201283",""
"Sale Sharks",1,"Premiership Rugby","England","Q928517","Q131663675"
"Saracens FC",1,"Premiership Rugby","England","Q9641",""
"Wasps RFC",1,"Premiership Rugby","England","Q1150127","Q7972726; Q7972728"
"Worcester Warriors",1,"Premiership Rugby","England","Q2094512",""
"Ampthill RUFC",2,"RFU Championship","England","Q4748551",""
"Bedford Blues",2,"RFU Championship","England","Q639082",""
"Caldy RFC",2,"RFU Championship","England","Q5019181",""
"Cambridge RUFC",2,"RFU Championship","England","Q5025504",""
"Chinnor RFC",2,"RFU Championship","England","Q5101194",""
"Cornish Pirates",2,"RFU Championship","England","Q1134198",""
"Coventry RFC",2,"RFU Championship","England","Q1138074",""
"Doncaster Knights",2,"RFU Championship","England","Q3036238",""
"Ealing Trailfinders Rugby Club",2,"RFU Championship","England","Q5325488",""
"Hartpury University RFC",2,"RFU Championship","England","Q16842085",""
"London Scottish FC",2,"RFU Championship","England","Q657211",""
"Nottingham RFC",2,"RFU Championship","England","Q165586",""
"Birmingham Moseley Rugby",3,"National League 1","England","Q289030",""
"Bishop's Stortford RFC",3,"National League 1","England","Q4917442",""
"Blackheath FC",3,"National League 1","England","Q2481690",""
"Darlington Mowden Park RFC",3,"National League 1","England","Q5223990",""
"Dings Crusaders RFC",3,"National League 1","England","Q5278270",""
"Esher RFC",3,"National League 1","England","Q5397827",""
"Leicester Lions RFC",3,"National League 1","England","Q6519198",""
"Plymouth Albion RFC",3,"National League 1","England","Q3392807",""
"Rams RFC",3,"National League 1","England","Q7305944",""
"Richmond FC",3,"National League 1","England","Q3431476",""
"Rosslyn Park FC",3,"National League 1","England","Q3442851",""
"Rotherham Titans",3,"National League 1","England","Q686057",""
"Sale FC Rugby Club",3,"National League 1","England","Q16932957",""
"Sedgley Park RUFC",3,"National League 1","England","Q7445255",""
"Barnes RFC",4,"National League 2 East","England","Q4861546",""
"Bury St Edmunds RUFC",4,"National League 2 East","England","Q16849635",""
"Canterbury RFC",4,"National League 2 East","England","Q5033683","Q104855938"
"Colchester RFC",4,"National League 2 East","England","Q27963258",""
"Dorking RFC",4,"National League 2 East","England","Q18125541",""
"Guernsey RFC",4,"National League 2 East","England","Q5614908",""
"Havant RFC",4,"National League 2 East","England","Q5683135",""
"Henley Hawks",4,"National League 2 East","England","Q5714642",""
"Old Albanian RFC",4,"National League 2 East","England","Q7083374",""
"Oxford Harlequins RFC",4,"National League 2 East","England","Q7115345",""
"Sevenoaks RFC",4,"National League 2 East","England","Q65045344",""
"Tonbridge Juddians RFC",4,"National League 2 East","England","Q7820769",""
"Westcombe Park RFC",4,"National League 2 East","England","Q7987290",""
"Worthing RFC",4,"National League 2 East","England","Q8037228",""
"Billingham RUFC",4,"National League 2 North","England","Q4911926",""
"Chester RUFC",4,"National League 2 North","England","Q5093693",""
"Fylde RFC",4,"National League 2 North","England","Q5511219",""
"Harrogate RUFC",4,"National League 2 North","England","Q5666423",""
"Hull Ionians",4,"National League 2 North","England","Q5935936",""
"Hull RUFC",4,"National League 2 North","England","Q16994425",""
"Leeds Tykes",4,"National League 2 North","England","Q1360196",""
"Lymm RFC",4,"National League 2 North","England","Q6708205",""
"Otley RUFC",4,"National League 2 North","England","Q953823",""
"Preston Grasshoppers RFC",4,"National League 2 North","England","Q7241893",""
"Sheffield RUFC",4,"National League 2 North","England","Q7492734",""
"Sheffield Tigers RUFC",4,"National League 2 North","England","Q7492761",""
"Tynedale RFC",4,"National League 2 North","England","Q7860518",""
"Wharfedale RUFC",4,"National League 2 North","England","Q7990676",""
"Bournville RFC",4,"National League 2 West","England","Q4950323",""
"Camborne RFC",4,"National League 2 West","England","Q5025224",""
"Cinderford RFC",4,"National League 2 West","England","Q16958426",""
"Clifton Rugby",4,"National League 2 West","England","Q5133308",""
"Devonport Services RFC",4,"National League 2 West","England","Q16973676",""
"Exeter University RFC",4,"National League 2 West","England","Q5420146",""
"Hinckley RFC",4,"National League 2 West","England","Q5765771",""
"Hornets RFC",4,"National League 2 West","England","Q18126112",""
"Loughborough Students RUFC",4,"National League 2 West","England","Q6686175",""
"Luctonians",4,"National League 2 West","England","Q11986910",""
"Macclesfield RUFC",4,"National League 2 West","England","Q6722935",""
"Old Redcliffians",4,"National League 2 West","England","Q7084827",""
"Redruth RFC",4,"National League 2 West","England","Q7306238",""
"Taunton RFC",4,"National League 2 West","England","Q7688802",""
"Banbury RUFC",5,"Regional 1 Midlands","England","Q124448748",""
"Bridgnorth RFC",5,"Regional 1 Midlands","England","Q27958072",""
"Broadstreet RFC",5,"Regional 1 Midlands","England","Q4972313",""
"Bromsgrove RFC",5,"Regional 1 Midlands","England","Q4973768",""
"Burton RFC",5,"Regional 1 Midlands","England","Q5000901",""
"Derby RFC",5,"Regional 1 Midlands","England","Q5261499",""
"Dudley Kingswinford RFC",5,"Regional 1 Midlands","England","Q5311896",""
"Kenilworth RFC",5,"Regional 1 Midlands","England","Q6389298",""
"Old Halesonians RFC",5,"Regional 1 Midlands","England","Q17017658",""
"Stafford RFC",5,"Regional 1 Midlands","England","",""
"Stockwood Park RFC",5,"Regional 1 Midlands","England","",""
"Stoke-on-Trent RUFC",5,"Regional 1 Midlands","England","Q65048052",""
"Stourbridge RFC",5,"Regional 1 Midlands","England","Q7620586",""
"Syston RFC",5,"Regional 1 Midlands","England","Q7663902",""
