"Country","GoverningBody"
"Guadeloupe","Guadeloupe Rugby Committee"
"Guam","Guam Rugby Football Union"
"Guatemala","Guatemala Rugby Union"
"Guyana","Guyana Rugby Football Union"
"Honduras","Honduras Rugby Union Federation"
"Hong Kong","Hong Kong Rugby Union"
"Hungary","Hungarian Rugby Union"
"Iceland","Iceland Rugby"
"India","Indian Rugby Football Union"
"Indonesia","Persatuan Rugby Union Indonesia"
"Iran","Iran Rugby Federation"
"Ireland","Irish Rugby Football Union"
"Israel","Rugby Israel"
"Italy","Italian Rugby Federation"
"Ivory Coast","Ivorian Rugby Federation"
"Jamaica","Jamaica Rugby Football Union"
"Japan","Japan Rugby Football Union"
"Jersey","Jersey Rugby Association"
"Jordan","Jordan Rugby"
"Kazakhstan","Kazakhstan Rugby Federation"
"Kenya","Kenya Rugby Football Union"
"Kosovo","Kosovo Rugby Federation"
"Kuwait","Kuwait Rugby Football Union"
"Kyrgyzstan","Kyrgyzstan Federation of Rugby"
"Laos","Lao Rugby Federation"
"Latvia","Latvian Rugby Federation"
"Lebanon","Lebanese Rugby Union Federation"
"Libya","Libyan Rugby Federation"
"Lithuania","Lithuanian Rugby Federation"
"Luxembourg","Luxembourg Rugby Federation"
"Macau","Macau Rugby Union"
"Madagascar","Madagascan Rugby Federation"
"Malawi","Malawi Rugby Union Federation"
"Malaysia","Malaysian Rugby Union"
"Mali","Mali Rugby Federation"
"Malta","Malta Rugby Football Union"
"Martinique","Martinique Rugby Committee"
"Mauritania","Mauritanian Rugby Federation"
"Mauritius","Mauritius Rugby Union"
"Mayotte","Mayotte Rugby Committee"
"Mexico","Mexican Rugby Federation"
"Moldova","Moldovan Rugby Federation"
"Monaco","Monegasque Rugby Federation"
"Mongolia","Mongolian Rugby Football Union"
"Montenegro","Montenegrin Rugby Union"
"Morocco","Royal Moroccan Rugby Federation"
"Myanmar","Myanmar Rugby Union"
"Namibia","Namibia Rugby Union"
"Nauru","Nauru Rugby Union"
"Nepal","Nepal Rugby Association"
"Netherlands","Dutch Rugby Union"
"New Caledonia","New Caledonia Rugby Union"
"New Zealand","New Zealand Rugby"
"Niger","Nigerien Rugby Federation"
"Nigeria","Nigeria Rugby Football Federation"
"Niue","Niue Rugby Union"
"Norway","Norwegian Rugby Union"
"Oman","Oman Rugby"
"Pakistan","Pakistan Rugby Union"
"Panama","Panama Rugby Union Federation"
"Papua New Guinea","Papua New Guinea Rugby Football Union"
"Paraguay","Paraguayan Rugby Union"
"Peru","Peruvian Rugby Federation"
"Philippines","Philippine Rugby Football Union"
"Poland","Polish Rugby Union"
"Portugal","Portuguese Rugby Federation"
"Qatar","Qatar Rugby Federation"
"Republic of the Congo","Congo Rugby"
"Réunion","Réunion Rugby Committee"
"Romania","Romanian Rugby Federation"
"Russia","Rugby Union of Russia"
"Rwanda","Rwanda Rugby Federation"
"Saint Lucia","St. Lucia Rugby Football Union"
"Saint Vincent and the Grenadines","St. Vincent and the Grenadines Rugby Union"
"Samoa","Rugby Samoa"
"San Marino","Sammarinese Rugby Federation"
"Saudi Arabia","Saudi Arabian Rugby Federation"
"Scotland","Scottish Rugby Union"
"Senegal","Senegalese Rugby Federation"
"Serbia","Rugby Union of Serbia"
"Seychelles","Seychelles Rugby Union Federation"
"Singapore","Singapore Rugby Union"
"Slovakia","Slovak Rugby Union"
"Slovenia","Rugby Union of Slovenia"
"Solomon Islands","Solomon Islands Rugby Union Federation"
"South Africa","South African Rugby Union"
"South Korea","Korea Rugby Union"
"Spain","Spanish Rugby Federation"
"Sri Lanka","Sri Lanka Rugby"
"Sweden","Swedish Rugby Union"
"Switzerland","Swiss Rugby Union"
"Tahiti","Polynesian Rugby Federation"
"Taiwan","Taiwan Rugby Football Union"
"Tanzania","Tanzania Rugby Football Union"
"Thailand","Thailand Rugby Union"
"Togo","Togolese Rugby Federation"
"Tonga","Tonga Rugby Union"
"Trinidad and Tobago","Trinidad and Tobago Rugby Football Union"
"Tunisia","Tunisian Rugby Federation"
"Turkey","Turkish Rugby Federation"
"Turks and Caicos Islands","Turks and Caicos Islands Rugby Football Union"
"Tuvalu","Tuvalu Rugby Union"
"U.S.A.","USA Rugby"
"U.S.S.R.","Federation of USSR Rugby Union"
"Uganda","Uganda Rugby Football Union"
"Ugunda","Uganda Rugby Union"
"Ukraine","Ukraine Rugby Union"
"United Arab Emirates","United Arab Emirates Rugby Federation"
"Uruguay","Uruguayan Rugby Union"
"Uzbekistan","Uzbekistan Rugby Federation"
"Vanuatu","Vanuatu Rugby Football Union"
"Venezuela","Venezuelan Rugby Federation"
"Wales","Welsh Rugby Union"
"Wallis and Futuna","Wallis and Futuna Rugby Union"
"Yugoslavia","Rugby Union of Yugoslavia"
"Zambia","Zambia Rugby Football Union"
"Zimbabwe","Zimbabwe Rugby Union"
