nation,startYear,endYear,feederId,feederName,receiverId,receiverName
Wales,2003,2004,104,Pontypridd RFC,185,Celtic Warriors
Wales,2003,2004,440,Bridgend Ravens,185,Celtic Warriors
Wales,2003,NA,150,Swansea RFC,273,Ospreys
Wales,2003,NA,276,Neath RFC,273,Ospreys
Wales,2004,NA,440,Bridgend Ravens,273,Ospreys
Wales,2004,NA,104,Pontypridd RFC,14,Cardiff Rugby
Wales,2004,NA,1509,Merthyr RFC,14,Cardiff Rugby
Wales,2003,NA,151,Cardiff RFC,14,Cardiff Rugby
Wales,2003,NA,272,Llanelli RFC,64,Scarlets
Wales,2003,NA,200,Carmarthen Quins RFC,64,Scarlets
Wales,2003,NA,100,Llandovery RFC,64,Scarlets
Wales,2003,NA,215,Pontypool RFC,7,Dragons
Wales,2003,NA,450,Caerphilly RFC,7,Dragons
Wales,2003,NA,214,Cross Keys RFC,7,Dragons
Wales,2003,NA,275,Newport RFC,7,Dragons
Wales,2003,NA,216,Ebbw Vale RFC,7,Dragons
New Zealand,1996,1998,928,Auckland RFU Team,232,Blues
New Zealand,1996,1998,2907,Counties Manukau Rugby Union Team,232,Blues
New Zealand,1996,1998,1880,Thames Valley Rugby Football Union,232,Blues
New Zealand,1996,1998,2915,Waikato Rugby Union Team,72,Chiefs
New Zealand,1996,1998,957,Bay of Plenty Steamers,72,Chiefs
New Zealand,1996,1998,541,King Country Rugby Football Union,72,Chiefs
New Zealand,1996,1998,2910,Northland Rugby Union Team,72,Chiefs
New Zealand,1996,1998,2904,North Harbour Rugby Union Team,72,Chiefs
New Zealand,1999,NA,928,Auckland RFU Team,232,Blues
New Zealand,1999,NA,2907,Counties Manukau Rugby Union Team,72,Chiefs
New Zealand,1999,NA,1880,Thames Valley Rugby Football Union,72,Chiefs
New Zealand,1999,NA,2915,Waikato Rugby Union Team,72,Chiefs
New Zealand,1999,NA,957,Bay of Plenty Steamers,72,Chiefs
New Zealand,1999,NA,541,King Country Rugby Football Union,72,Chiefs
New Zealand,1999,NA,2910,Northland Rugby Union Team,232,Blues
New Zealand,1999,NA,2904,North Harbour Rugby Union Team,232,Blues
New Zealand,2013,NA,2913,Taranaki Rugby Union Team,72,Chiefs
New Zealand,2025,NA,1200,East Coast Rugby Football Union,72,Chiefs
New Zealand,1996,NA,270,Wellington Rugby Football Union Team,99,Hurricanes 
