"name","tier","division","country","wikidataId","homonyms"
"Newcastle and Hunter Rugby Union",4,"Shute Shield","Australia","",""
"Northern Suburbs Rugby Club",4,"Shute Shield","Australia","Q3344223",""
"Penrith Emus Rugby",4,"Shute Shield","Australia","Q3374816",""
"Randwick DRUFC",4,"Shute Shield","Australia","Q3418861",""
"Southern Districts Rugby Club",4,"Shute Shield","Australia","Q3492311",""
"Sydney University Football Club",4,"Shute Shield","Australia","Q3506850",""
"Warringah Rugby Club",4,"Shute Shield","Australia","Q3566416",""
"West Harbour RFC",4,"Shute Shield","Australia","Q3567424",""
"Western Sydney Two Blues",4,"Shute Shield","Australia","Q3366023",""
"Australian Maritime College Rugby Union Club",4,"Tasmanian Division One","Australia","Q16835616",""
"Burnie Rugby Union Club",4,"Tasmanian Division One","Australia","Q4999783",""
"Devonport Rugby Club",4,"Tasmanian Division One","Australia","Q5267838",""
"Glenorchy Rugby Union Football Club",4,"Tasmanian Division One","Australia","Q5569260",""
"Hobart Harlequins Rugby Union Club",4,"Tasmanian Division One","Australia","Q16970383",""
"Hobart Lions Rugby Club",4,"Tasmanian Division One","Australia","Q5874722",""
"Launceston Rugby Union Football Club",4,"Tasmanian Division One","Australia","Q6498363","Q6498361"
"Taroona Rugby Club",4,"Tasmanian Division One","Australia","Q7686556",""
"Tasmania Eastern Suburbs RUFC",4,"Tasmanian Division One","Australia","Q5330510",""
"University of Tasmania Rugby Union Club",4,"Tasmanian Division One","Australia","Q7896402",""
"Boorowa Rugby Club",5,"ACTRU Second Division","Australia","",""
"Bungendore RUFC",5,"ACTRU Second Division","Australia","",""
"Cooma Rugby Club",5,"ACTRU Second Division","Australia","",""
"Crookwell Rugby Club",5,"ACTRU Second Division","Australia","",""
"Defence Academy Rugby Club",5,"ACTRU Second Division","Australia","",""
"Goulburn Rugby Union",5,"ACTRU Second Division","Australia","Q5588245",""
"Hall Rugby Club",5,"ACTRU Second Division","Australia","",""
"Harden RUFC",5,"ACTRU Second Division","Australia","",""
"Jindabyne Rugby Club",5,"ACTRU Second Division","Australia","",""
"RMC Rugby Club",5,"ACTRU Second Division","Australia","",""
"Taralga RUFC",5,"ACTRU Second Division","Australia","",""
"Yass RUFC",5,"ACTRU Second Division","Australia","",""
"Alice Springs Dingo Cubs",5,"Central Australian Rugby Union","Australia","",""
"Alice Springs Eagles",5,"Central Australian Rugby Union","Australia","",""
"Devils Rugby Union Football Club",5,"Central Australian Rugby Union","Australia","",""
"Kiwi Warriors RUFC",5,"Central Australian Rugby Union","Australia","",""
"Barbarians Rugby Union Football Club",5,"Katherine Rugby Union","Australia","","Q807749; Q7666484"
"Brahmans Rugby Union Football Club",5,"Katherine Rugby Union","Australia","",""
"Pirates Rugby Union Football Club",5,"Katherine Rugby Union","Australia","",""
