"origWdId","origName","itName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q31193","Ben Smith","Ben Smith","Ben_Smith_(rugbista_1986)","Senior","2020-","Kōbe Steelers",NA,"0","0","2020",NA
"Q31193","Ben Smith","Ben Smith","Ben_Smith_(rugbista_1986)","Senior","2009-19","Highlanders","Highlanders","153","200","2009","2019"
"Q31193","Ben Smith","Ben Smith","Ben_Smith_(rugbista_1986)","International","2009-19","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","84","195","2009","2019"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2012-","Randwick","Randwick_District_Rugby_Union_Football_Club","6","0","2012",NA
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2015-","NSW Country Eagles",NA,"4","5","2015",NA
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2004-06","Waratahs","New_South_Wales_Waratahs","27","10","2004","2006"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2006-11","Brumbies","Brumbies","48","30","2006","2011"
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","Senior","2014-","Waratahs","New_South_Wales_Waratahs","31","20","2014",NA
"Q46223","Stephen Hoiles","Stephen Hoiles","Stephen_Hoiles","International","2004-","Australia","Nazionale_maschile_di_rugby_a_15_dell%27Australia","16","15","2004",NA
"Q71268","Hugo Betting","Hugo Betting","Hugo_Betting","Senior",NA,"Stoccarda","Verein_f%C3%BCr_Bewegungsspiele_Stuttgart_1893",NA,NA,NA,NA
"Q71268","Hugo Betting","Hugo Betting","Hugo_Betting","Senior",NA,"Francoforte",NA,NA,NA,NA,NA
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","Senior","2010-20","Leicester","Leicester_Tigers","95","145","2010","2020"
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","Senior","2020-24","Sale Sharks","Sale_Sharks","37","15","2020","2024"
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","Senior","2024-","Bayonne","Aviron_Bayonnais_Rugby_Pro","1","0","2024",NA
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","International","2011-24","Inghilterra","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","60","90","2011","2024"
"Q72185","Manu Tuilagi","Manu Tuilagi","Manu_Tuilagi","International","2013-2013","British Lions","British_and_Irish_Lions","1","0","2013","2013"
"Q75480","Marco Platania","Marco Platania","Marco_Platania","Youth","1981-1991","Amatori Milano","Amatori_Rugby_Milano",NA,NA,"1981","1991"
"Q75480","Marco Platania","Marco Platania","Marco_Platania","Senior","1991-1998","Milan","Amatori_Rugby_Milano",NA,NA,"1991","1998"
"Q75480","Marco Platania","Marco Platania","Marco_Platania","Senior","1998-2001","Amat. & Calvisano","Rugby_Calvisano",NA,NA,"1998","2001"
"Q75480","Marco Platania","Marco Platania","Marco_Platania","International","1994-1996","Italia","Nazionale_maschile_di_rugby_a_15_dell%27Italia","4","10","1994","1996"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2004-08","Newcastle","Newcastle_Falcons","42","124","2004","2008"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2008-14","Leicester","Leicester_Tigers","82","954","2008","2014"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2014-17","Tolosa","Stade_Toulousain","39","284","2014","2017"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","Senior","2017-21","Newcastle","Newcastle_Falcons","32","148","2017","2021"
"Q76869","Toby Flood","Toby Flood","Toby_Flood","International","2006-13","Inghilterra","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","60","301","2006","2013"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Youth",NA,"Neuenheim",NA,NA,NA,NA,NA
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2001-06","Neuenheim",NA,NA,NA,"2001","2006"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2006-09","Orléans",NA,"47","50","2006","2009"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2009-12","I Cavalieri","Rugby_Club_I_Cavalieri","49","65","2009","2012"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2012-13","Dax","Union_sportive_dacquoise","12","5","2012","2013"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2013-14","I Cavalieri","Rugby_Club_I_Cavalieri","14","35","2013","2014"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2014-16","Heidelberg RK","Heidelberger_Ruderklub_1872","19","40","2014","2016"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","Senior","2016-18","Neuenheim",NA,NA,NA,"2016","2018"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow","Clemens_von_Grumbkow","International","2003-18","Germania","Nazionale_maschile_di_rugby_a_15_della_Germania","48","45","2003","2018"
"Q94144","Massimo Ravazzolo","Massimo Ravazzolo","Massimo_Ravazzolo","Senior","1990-2006","Calvisano","Rugby_Calvisano",NA,NA,"1990","2006"
"Q94144","Massimo Ravazzolo","Massimo Ravazzolo","Massimo_Ravazzolo","Senior","2006-2007","GRAN Parma","GranDucato_Parma_Rugby","18","20","2006","2007"
"Q94144","Massimo Ravazzolo","Massimo Ravazzolo","Massimo_Ravazzolo","Senior","2007-2009","Brescia","Rugby_Brescia",NA,NA,"2007","2009"
"Q94144","Massimo Ravazzolo","Massimo Ravazzolo","Massimo_Ravazzolo","Senior","2009-2011","Calvisano","Rugby_Calvisano",NA,NA,"2009","2011"
"Q94144","Massimo Ravazzolo","Massimo Ravazzolo","Massimo_Ravazzolo","International","1993-1997","Italia","Nazionale_maschile_di_rugby_a_15_dell%27Italia","23","15","1993","1997"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Regional","2004-11","Auckland","Auckland_Rugby_Football_Union","37","80","2004","2011"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Senior","2011-15","Bayonne","Aviron_Bayonnais_Rugby_Pro","85","95","2011","2015"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Senior","2015-19","Racing 92","Racing_92","72","60","2015","2019"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Senior","2003-11","Blues","Blues_(rugby_a_15)","96","195","2003","2011"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","International","2003-10","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","68","230","2003","2010"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Regional","2005-06","Blue Bulls","Blue_Bulls","11","10","2005","2006"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Regional","2007-14","F.S. Cheetahs","Free_State_Cheetahs","53","50","2007","2014"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2006-2006","Bulls","Bulls_(rugby_a_15)","7","0","2006","2006"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2007-14","Cheetahs","Central_Cheetahs","99","45","2007","2014"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2015-18","Bulls","Bulls_(rugby_a_15)","51","55","2015","2018"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","International","2008-2016","Sudafrica","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","66","30","2008","2016"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Youth","2007-09","Natal Sharks","Natal_Sharks",NA,NA,"2007","2009"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Regional","2009-16","Natal Sharks","Natal_Sharks","30","329","2009","2016"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Senior","2017-19","Racing 92","Racing_92","13","60","2017","2019"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Senior","2010-17","Sharks","Sharks_(rugby_a_15)","71","746","2010","2017"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","International","2010-16","Sudafrica","Nazionale_maschile_di_rugby_a_15_del_Sudafrica","56","153","2010","2016"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","Senior","2007-12","Northampton","Northampton_Saints","51","165","2007","2012"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","Senior","2012-17","Saracens","Saracens_Football_Club","80","254","2012","2017"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","Senior","2017-18","Tolone","Rugby_Club_Toulonnais","23","120","2017","2018"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","Senior","2018-20","Sale Sharks","Sale_Sharks","20","40","2018","2020"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","Senior","2020-21","Harlequins","Harlequin_Football_Club","1","0","2020","2021"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","Senior","2021-2021","Worcester","Worcester_Rugby","4","5","2021","2021"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","Senior","2022-23","Leicester","Leicester_Tigers","24","60","2022","2023"
"Q127618","Chris Ashton","Chris Ashton","Chris_Ashton","International","2010-19","Inghilterra","Nazionale_maschile_di_rugby_a_15_dell%27Inghilterra","44","100","2010","2019"
"Q135385","Israel Dagg","Israel Dagg","Israel_Dagg","Regional","2006-16","Hawke's Bay",NA,"46","81","2006","2016"
