"wikidataId","fullName","itName","height","weight","positions","positionsWP","birthCountry","sportCountry","currentTeamWP"
"Q2063331","Scott Higginbotham","Scott Higginbotham",196,110,"Number 8",NA,"Australia",NA,"/wiki/Union_Bordeaux_B%C3%A8gles"
"Q2063763","Saia Fainga'a","Saia Fainga'a",187,108,"Hooker",NA,"Australia",NA,NA
"Q2064248","Sekope Kepu","Sekope Kepu",188,120,"Prop",NA,"Australia",NA,NA
"Q2065222","Salesi Ma'afu","Salesi Ma'afu",183,122,"Prop",NA,"Australia",NA,"/wiki/Racing_Club_Narbonne"
"Q2066416","Tatafu Polota-Nau","Tatafu Polota-Nau",180,113,"Hooker",NA,"Australia",NA,NA
"Q2067610","Victor Matfield","Victor Matfield",201,109,"2nd Row",NA,"South Africa",NA,NA
"Q2069565","Rob Simmons","Rob Simmons",196,115,"2nd Row",NA,"Australia",NA,"/wiki/London_Irish_Rugby_Football_Club"
"Q2074817","Kurtley Beale","Kurtley Beale",185,90,"Utility Back",NA,"Australia",NA,NA
"Q2074930","Luke Burgess","Luke Burgess",180,89,"Scrum-Half",NA,"Australia",NA,NA
"Q2080001","Rob Horne","Rob Horne",186,90,"Centre",NA,"Australia",NA,"/wiki/Northampton_Saints"
"Q2080039","Anthony Fainga'a","Anthony Fainga'a",183,92,"Centre",NA,"Australia",NA,NA
"Q2080642","Mamuka Gorgodze","Mamuka Gorgodze",196,118,"3rd Row",NA,"Soviet Union","Georgia",NA
"Q2082385","Digby Ioane","Digby Ioane",183,96,"Utility Back",NA,"New Zealand","Australia","/wiki/Saitama_Wild_Knights"
"Q2082391","Pat McCabe","Pat McCabe",186,92,"Fullback",NA,"Australia",NA,NA
"Q2084110","Nicholas Phipps","Nick Phipps",180,87,"Scrum-Half",NA,"Australia",NA,"/wiki/London_Irish_Rugby_Football_Club"
"Q2085483","Adam Thomson","Adam Thomson",196,110,"3rd Row",NA,"New Zealand",NA,NA
"Q2086349","Philip Moore, Baron Moore of Wolvercote","Philip Moore",NA,NA,NA,NA,NA,NA,NA
"Q2149806","Richard Hibbard","Richard Hibbard",183,114,"Hooker",NA,"Great Britain","Wales",NA
"Q2164605","Jean Collas","Jean Collas",NA,NA,NA,NA,"France",NA,NA
"Q2164614","Joseph Olivier","Joseph Olivier",180,74,"Prop",NA,"France",NA,NA
"Q2182964","Maxime Médard","Maxime Médard",180,89,"Utility Back",NA,"France",NA,"/wiki/Stade_Toulousain"
"Q2203638","James O'Connor","James O’Connor",177,84,"Utility Back",NA,"Australia",NA,NA
"Q2244780","James Slipper","James Slipper",185,117,"Prop",NA,"Australia",NA,NA
"Q2249503","Keven Mealamu","Keven Mealamu",181,111,"Hooker",NA,"New Zealand",NA,NA
"Q2250641","Sean Lamont","Sean Lamont",191,105,"Utility Back",NA,"Great Britain","Scotland",NA
"Q2251158","Bernard Laporte","Bernard Laporte",NA,NA,"Scrum-Half",NA,"France",NA,NA
"Q2251828","Alastair Kellock","Alastair Kellock",203,114,"2nd Row",NA,"Scotland",NA,"/wiki/Glasgow_Warriors"
"Q2272950","Joel Stransky","Joël Stransky",179,86,"Fly-Half",NA,"South Africa",NA,NA
"Q2278053","Sylvain Marconnet","Sylvain Marconnet",183,113,"3rd Row",NA,"France",NA,NA
"Q2278517","Ben Cohen","Ben Cohen",188,103,"Winger",NA,"Great Britain","England",NA
"Q2278581","Pieter de Villiers","Pieter de Villiers",188,111,"Prop",NA,"South Africa","France",NA
"Q2280214","Julien Bonnaire","Julien Bonnaire",193,102,"3rd Row",NA,"France",NA,NA
"Q2280233","Gonzalo Canale","Gonzalo Canale",182,90,"Centre",NA,"Argentina","Italy",NA
"Q2282348","Andrea Lo Cicero","Andrea Lo Cicero",185,112,"Prop",NA,"Italy",NA,NA
"Q2282931","Chester Williams","Chester Williams",174,84,"Winger",NA,"South Africa",NA,NA
"Q2288228","Roland de Marigny","Roland de Marigny",183,90,"Fullback",NA,"South Africa","Italy",NA
"Q2289971","Scott Hamilton","Scott Hamilton",190,95,"Utility Back",NA,"New Zealand",NA,NA
"Q2296866","Alesana Tuilagi","Alesana Tuilagi",185,124,"Winger",NA,"Samoa",NA,NA
"Q2303583","Rocky Elsom","Rocky Elsom",197,112,"Flanker",NA,"Australia",NA,"/wiki/Racing_Club_Narbonne"
"Q2303942","Martin Bayfield","Martin Bayfield",208,121,"2nd Row",NA,"Great Britain","England",NA
"Q2309883","James Small","James Small",183,93,"Winger",NA,"South Africa",NA,NA
"Q2313220","Federico Martín Aramburú","Federico Martín Aramburú",183,86,"Centre",NA,"Argentina",NA,NA
"Q2314505","Bernard Lapasset",NA,NA,NA,NA,NA,NA,NA,NA
"Q2314755","Alexander Obolensky","Aleksandr Obolenskij",NA,NA,"Winger",NA,"Russia","England",NA
"Q2333026","Lionel Beauxis","Lionel Beauxis",180,89,"Fly-Half",NA,"France",NA,"/wiki/Oyonnax_Rugby"
"Q2333694","Rimas Álvarez Kairelis","Rimas Álvarez Kairelis",199,107,"2nd Row",NA,"Argentina",NA,NA
"Q2334843","Fabien Galthié","Fabien Galthié",183,84,"Scrum-Half",NA,NA,NA,NA
"Q2342037","Marc Lièvremont","Marc Lièvremont",183,92,"3rd Row",NA,"Senegal","France",NA
"Q2342896","Kenzo Suzuki","Kenso",NA,NA,NA,NA,"Japon",NA,NA
"Q2346730","Davit Zirakashvili","Davit Zirakašvili",178,113,"Prop",NA,"Soviet Union","Georgia",NA
"Q2359466","Guilhem Guirado","Guilhem Guirado",183,105,"Hooker",NA,"France",NA,"/wiki/Montpellier_H%C3%A9rault_Rugby"
"Q2361687","Darren Junee","Darren Junee",178,89,"Fullback",NA,"Australia",NA,NA
"Q2362012","Thomas Domingo","Thomas Domingo",175,118,"Prop",NA,"France",NA,NA
"Q2362025","Vincent Debaty","Vincent Debaty",190,122,"Prop",NA,"Belgium","France","/wiki/Oyonnax_Rugby"
"Q2373851","Josh Sole","Josh Sole",196,110,"Flanker",NA,"New Zealand","Italy",NA
"Q2377378","Courtney Lawes","Courtney Lawes",201,114,"2nd Row",NA,"Great Britain","England","/wiki/Club_athl%C3%A9tique_Brive_Corr%C3%A8ze_Limousin"
"Q2394577","Romeo Gontineac","Romeo Gontineac",NA,NA,"Centre",NA,"Romania",NA,NA
"Q2397086","Arturo Bergamasco","Arturo Bergamasco",NA,NA,"3rd Row",NA,"Italy",NA,NA
"Q2397187","Horacio Agulla","Horacio Agulla",181,90,"Utility Back",NA,"Argentina",NA,"/wiki/Hind%C3%BA_Club"
"Q2401959","Martín Scelzo","Martín Scelzo",190,126,"Prop",NA,"Argentina",NA,NA
"Q2411645","Juan Lanza","Juan Lanza",NA,NA,"Winger",NA,"Argentina",NA,NA
"Q2415577","Fabrice Estebanez","Fabrice Estebanez",186,98,"Centre",NA,"France","France",NA
"Q2420452","Dean Richards","Dean Richards",191,121,"Number 8",NA,"Great Britain","England",NA
"Q2424180","Robert Barbieri","Robert Barbieri",185,104,"Flanker",NA,"Canada","Italy",NA
"Q2440114","Tom Smith","Tom Smith",178,108,"Prop",NA,"Great Britain","Scotland",NA
"Q2442574","Tony Gray","Tony Gray",NA,NA,"Flanker",NA,"Great Britain","Wales",NA
"Q2443371","Erich Ludwig","Erich Ludwig",NA,NA,"Winger",NA,"Germany",NA,NA
"Q2443428","Hermann Kreuzer","Hermann Kreuzer",NA,NA,"Fullback",NA,"Germany",NA,NA
"Q2443618","Richard Ludwig","Richard Ludwig",NA,NA,"Flanker",NA,"Germany",NA,NA
"Q2443936","Victor Lardanchet","Victor Lardanchet",NA,NA,NA,NA,"France",NA,NA
"Q2464963","Morgan Parra","Morgan Parra",180,77,"Scrum-Half",NA,"France",NA,"/wiki/Association_sportive_montferrandaise_Clermont_Auvergne"
"Q2465068","Elvis Vermeulen","Elvis Vermeulen",189,113,"Number 8",NA,"France",NA,"/wiki/Association_sportive_montferrandaise_Clermont_Auvergne"
"Q2469802","Arnold Watson Hutton","Arnold Watson Hutton",NA,NA,NA,NA,"Argentina",NA,NA
"Q2472720","Vladislav Korshunov","Vladislav Koršunov",183,105,"Hooker",NA,"Soviet Union","Russia","/wiki/VVA-Podmoskov%27e"
"Q2476819","Rupeni Caucaunibuca","Rupeni Caucaunibuca",180,96,"Utility Back",NA,"Fiji",NA,NA
"Q2480198","Jacques Brunel","Jacques Brunel",NA,NA,"Fullback",NA,"France",NA,NA
"Q2481789","Sonny Bill Williams","Sonny Bill Williams",191,108,"2nd Row",NA,NA,"New Zealand","/wiki/Sydney_Roosters"
"Q2524252","Carlos Deltour","Carlos Deltour",NA,NA,NA,NA,"France",NA,NA
"Q2557424","Steve Hansen","Steve Hansen",NA,92,"Centre",NA,"New Zealand",NA,NA
"Q2568753","Ruan Pienaar","Ruan Pienaar",188,83,"Scrum-Half",NA,"South Africa",NA,"/wiki/Free_State_Cheetahs"
"Q2578953","William Hirigoyen","Marcel Gayraud-Hirigoyen",176,NA,"Hooker",NA,"France",NA,NA
"Q2602308","Yves du Manoir","Yves du Manoir",170,NA,"Fly-Half",NA,"France",NA,NA
"Q2603439","Alan Davies","Alan Davies",NA,NA,NA,NA,"Wales",NA,NA
"Q2607117","Mario Ledesma","Mario Ledesma",183,110,"Hooker",NA,"Argentina",NA,NA
"Q2608846","Dimitri Yachvili","Dimitri Yachvili",182,84,"Scrum-Half",NA,"France",NA,NA
"Q2635850","David Robertson","David Robertson",NA,NA,"Three-Quarter",NA,"Great Britain",NA,NA
"Q2636049","Franz Albert Amrhein","Albert Amrhein",NA,NA,"Prop",NA,"Germany",NA,NA
"Q2636058","André Roosevelt","Albert Roosevelt",NA,NA,"Flanker",NA,"France",NA,NA
"Q2636456","Jean-Guy Gautier","Jean-Guy Gautier",NA,NA,"2nd Row",NA,"France",NA,NA
"Q2636650","Léon Binoche","Léon Binoche",NA,NA,"Fly-Half",NA,"France",NA,NA
"Q2700940","Hubert Lefèbvre","Hubert Lefèbvre",168,65,"2nd Row",NA,"France",NA,NA
"Q2701263","André Rischmann","André Rischmann",NA,NA,NA,NA,"France",NA,NA
"Q2701355","Auguste Giroux","Auguste Giroux",168,65,NA,NA,"France",NA,NA
"Q2701529","Alexandre Pharamond","Alexandre Pharamond",164,80,"Fullback",NA,"France",NA,NA
"Q2735105","François Trinh-Duc","François Trinh-Duc",184,82,"Fly-Half",NA,"France",NA,"/wiki/Racing_92"
"Q2738926","Damien Traille","Damien Traille",193,105,"Utility Back",NA,"France",NA,"/wiki/Section_Paloise"
"Q2739194","Aurélien Rougerie","Aurélien Rougerie",194,95,"Centre",NA,"France",NA,NA
"Q2742643","Merab Kvirikashvili","Merab Kvirikashvili",177,80,"Utility Back",NA,"Soviet Union","Georgia",NA
"Q2755519","Nigel Walker","Nigel Walker",180,76,"Winger",NA,"Great Britain","Wales",NA
"Q2761879","Radike Samo","Radike Samo",198,116,"2nd Row",NA,"Fiji","Australia",NA
"Q2777809","David Pocock","David Pocock",181,101,"Flanker",NA,"Zimbabwe","Australia",NA
"Q2779131","Danie Gerber","Daniel Mattheus Gerber",187,90,"Centre",NA,"South Africa",NA,NA
"Q2784728","Patricio Noriega","Patricio Noriega",185,119,"Prop",NA,"Argentina","Argentina; Australia",NA
"Q2817187","Scott Palmer","Scott Palmer",193,100,"Flanker",NA,"New Zealand","Italy",NA
"Q2820082","Aaron Persico","Aaron Persico",183,94,"Flanker",NA,"New Zealand","Italy",NA
"Q2823947","Adam Freier","Adam Freier",175,101,"Hooker",NA,"Australia",NA,NA
"Q2825023","Adrian Durston","Adrian Durston",183,89,"Fullback",NA,"Great Britain","Wales",NA
"Q2825031","Adrian Hadley","Adrian Hadley",NA,NA,NA,NA,"Wales",NA,NA
"Q2825053","Adrian Stoop","Adrian Stoop",NA,NA,"Fly-Half",NA,"Great Britain","England",NA
"Q2827350","Agustín Creevy","Agustín Creevy",183,110,"Hooker",NA,"Argentina",NA,NA
"Q2828064","Aimé Giral","Aimé Giral",177,77,"Fly-Half",NA,"France",NA,NA
"Q2829303","Al Baxter","Al Baxter",190,116,"Prop",NA,"Australia",NA,NA
"Q2830046","Alain Lorieux","Alain Lorieux",196,109,"2nd Row",NA,"France",NA,NA
"Q2830436","Alama Ieremia","Alama Ieremia",186,100,"Centre",NA,"Samoa","Samoa; New Zealand",NA
"Q2830602","Alan Tait","Alan Tait",180,95,"Centre",NA,"Great Britain","Scotland",NA
"Q2830613","Alan Whetton","Alan Whetton",193,100,"Flanker",NA,"New Zealand",NA,NA
"Q2830674","Alasdair Dickinson","Alasdair Dickinson",185,111,"Prop",NA,"Great Britain","Scotland",NA
"Q2830676","Alasdair Strokosch","Alasdair Strokosch",191,107,"Flanker",NA,"Great Britain","Scotland",NA
"Q2831053","Albert Cigagna","Albert Cigagna",186,105,"Number 8",NA,"France",NA,NA
"Q2831172","Albert Ferrasse","Albert Ferrasse",NA,NA,"2nd Row",NA,"France",NA,NA
"Q2831618","Albert van den Berg","Albert van den Berg",201,107,"2nd Row",NA,"South Africa",NA,NA
"Q2831761","Alberto de Marchi","Alberto De Marchi",183,123,"Prop",NA,"Italy",NA,NA
"Q2831762","Alberto Di Bernardo","Alberto Di Bernardo",178,85,"Fly-Half",NA,"Argentina","Argentina; Italy",NA
"Q2831832","Alberto Sgarbi","Alberto Sgarbi",192,101,"Centre",NA,"Italy",NA,"/wiki/Petrarca_Rugby"
"Q2831847","Alberto Vernet Basualdo","Alberto Vernet Basualdo",189,102,"Hooker",NA,"Argentina",NA,NA
"Q2832401","Aled de Malmanche","Aled de Malmanche",185,110,"Hooker",NA,"New Zealand",NA,"/wiki/Stade_fran%C3%A7ais_Paris_rugby"
"Q2832786","Alessandro Ghini","Alessandro Ghini",173,80,"Scrum-Half",NA,"Italy",NA,NA
"Q2832797","Alex Moreno","Alejandro Moreno",182,112,"Prop",NA,"Argentina","Argentina; Italy",NA
"Q2832802","Alessandro Moscardi","Alessandro Moscardi",185,100,"Hooker",NA,"Italy",NA,NA
"Q2832819","Cristian Stoica","Cristian Stoica",188,98,"Centre",NA,"Romania","Italy",NA
"Q2832832","Alessandro Zanni","Alessandro Zanni",195,105,"Flanker",NA,"Italy",NA,NA
"Q2832843","Alessio Galante","Alessio Galante",NA,NA,"Winger",NA,"Italy",NA,NA
"Q2832924","Alex Corbisiero","Alex Corbisiero",185,120,"Prop",NA,"U.S.A.","England","/wiki/Northampton_Saints"
"Q2832979","Alex King","Alex King",183,92,"Fly-Half",NA,"Great Britain","England",NA
"Q2833641","Alexandre Dumoulin","Alexandre Dumoulin",190,104,"Centre",NA,"France",NA,NA
"Q2833670","Alexandre Flanquart","Alexandre Flanquart",204,120,"2nd Row",NA,"France",NA,"/wiki/Union_Bordeaux_B%C3%A8gles"
"Q2833812","Alexandre Lapandry","Alexandre Lapandry",193,101,"Flanker",NA,"France",NA,"/wiki/Association_sportive_montferrandaise_Clermont_Auvergne"
"Q2836265","Ali Koko","Ali Koko",184,NA,"Winger",NA,"American Samoa","Samoa",NA
"Q2837292","Alix Popham","Alix Popham",191,108,"Flanker",NA,"Great Britain","Wales",NA
"Q2837676","Allan Bateman","Allan Bateman",175,84,"Centre",NA,"Great Britain","Wales",NA
"Q2837722","Allan Jacobsen","Allan Jacobsen",178,117,"Prop",NA,"Scotland",NA,NA
"Q2837744","Allan Martin","Allan Martin",NA,NA,"2nd Row",NA,"Wales",NA,NA
"Q2838356","Allister Hogg","Allister Hogg",190,101,"Number 8",NA,"Great Britain","Scotland","/wiki/Newcastle_Falcons"
"Q2840543","Alun Pask","Alun Pask",188,90,"Number 8",NA,"Great Britain","Wales",NA
"Q2841072","Oriol Ripol","Oriol Ripol",174,73,"Winger",NA,"Spain",NA,NA
"Q2843934","Amos du Plooy","Amos du Plooy",186,97,"Prop",NA,"South Africa",NA,NA
"Q2844645","Amédée Domenech","Amédée Domenech",180,95,"Prop",NA,"France",NA,NA
"Q2846294","Andrea Bacchetti","Andrea Bacchetti",184,94,"Winger",NA,"Italy",NA,"/wiki/Rugby_Rovigo_Delta"
"Q2846301","Andrea Benatti","Andrea Benatti",191,97,"3rd Row",NA,"Italy",NA,NA
"Q2846319","Andrea Castellani","Andrea Castellani",191,110,"Prop",NA,"Italy",NA,NA
"Q2846324","Andrea de Rossi","Andrea De Rossi",185,98,"Number 8",NA,"Italy",NA,NA
"Q2846342","Andrea Gritti","Andrea Gritti",200,103,"2nd Row",NA,"Italy",NA,NA
"Q2846414","Andrea Sgorlon","Andrea Sgorlon",180,93,"Flanker",NA,"Italy",NA,NA
"Q2846498","Andriy Kovalenco","Andrej Kovalenko",180,80,"Fly-Half",NA,"Soviet Union","Ukraine; Spain",NA
"Q2846568","Andrew Blades","Andrew Blades",175,110,"Prop",NA,"Australia",NA,NA
"Q2846631","Andrew Henderson","Andrew Henderson",193,97,"Centre",NA,"Great Britain","Scotland",NA
"Q2846661","Andrew Leeds","Andrew Leeds",185,89,"Fullback",NA,"Australia",NA,NA
"Q2846734","Andrew Slack","Andrew Slack",NA,NA,"Centre",NA,"Australia",NA,NA
"Q2846836","Andrei Ostrikov","Andrej Ostrikov",198,114,"2nd Row",NA,"Soviet Union","Russia","/wiki/Football_club_de_Grenoble_rugby"
"Q2847401","André Buonomo","André Buonomo",188,NA,"Flanker",NA,"France",NA,NA
"Q2848016","André Joubert","André Joubert",188,92,"Fullback",NA,"South Africa",NA,NA
"Q2849092","Andy Dalton","Andy Dalton",178,93,"Hooker",NA,"New Zealand",NA,NA
"Q2849101","Andy Earl","Andy Earl",191,98,"Flanker",NA,"New Zealand",NA,NA
"Q2849107","Andy Farrell","Andy Farrell",NA,NA,"Winger",NA,"Great Britain","England",NA
"Q2849114","Andy Gomarsall","Andy Gomarsall",177,90,"Scrum-Half",NA,"Great Britain","England",NA
"Q2849116","Andy Goode","Andy Goode",180,95,"Fly-Half",NA,"Great Britain","England",NA
"Q2849120","Andy Haden","Andy Haden",NA,NA,"2nd Row",NA,"New Zealand",NA,NA
"Q2849141","Andy McIntyre","Andy McIntyre",NA,NA,"Prop",NA,"Australia",NA,NA
"Q2849163","Andy Robinson","Andy Robinson",175,88,"3rd Row",NA,"Great Britain","England",NA
"Q2849186","Andy Ward","Andy Ward",191,103,"Flanker",NA,"New Zealand","Ireland",NA
"Q2850200","Anitelea Tuilagi","Anitele'a Tuilagi",185,96,"Centre",NA,"Samoa",NA,"/wiki/Tarbes_Pyr%C3%A9n%C3%A9es_rugby"
"Q2852790","Anthony Allen","Anthony Allen",180,91,"Centre",NA,"Great Britain","England","/wiki/Leicester_Tigers"
"Q2852852","Anthony Floch","Anthony Floch",182,76,"Fullback",NA,"France",NA,NA
"Q2852873","Anthony Herbert","Anthony Herbert",NA,NA,"Centre",NA,"Australia",NA,NA
"Q2852878","Anthony Horgan","Anthony Horgan",180,96,"Winger",NA,"Ireland","Ireland",NA
"Q2857013","Anton Leonard","Anton Leonard",191,110,"Number 8",NA,"South Africa",NA,NA
"Q2857396","Antonio Pavanello","Antonio Pavanello",195,113,"2nd Row",NA,"Italy",NA,NA
"Q2861349","Aristide Barraud","Aristide Barraud",178,86,"Fly-Half",NA,"France",NA,NA
"Q2863025","Arnaldo Gruarin","Arnaldo Gruarin",180,105,"Prop",NA,"Italy","France",NA
"Q2866598","Ashwin Willemse","Ashwin Willemse",188,89,"Winger",NA,"South Africa",NA,NA
"Q2869593","Uini Atonio","Uini Atonio",197,155,"Prop",NA,"New Zealand","France","/wiki/Stade_rochelais"
"Q2870617","Aubin Hueber","Aubin Hueber",175,75,"Scrum-Half",NA,"France",NA,NA
"Q2874600","Avril Williams","Avril Williams",175,82,"Winger",NA,"South Africa",NA,NA
"Q2880856","Balie Swart","Balie Swart",185,110,"Prop",NA,"South Africa",NA,NA
"Q2885809","Barry Williams","Barry Williams",183,83,"Hooker",NA,"Great Britain","Wales",NA
"Q2895327","Ben Atiga","Ben Atiga",175,99,"Fullback",NA,"New Zealand",NA,"/wiki/Edinburgh_Rugby"
"Q2895345","Ben Blair","Ben Blair",173,83,"Fullback",NA,"New Zealand",NA,"/wiki/Cardiff_Rugby"
"Q2895382","Ben Clarke","Ben Clarke",196,115,"3rd Row",NA,"Great Britain","England",NA
"Q2895394","Ben Darwin","Ben Darwin",185,114,"Prop",NA,"Great Britain","Australia",NA
"Q2895492","Ben Kay","Ben Kay",198,112,"2nd Row",NA,"Great Britain","England",NA
"Q2895512","Ben MacDougall","Ben MacDougall",193,92,"Centre",NA,"Australia","Scotland",NA
"Q2895525","Ben Morgan","Ben Morgan",193,117,"Number 8",NA,"Great Britain","England",NA
"Q2895571","Ben Te'o","Ben Te’o",188,109,"Centre; 2nd Row",NA,"New Zealand","England",NA
"Q2896013","Benjamin Boyet","Benjamin Boyet",185,87,"Fly-Half",NA,"France",NA,NA
"Q2896071","Benjamin Fall","Benjamin Fall",186,95,"Winger",NA,"France",NA,NA
"Q2896114","Benjamin Kayser","Benjamin Kayser",183,109,"Hooker",NA,"France",NA,NA
"Q2896267","Benjamín Urdapilleta","Benjamín Urdapilleta",176,85,"Fly-Half",NA,"Argentina",NA,"/wiki/Castres_Olympique"
"Q2896286","Benjamin de Jager","Benjamin de Jager",196,95,"Winger",NA,"South Africa","Italy",NA
"Q2898198","Bernard Le Roux","Bernard Le Roux",196,112,"Flanker",NA,"South Africa","France","/wiki/Racing_92"
"Q2899060","Bernie Fraser","Bernie Fraser",178,83,"Winger",NA,"Fiji","New Zealand",NA
"Q2899064","Bernie McCahill","Bernie McCahill",183,78,"Centre",NA,"New Zealand",NA,NA
"Q2899532","Bertrand Fourcade","Bertrand Fourcade",178,70,"Fullback",NA,"France",NA,NA
"Q2903145","William Alexander Campbell","Bill Campbell",202,118,"2nd Row",NA,"Australia",NA,NA
"Q2903413","Bill Young","Bill Young",188,112,"Prop",NA,"Australia",NA,NA
"Q2905738","Blair Larsen","Blair Larsen",198,107,"Flanker",NA,"New Zealand",NA,NA
"Q2907612","Bob Casey","Bob Casey",201,123,"2nd Row",NA,"Ireland","Ireland",NA
"Q2907639","Bob Dwyer","Bob Dwyer",NA,NA,"2nd Row",NA,"Australia",NA,NA
"Q2907646","Bob Egerton","Bob Egerton",NA,NA,"Winger",NA,"Australia",NA,NA
"Q2907786","Bob Norster","Bob Norster",196,105,"2nd Row",NA,"Great Britain","Wales",NA
"Q2908634","Bogdan Leonte","Bogdan Leonte",190,100,"3rd Row",NA,"Romania","France","/wiki/Stade_montois_rugby"
"Q2923187","Braam Immelman","Braam Immelman",195,106,"Number 8",NA,"South Africa",NA,"/wiki/Eagles_(rugby_a_15)"
"Q2923399","Brad Johnstone","Brad Johnstone",188,102,"Prop",NA,"New Zealand",NA,NA
"Q2924422","Brendan Cannon","Brendan Cannon",188,108,"Hooker",NA,"Australia",NA,NA
"Q2924436","Brendan Mullin","Brendan Mullin",186,85,"Centre",NA,"Israel","Ireland",NA
"Q2924439","Brendan Venter","Brendan Venter",185,93,"Centre",NA,"South Africa",NA,NA
"Q2924441","Brendon Nasser","Brendon Nasser",NA,NA,"3rd Row",NA,"Australia",NA,NA
"Q2924442","BJ Botha","BJ Botha",183,110,"Prop",NA,"South Africa",NA,NA
"Q2924470","Brent Cockbain","Brent Cockbain",202,114,"2nd Row",NA,"Australia","Wales",NA
"Q2924768","Breyton Paulse","Breyton Paulse",178,80,"Winger",NA,"South Africa",NA,NA
"Q2924944","Brian Liebenberg","Brian Liebenberg",185,89,"Utility Back",NA,"South Africa","France",NA
"Q2924966","Brian Moore","Brian Moore",175,92,"Hooker",NA,"Great Britain","England",NA
"Q2924970","Brian O'Meara","Brian O’Meara",175,91,"Scrum-Half",NA,"Ireland","Ireland",NA
"Q2924982","Brian Price","Brian Price",192,98,"2nd Row",NA,"Great Britain","Wales",NA
"Q2925008","Brian Smith","Brian Smith",NA,NA,"Scrum-Half",NA,"Australia","Australia; Ireland",NA
"Q2925089","Brice Dulin","Brice Dulin",178,82,"Fullback",NA,"France",NA,"/wiki/Stade_rochelais"
"Q2926415","Bruce Douglas","Bruce Douglas",180,115,"Prop",NA,"Scotland",NA,"/wiki/Worcester_Rugby"
"Q2926426","Bruce Hay","Bruce Hay",178,85,"Fullback",NA,"Great Britain","Scotland",NA
"Q2926472","Bruce Reihana","Bruce Reihana",184,93,"Utility Back",NA,"New Zealand",NA,NA
"Q2926784","Bruno Francescato","Bruno Francescato",172,72,"Centre",NA,"Italy",NA,NA
"Q2927178","Bryan Redpath","Bryan Redpath",170,82,"Scrum-Half",NA,"Great Britain","Scotland",NA
"Q2927183","Bryan Young","Bryan Young",185,114,"Prop",NA,"Great Britain","Ireland",NA
"Q2927196","Bryce Lawrence","Bryce Lawrence",NA,NA,NA,NA,"New Zealand",NA,NA
"Q2927462","Wayne Shelford","Wayne Shelford",189,93,"Number 8",NA,"New Zealand",NA,NA
"Q2933774","Caleb Ralph","Caleb Ralph",187,93,"Utility Back",NA,"New Zealand",NA,NA
"Q2934777","Cameron Shepherd","Cameron Shepherd",191,104,"Winger",NA,"Great Britain","Australia",NA
"Q2935003","Camille Lopez","Camille Lopez",175,88,"Fly-Half",NA,"France",NA,"/wiki/Association_sportive_montferrandaise_Clermont_Auvergne"
"Q2938934","Carl Hoeft","Carl Hoeft",184,115,"Prop",NA,"New Zealand",NA,NA
"Q2938954","Carl Manu","Carl Manu",173,97,"Centre",NA,"New Zealand","Samoa",NA
"Q2939170","Carlo Caione","Carlo Caione",187,97,"3rd Row",NA,"Italy",NA,NA
"Q2939177","Carlo Checchinato","Carlo Checchinato",198,110,"2nd Row",NA,"Italy",NA,NA
"Q2939186","Carlo Del Fava","Carlo Antonio del Fava",198,115,"2nd Row",NA,"South Africa","Italy",NA
"Q2939194","Carlo Festuccia","Carlo Festuccia",180,105,"Hooker",NA,"Italy",NA,NA
"Q2939230","Carlo Orlandi","Carlo Orlandi",183,100,"Hooker",NA,"Italy",NA,NA
"Q2939422","Carlos Nieto","Carlos Nieto",185,110,"Prop",NA,"Argentina","Italy",NA
"Q2939509","Carlos de Candamo","Carlos de Candamo",NA,68,"Centre",NA,"Peru",NA,NA
"Q2940990","Casey Laulala","Casey Laulala",186,101,"Centre",NA,"Samoa","New Zealand",NA
"Q2944283","Census Johnston","Census Johnston",189,137,"Prop",NA,"New Zealand","Samoa",NA
"Q2946644","Ceri Sweeney","Ceri Sweeney",176,88,"Fly-Half",NA,"Wales",NA,"/wiki/Dragons_(rugby_a_15)"
"Q2946998","César Sempere","César Sempere",182,86,"Fullback",NA,"Spain",NA,NA
"Q2959278","Charles Guiraist","Charles Guiraist",NA,NA,NA,NA,"France",NA,NA
"Q2960858","Charlie Hore","Charlie Hore",186,96,"Fly-Half",NA,"New Zealand",NA,NA
"Q2964830","Chris Oti","Christopher C. Oti",180,83,"Winger",NA,"Great Britain","England",NA
"Q2964847","Chris Rossouw","Chris Rossouw",183,105,"Hooker",NA,"South Africa",NA,NA
"Q2964850","Chris Robshaw","Chris Robshaw",188,110,"Flanker",NA,"Great Britain","England",NA
"Q2964893","Chris Whitaker","Chris Whitaker",176,82,"Scrum-Half",NA,"Australia",NA,NA
"Q2964897","Chris Wyles","Chris Wyles",183,93,"Utility Back",NA,"U.S.A.",NA,NA
"Q2964900","Chris Wyatt","Chris Wyatt",195,111,"2nd Row",NA,"Wales",NA,NA
"Q2964973","Christiaan Scholtz","Christiaan Petrus Scholtz",185,90,"Centre",NA,"South Africa",NA,NA
"Q2965112","Christian Califano","Christian Califano",180,113,"Prop",NA,"France",NA,NA
"Q2965277","Christian Gajan","Christian Gajan",NA,NA,"Centre",NA,"France",NA,NA
"Q2965386","Christian Labit","Christian Labit",189,105,"3rd Row",NA,"France",NA,NA
"Q2965394","Christian Lanta","Christian Lanta",NA,NA,"Flanker",NA,"France",NA,NA
