"rugbyscopeId","altNames","teamWP"
NA,"aberavon quins rfc; Aberavon Quins RFC","Aberavon_Quins_RFC"
NA,"aberavon rfc; aberavon; Aberavon RFC; Aberavon","Aberavon_RFC"
NA,"Abercrave RFC; abercrave rfc","Abercrave_RFC"
NA,"abercwmboi rfc; Abercwmboi RFC","Abercwmboi_RFC"
NA,"aberdare rfc; Aberdare RFC","Aberdare_RFC"
NA,"aberdeen gsfp; aberdeen gsfp rfc; Aberdeen GSFP","Aberdeen_GSFP_RFC"
NA,"aberdeen university; Aberdeen University","Aberdeen_University_RFC"
NA,"aberdeenshire; aberdeenshire rfc","Aberdeenshire_RFC"
NA,"abergavenny rfc; Abergavenny RFC","Abergavenny_RFC"
NA,"abertillery rfc; abertillery; Abertillery RFC; Abertillery","Abertillery_RFC"
NA,"aberystwyth; Aberystwyth RFC","Aberystwyth_RFC"
NA,"abu dhabi harlequins; ad harlequins","Abu_Dhabi_Harlequins"
NA,"academy tbilisi; rc academy tbilisi; academy Tbilisi","RC_Academy_Tbilisi"
NA,"act brumbies; brumbies; act; brumbies academy; australian capital territory; Brumbies; Brumbies Academy; ACT Brumbies","ACT_Brumbies"
NA,"aia kutaisi; rc aia kutaisi; Aia Kutaisi; RC Aia Kutaisi","RC_Aia_Kutaisi"
NA,"alcobendas; alcobendas rugby; m.a.r.u.; moraleja alcobendas rugby union; sanitas alcobendas; la moraleja alcobendas","Alcobendas_Rugby"
NA,"all blacks sevens; new zealand 7s; new zealand sevens; new zealand 7's; nz sevens; NZ Sevens","New_Zealand_national_rugby_sevens_team"
NA,"all blacks xv; new zealand a; junior all blacks; All Blacks XV; new zealand juniors","All_Blacks_XV"
NA,"Alloa; Alloa RFC","Alloa_RFC"
NA,"alnwick rfc; alnwick; Alnwick RFC","Alnwick_RFC"
NA,"amatori alghero; alghero; novaco alghero; Amatori Alghero","Amatori_Alghero"
NA,"amatori catania; catania","Amatori_Catania"
NA,"Amatori Milano; amatori milano; amatori milan; milan; amatori rugby milano","Amatori_Rugby_Milano"
NA,"american raptors; colorado raptors; glendale raptors","American_Raptors"
NA,"Amman United; Amman United RFC","Amman_United_RFC"
NA,"ammanford rfc; Ammanford RFC","Ammanford_RFC"
NA,"ampthill; ampthill rufc; apmthill; Ampthill","Ampthill_RUFC"
NA,"anglo-scots; scottish exiles","Scottish_Exiles_(rugby_union)"
NA,"anthem rc; anthem rugby carolina","Anthem_Rugby_Carolina"
NA,"anzac xv; aunz invitational xv","ANZAC_XV"
NA,"aparejadores; recoletas burgos caja rural","Aparejadores_Rugby"
NA,"ardrossan academicals; Ardrossan Academicals","Ardrossan_Academicals_RFC"
NA,"ards; ards rfc","Ards_RFC"
NA,"argentina sevens; pumas sevens","Argentina_national_rugby_sevens_team"
NA,"argentina u20; argentina u20s; argentina under 20; argentina under-20; argentina u-20; argentine u20; argentina u.20","Argentina_national_under-20_rugby_union_team"
NA,"argentina xv; argentina jaguars; argentina a; argentina jaguares; Argentina XV","Argentina_XV_national_rugby_union_team"
NA,"armia tbilisi; rc army tbilisi","RC_Army_Tbilisi"
NA,"as béziers; béziers; as beziers; as béziers hérault; beziers; béziers hérault; as bézier; Béziers","AS_B%C3%A9ziers_H%C3%A9rault"
NA,"associacion alumni; asociación alumni","Asociaci%C3%B3n_Alumni"
NA,"atlastars; yokogawa musashino atlastars; y. m atlastars","Yokogawa_Musashino_Atlastars"
NA,"atletico del rosario; club atlético del rosario; atlético del rosario; ca rosario; Atlético del Rosario","Club_Atl%C3%A9tico_del_Rosario"
NA,"aubenas; aubenas vals","RC_Aubenas_Vals"
NA,"auch; auch gers; fc auch gers; fc auch; Auch","FC_Auch_Gers"
NA,"Auckland Blues; auckland blues","Blues_(Super_Rugby)"
NA,"auckland; auckland rugby union; auckland b; Auckland","Auckland_(National_Provincial_Championship)"
NA,"aurel vlaicu arad; csu arad; csu aurel vlaicu arad","CSU_Aurel_Vlaicu_Arad"
NA,"aurillac; stade aurillacois; Aurillac; Stade Aurillacois","Stade_Aurillacois_Cantal_Auvergne"
NA,"austin gilgronis; austin elite; austin herd; Austin Gilgronis","Austin_Gilgronis"
NA,"austin huns; Austin Huns","Austin_Huns"
NA,"australia a; australia 'a'; australia xv","Australia_A_national_rugby_union_team"
NA,"australia sevens; australia 7s; australia (sevens)","Australia_national_rugby_sevens_team"
NA,"australia u-21; australia u21; australia under 21s","Australia_national_under-21_rugby_union_team"
NA,"australia u19; australia u-19; australia u19s","Australia_national_under-19_rugby_union_team"
NA,"australia u20; australia under-20; australia u-20; australia under 20; junior wallabies; australia  u20; australia u20s","Australia_national_under-20_rugby_union_team"
NA,"australia; wallabies","Australia_national_rugby_union_team"
NA,"australian a schoolboys; australia schoolboys; australia schools; australian schoolboys; australian schools; schoolboys; australia 'a' schools; australia a schools; aus schools; australia 'a' schoolboys","Australian_Schoolboys_rugby_union_team"
NA,"ayr; ayr rfc; ayrshire bulls; Ayr RFC; Ayr","Ayr_RFC"
NA,"ballymena rfc; ballymena; ballymena r.f.c.; Ballymena; Ballymena R.F.C.","Ballymena_R.F.C."
NA,"ballynahinch; ballynahinch rfc; Ballynahinch; Ballynahinch RFC","Ballynahinch_RFC"
NA,"balmain rfc; glebe-balmain rufc","Balmain_RFC"
NA,"banbridge; banbridge rfc; Banbridge","Banbridge_RFC"
NA,"bangor rfc; Bangor RFC","Bangor_RFC"
NA,"barbarian f.c.; Barbarians FC; barbarians fc; barbarian fc; barbarians f.c.; barbarian f. c.; Barbarian F.C.; Barbarians","Barbarian_F.C."
NA,"barbarian rc; french barbarians; Barbarians Rugby Club; barbarian rugby club","French_Barbarians"
NA,"bargoed; bargoed rfc; Bargoed RFC","Bargoed_RFC"
NA,"barking; barking rfc","Barking_RFC"
NA,"barry rfc; Barry RFC","Barry_RFC"
NA,"bath rugby; Bath Rugby; bath united; bath fc","Bath_Rugby"
NA,"bay of plenty; bop; bay of plenty combined clubs","Bay_of_Plenty_(National_Provincial_Championship)"
NA,"bayonne; aviron bayonnais; bayonnais; a. bayonnais; Bayonne","Aviron_Bayonnais"
NA,"beckenham rfc; Beckenham RFC","Beckenham_RFC"
NA,"beddau; beddau rfc; Beddau","Beddau_RFC"
NA,"bedford blues; bedford; bedford rfc; blues; Bedford Blues","Bedford_Blues"
NA,"bedwas; bedwas rfc; Bedwas RFC","Bedwas_RFC"
NA,"beecroft rugby club; Beecroft","Beecroft_Rugby_Club"
NA,"belenenses; cf os belenenses","C.F._Os_Belenenses_(rugby_union)"
NA,"belfast harlequins; Belfast Harlequins","Belfast_Harlequins"
NA,"belgrano; belgrano a.c.; Belgrano Athletic Club","Belgrano_Athletic_Club"
